tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,L,L_logistic_smoke,FR--R--STL,594425521,13,0.02,13.872181980028332,0.39486074273703586,nan,0.18593525102597058,0.4200610166699987,1.4305864642235344,0.42250818949297075,0.9286201478096507,1.2188984239438452,2.413740114594791,1.625507428071866,6.243240669725919,0.020540789992082864,,nan,nan,nan,nan,0.8394303293906599,0.66,0.31816949937635125,13,52,52,52,0,13,26,39,13,13,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,14,0.02,13.814900688039431,0.33757945074813556,nan,0.17202356004723968,0.3927867471793674,1.3383586747042164,0.4063314200724213,0.9240188120261266,1.2128592528258955,2.321323155266125,1.2621162319890518,5.101759087017257,0.022042639961000532,,nan,nan,nan,nan,0.849294856001835,0.66,0.3222126527523668,14,56,56,56,0,14,28,42,14,14,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,15,0.02,13.792191982782878,0.3148707454915822,nan,0.1633953044904769,0.38541725508914704,1.2717641776993713,0.39467237222905505,0.9199947386213136,1.2075813745218449,2.2547087696477535,1.1513986822037567,4.755080229829256,0.023539969988632947,,nan,nan,nan,nan,0.849681644681572,0.66,0.3223443238122393,15,60,60,60,0,15,30,45,15,15,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,16,0.02,13.776330633370923,0.2990093960796276,nan,0.15648196697635622,0.37972885709081433,1.2206465499594146,0.38573121911277336,0.9166269763429039,1.2031657549074457,2.203620237434013,1.0812416489195502,4.534499486259937,0.02503260999219492,,nan,nan,nan,nan,0.8491705094554706,0.66,0.3221133992200283,16,64,64,64,0,16,32,48,16,16,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,17,0.02,13.743794604062549,0.2664733667712529,nan,0.14606048945370012,0.3672438844254045,1.1432027147529622,0.37214031246020435,0.9124502272244861,1.1976810637235047,2.1259816357577446,0.9109232942787645,3.9422047347339704,0.026553309988230467,,nan,nan,nan,nan,0.8532589042793965,0.66,0.3237433978870654,17,68,68,68,0,17,34,51,17,17,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,18,0.02,13.737831726164945,0.26051048887364914,nan,0.1404007624998137,0.3603296532958375,1.1220793689491384,0.3685144300998135,0.9092489879512239,1.1934758012797713,2.105273370954194,0.8973140646832449,3.916447825275749,0.028054639988113195,,nan,nan,nan,nan,0.8514087698750289,0.66,0.32297450122129606,18,72,72,72,0,18,36,54,18,18,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,19,0.02,13.72565400451395,0.24833276722265474,nan,0.13447864026944925,0.3528744454245175,1.0893734269044992,0.3628136676029795,0.9064361528683635,1.1897779889941775,2.072715609161617,0.8440819676707145,3.7350685130414685,0.02956193999852985,,nan,nan,nan,nan,0.8517038656434796,0.66,0.3230745242423532,19,76,76,76,0,19,38,57,19,19,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,20,0.02,13.719556026862962,0.24223478957166655,nan,0.12941628097002975,0.3471792361637548,1.0660016045210117,0.35876997428412616,0.9037055293902494,1.1861935411006868,2.049614875129806,0.8284078919003418,3.6960333674497505,0.031063649978023022,,nan,nan,nan,nan,0.8499839078726106,0.65,0.3223577904012014,20,80,80,80,0,20,40,60,20,20,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,21,0.02,13.705328765528416,0.22800752823711967,nan,0.12256655870519761,0.33837630121090334,1.0256637309562313,0.3517351512743342,0.9003186948165289,1.1817436060841429,2.0094331828539165,0.7680223762617955,3.4836589586678413,0.03256591997342184,,nan,nan,nan,nan,0.8501819936302433,0.65,0.3224142994266076,21,84,84,84,0,21,42,63,21,21,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,22,0.02,13.68068389620132,0.2033626589100237,nan,0.1150302475796095,0.3277111908211573,0.971019448425275,0.3421713304287428,0.8964899868663754,1.1767130329158753,1.9548043114784295,0.6429019209893363,2.9934883599431763,0.03407344897277653,,nan,nan,nan,nan,0.8554504914603678,0.65,0.32451752396182065,22,88,88,88,0,22,44,66,22,22,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,23,0.02,13.677878019740216,0.2005567824489205,nan,0.11069776961645998,0.32050001246462817,0.95999802162381,0.3403051317335112,0.8942030211235836,1.173705841275517,1.9441517262751755,0.6428935520047159,3.014737267686769,0.0355863890144974,,nan,nan,nan,nan,0.8533080947206468,0.65,0.3236382149005231,23,92,92,92,0,23,46,69,23,23,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,24,0.02,13.660082073199401,0.18276083590810543,nan,0.10618237290802196,0.31701034431121417,0.9091579046933761,0.33139532271479927,0.890839149282874,1.1692855295422517,1.893258364166857,0.5573757194599143,2.65660831311836,0.037082899012602866,,nan,nan,nan,nan,0.8569390784338747,0.65,0.32507861801547,24,96,96,96,0,24,48,72,24,24,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,25,0.02,13.65593591575918,0.17861467846788415,nan,0.10196205212351475,0.3096604550014762,0.8946752884626026,0.32892480825431736,0.8882887071743343,1.1659324229257726,1.8791531736891038,0.5494841654405889,2.642024221095221,0.038585588976275176,,nan,nan,nan,nan,0.8552769186894784,0.65,0.3243950562469196,25,100,100,100,0,25,50,75,25,25,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,26,0.02,13.639128218429956,0.16180698113866043,nan,0.09564244040386481,0.30242884689853755,0.847218163944591,0.32061656550633993,0.884906930031893,1.1614964929128184,1.8316835336199124,0.47598468094304985,2.3303080546222157,0.040095028991345316,,nan,nan,nan,nan,0.8582085256454897,0.65,0.325540727327617,26,104,104,104,0,26,52,78,26,26,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,27,0.02,13.627875897637562,0.1505546603462662,nan,0.0894985088151277,0.29311425309327915,0.8120071073992746,0.31446862935167175,0.8818937442813458,1.1575285999607898,1.796580367986389,0.43548155167253977,2.165536986329888,0.04159913898911327,,nan,nan,nan,nan,0.8584225299176458,0.65,0.32559792883973465,27,108,108,108,0,27,54,81,27,27,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,28,0.02,13.622059123330544,0.1447378860392483,nan,0.08572147787239362,0.2865401315696738,0.7915625393870039,0.3109346010644608,0.8793841211549949,1.1542340408546625,1.7763910834125056,0.4180122731510434,2.0987648230515212,0.043098458962049335,,nan,nan,nan,nan,0.857655761077432,0.65,0.3252745256052351,28,112,112,112,0,28,56,84,28,28,0,4,False,False,0.02
