tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,12,0.25,1.0000008584228852,8.584228851883039e-07,8.584228851883039e-07,8.58157710892371e-07,0.0,0.0018518778849994089,0.9981481221150006,1.0,0.9981481221150006,1.0,1.7147258504747364e-06,3.4358144096712023e-06,0.004366220033261925,,nan,nan,nan,nan,nan,nan,nan,12,12,12,12,12,0,12,12,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,13,0.25,1.0000003089253142,3.0892531406795983e-07,3.0892531406795983e-07,3.0886807156349505e-07,0.0,0.0011112091416254355,0.9988887908583746,1.0,0.9988887908583746,1.0,6.17392878216092e-07,1.2361593880447504e-06,0.004649310023523867,,nan,nan,nan,nan,nan,nan,nan,13,13,13,13,13,0,13,13,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,14,0.25,1.0000001111900318,1.1119003196923168e-07,1.1119003196923168e-07,1.1117767195756301e-07,0.0,0.0006667551422440132,0.999333244857756,1.0,0.999333244857756,1.0,2.2228120985434313e-07,4.448590317554913e-07,0.004943170002661645,,nan,nan,nan,nan,nan,nan,nan,14,14,14,14,14,0,14,14,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,15,0.25,1.000000040023428,4.0023427924510205e-08,4.0023427924510205e-08,4.00207587070156e-08,0.0,0.000400063759684377,0.9995999362403156,1.0,0.9995999362403156,1.0,8.002550590635507e-08,1.6011506804894e-07,0.00522961001843214,,nan,nan,nan,nan,nan,nan,nan,15,15,15,15,15,0,15,15,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,16,0.25,1.0000000144073578,1.4407357840402085e-08,1.4407357840402085e-08,1.4406781323472728e-08,0.0,0.00024004209808015098,0.9997599579019198,1.0,0.9997599579019198,1.0,2.881010442533376e-08,5.76340434474741e-08,0.005521329992916435,,nan,nan,nan,nan,nan,nan,nan,16,16,16,16,16,0,16,16,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,17,0.25,1.0000000051864164,5.186416392546651e-09,5.186416392546651e-09,5.186291840431068e-09,0.0,0.00014402664195878323,0.9998559733580412,1.0,0.9998559733580412,1.0,1.0371836796961768e-08,2.0746661665951264e-08,0.005816530028823763,,nan,nan,nan,nan,nan,nan,nan,17,17,17,17,17,0,17,17,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,18,0.25,1.0000000018670596,1.8670597005766907e-09,1.8670597005766907e-09,1.8670327506242756e-09,0.0,8.641648307228245e-05,0.9999135835169277,1.0,0.9999135835169277,1.0,3.733904273281445e-09,7.468453944090576e-09,0.006101370032411069,,nan,nan,nan,nan,nan,nan,nan,18,18,18,18,18,0,18,18,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,19,0.25,1.0000000006721306,6.72130649382219e-10,6.72130649382219e-10,6.721248002605762e-10,0.0,5.1850069081371686e-05,0.9999481499309186,1.0,0.9999481499309186,1.0,1.344214831871508e-09,2.6885690662199816e-09,0.006386100023519248,,nan,nan,nan,nan,nan,nan,nan,19,19,19,19,19,0,19,19,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,20,0.25,1.0000000002419647,2.419646917961452e-10,2.419646917961452e-10,2.4196333825443617e-10,0.0,3.111010597334207e-05,0.9999688898940267,1.0,0.9999688898940267,1.0,4.839193468328331e-10,9.678688041655467e-10,0.006673220021184534,,nan,nan,nan,nan,nan,nan,nan,20,20,20,20,20,0,20,20,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,21,0.25,1.0000000000871068,8.710678318850731e-11,8.710678318850731e-11,8.710654419985531e-11,0.0,1.866608681266868e-05,0.9999813339131873,1.0,0.9999813339131873,1.0,1.7421139844904182e-10,3.484293007090881e-10,0.006970160000491887,,nan,nan,nan,nan,nan,nan,nan,21,21,21,21,21,0,21,21,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,22,0.25,1.0000000000313582,3.1358332683661754e-11,3.1358332683661754e-11,3.1358249330537546e-11,0.0,1.1199660449934257e-05,0.9999888003395501,1.0,0.9999888003395501,1.0,6.27161970969108e-11,1.2543379901171678e-10,0.0072542999987490475,,nan,nan,nan,nan,nan,nan,nan,22,22,22,22,22,0,22,22,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,23,0.25,1.000000000011289,1.1288976165103697e-11,1.1288976165103697e-11,1.1288969758993517e-11,0.0,6.71979928035249e-06,0.9999932802007196,1.0,0.9999932802007196,1.0,2.257785118411292e-11,4.515600580581741e-11,0.007535150041803718,,nan,nan,nan,nan,nan,nan,nan,23,23,23,23,23,0,23,23,0,0,0,1,False,False,0.25
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,24,0.25,1.000000000004064,4.064026321467894e-12,4.064026321467894e-12,4.064082403942848e-12,0.0,4.031880651789166e-06,0.9999959681193482,1.0,0.9999959681193482,1.0,8.128030795583543e-12,1.625612713466906e-11,0.007823690015356988,,nan,nan,nan,nan,nan,nan,nan,24,24,24,24,24,0,24,24,0,0,0,1,False,False,0.25
