tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,0,0.0,1.1363272240078257,0.09199824263126977,nan,0.16075691290118613,0.384767118850538,0.25068819401761905,0.8,0.8,0.8227366780467325,0.8227366780467329,1.6454733560934651,0.15361753329834804,0.23152607051012397,0.0021692399750463665,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,1,0.2,1.1089629280588698,0.06463394668231381,nan,0.11264464425764076,0.32139989191832363,0.21516460135509702,0.8241209668469532,0.8247292579453468,0.8475431832154047,0.8481687624623768,1.69618134129795,0.1110550807549264,0.16287254407839102,0.005860439967364073,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,1,1,1,1,1,0,0,0,2,2,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,2,0.2,1.089251509385943,0.04492252800938701,nan,0.07802977575359966,0.2668215621875291,0.18389977921665718,0.8454001837740311,0.8464448047153167,0.8694271735229294,0.8705014834767437,1.740724799822191,0.07909374946773359,0.11351187051554006,0.009442499955184758,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,2,2,2,2,2,0,0,0,4,4,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,3,0.2,1.0752614133689218,0.03093243199236584,nan,0.05351204390614901,0.22031093658074616,0.1566018051164441,0.8640253501918336,0.8653599110981904,0.8885816829562426,0.8899541732146762,1.7795389786536522,0.05560318571017164,0.07847829608025861,0.012984319997485727,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,3,3,3,3,3,0,0,0,6,6,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,4,0.2,1.0654589998484663,0.021130018471910317,nan,0.03638153861985158,0.18104442809189208,0.13293207683749378,0.8802155432167524,0.8817207611591003,0.905232014989064,0.9067800125010931,1.813126204933606,0.0386552900378843,0.053890718210587205,0.01649101998191327,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,4,4,4,4,4,0,0,0,8,8,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,5,0.2,1.0586662825631266,0.014337301186570617,nan,0.024552815620925327,0.14816279887740016,0.1125309057169081,0.8942049761189014,0.895787509539698,0.9196190394311534,0.9212465497930586,1.8420173959811594,0.026619856245957436,0.03679906381421408,0.02000416995724663,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,5,5,5,5,5,0,0,0,10,10,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,6,0.2,1.054003149136631,0.009674167760075125,nan,0.01646702724265454,0.12082129140674014,0.09503715717056374,0.906230279130035,0.9078199821085212,0.9319861117460102,0.9336209954305111,1.866742958835172,0.018186836064214944,0.025013535483944506,0.02352066000457853,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,6,6,6,6,6,0,0,0,12,12,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,7,0.2,1.050827058963237,0.006498077586680973,nan,0.01098689059278167,0.09822389881171396,0.08010230384146576,0.9165211888070198,0.9180676419223021,0.9425694977981622,0.9441599024216899,1.8878123334235957,0.012344119901782793,0.016940969282992522,0.027019368950277567,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,7,7,7,7,7,0,0,0,14,14,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,8,0.2,1.0486778653840296,0.004348884007473686,nan,0.007299316406944042,0.07964409754852894,0.06739968240840849,0.9252942419415459,0.9267631440514331,0.9515918885384465,0.9531025380912769,1.9057008231316273,0.008333794140563875,0.011441629674091371,0.03052827896317467,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,8,8,8,8,8,0,0,0,16,16,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,9,0.2,1.0472312764475045,0.002902295070948524,nan,0.004832725987814132,0.06443497693207074,0.05662990238902866,0.9327489386657002,0.9341187147042421,0.9592584540617921,0.9606671602963146,1.9208421712189772,0.005602323802407975,0.007711513513301746,0.03406471898779273,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,9,9,9,9,9,0,0,0,18,18,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,10,0.2,1.0462617561270378,0.0019327747504818138,nan,0.0031909197588438788,0.052031673640679836,0.04752334095434754,0.9390658186487424,0.9403246281833063,0.9657548651278771,0.9670494510963279,1.9336254131216626,0.0037535278290311506,0.00518998523209588,0.03756487899227068,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,10,10,10,10,10,0,0,0,20,20,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,11,0.2,1.0456141552651472,0.0012851738885912845,nan,0.0021024464864068805,0.04194864408512821,0.03984055005216867,0.9444059399334597,0.9455491562196745,0.9712467571855709,0.9724224646475825,1.944394735611709,0.0025084529545314057,0.0034898007827658967,0.04107131896307692,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,11,11,11,11,11,0,0,0,22,22,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,12,0.2,1.0451826956255639,0.0008537142490079308,nan,0.001383107018505831,0.03377379531717866,0.03337125597073467,0.9489113279600687,0.94993948645971,0.9758801921584759,0.9769375717941011,1.9534513194637446,0.0016732758592268762,0.002345529346064081,0.044609138974919915,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,12,12,12,12,12,0,0,0,24,24,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,13,0.2,1.044895781791554,0.0005668004149981254,nan,0.0009088951390689539,0.02716097790777222,0.02793248106748901,0.9527060496414521,0.9536232260827818,0.9797827630462924,0.9807260064194451,1.9610563831216363,0.0011147612951833805,0.0015763507228037552,0.04810457897838205,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,13,13,13,13,13,0,0,0,26,26,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,14,0.2,1.044705237473032,0.0003762560964759576,nan,0.0005968665631339235,0.021821890609405988,0.02336618124981071,0.955897650321943,0.9567102107220125,0.9830650717231907,0.9839007257785225,1.967434856106308,0.0007421109167724342,0.0010596797198736848,0.051627568958792835,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,14,14,14,14,14,0,0,0,28,28,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,15,0.2,1.0445787953108905,0.0002498139343345418,nan,0.0003918330028396093,0.01751808254137635,0.019536678863925676,0.9585787632768539,0.95929442378907,0.9858223841806801,0.9865583843712175,1.9727792835462499,0.0004938730965928952,0.000712721279768763,0.05512453895062208,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,15,15,15,15,15,0,0,0,30,30,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,16,0.2,1.0444949216373602,0.00016594026080429813,nan,0.00025722879806598864,0.01405346499613867,0.016328080461794386,0.9608287597800601,0.9614558970835759,0.9881363274915109,0.988781288568728,1.9772536972134098,0.0003286850630046462,0.00047971173602991113,0.05861411796649918,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,16,16,16,16,16,0,0,0,32,32,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,17,0.2,1.0444392856055114,0.0001103042289554157,nan,0.00016890791226407688,0.011267550362059805,0.013641800591561618,0.9627153529764189,0.9632625124478653,0.9900765392655082,0.9906392494728825,1.9809972882076723,0.00021882465838904056,0.0003231693417670321,0.06212972797220573,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,17,17,17,17,17,0,0,0,34,34,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,18,0.2,1.0444023692889233,7.338791236732867e-05,nan,0.00011096707673523309,0.009029504383590427,0.011394262927878417,0.9642961024342385,0.9647716592292125,0.9917022149626964,0.9921912874848459,1.9841277879912815,0.0001457727555322431,0.00021793493866478504,0.06561845797114074,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,18,18,18,18,18,0,0,0,36,36,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,19,0.2,1.0443778602320062,4.887885545024062e-05,nan,7.295262145803827e-05,0.007233014412337275,0.00951481501215171,0.9656197903792689,0.9660317264730512,0.9930635232410276,0.9934871669077349,1.9867445139557696,9.718823977669548e-05,0.00014713447237443182,0.06910618796246126,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,19,19,19,19,19,0,0,0,38,38,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,20,0.2,1.0443615756290832,3.259425252721826e-05,nan,4.800293405851322e-05,0.0057919269375404595,0.00794386915182525,0.9667276572853548,0.9670834247877254,0.9942028766635663,0.9945687553798879,1.9889310685670565,6.486127870056972e-05,9.945464963995721e-05,0.07259780797176063,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,20,20,20,20,20,0,0,0,40,40,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,21,0.2,1.0443507450733864,2.1763696830490176e-05,nan,3.1618582029802305e-05,0.004636581773936663,0.006631266688115747,0.9676544955477948,0.9679609429157369,0.9951560564549743,0.9954712133168455,1.9907577018930542,4.3336592722962366e-05,6.731021961829758e-05,0.07609968795441091,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,21,21,21,21,21,0,0,0,42,42,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,22,0.2,1.0443435337613116,1.4552384755672776e-05,nan,2.0850840998634514e-05,0.003710759750724901,0.005534853517127451,0.9684296069083451,0.9686929499613498,0.9959531971373438,0.9962240246231133,1.9922833595214584,2.899159779055521e-05,4.56137572561124e-05,0.07958671799860895,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,22,22,22,22,22,0,0,0,44,44,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,23,0.2,1.0443387262221597,9.744845603787411e-06,nan,1.3767732183290138e-05,0.002969159780857811,0.004619249615816658,0.9690776333303858,0.9693034572774025,0.9966196410195388,0.9968518830745289,1.9935574442113841,1.9421265037021466e-05,3.095109950788603e-05,0.08313909795833752,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,23,23,23,23,23,0,0,0,46,46,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,24,0.2,1.04433551684459,6.5354680340856675e-06,nan,9.103385591907571e-06,0.0023753257792362833,0.003854793020232001,0.9696192730478717,0.9698125551721876,0.997176674596867,0.997375449962974,1.9946213220665476,1.3028703728154036e-05,2.1029170781811163e-05,0.08665670797927305,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,24,24,24,24,24,0,0,0,48,48,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,25,0.2,1.0443333712712135,4.3898946575637865e-06,nan,6.028133008390383e-06,0.0018999513647523644,0.0032166382401460224,0.9700718942034043,0.9702370395513509,0.9976421596292628,0.9978119985479684,1.9955096039838962,8.753167773265122e-06,1.430637026484345e-05,0.09016875800443813,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,25,25,25,25,25,0,0,0,50,50,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
smoke,G,G_local_spectral_smoke,FR--KL,4219517623,26,0.2,1.0443319347323845,2.953355828561044e-06,nan,3.997917753816263e-06,0.001519498909608968,0.002683989770970013,0.9704500583322978,0.9705909428421807,0.9980310715032157,0.9981759600702774,1.996251231607875,5.889580367767264e-06,9.745167215599556e-06,0.09365774696925655,,nan,nan,0.9897964993198304,1.0052366805746809,nan,nan,nan,26,26,26,26,26,0,0,0,52,52,0,1,False,False,0.2,0,0.827166786188724,1.8084267955745796,0.9999999999999996,1.0500000000000003,0.9723645746525946,1.020982803385225,1.0500000000000007,0.8227366780467325,0.8227366780467329,1.028420847558416
