tier,experiment,job_id,method,seed,iteration,interpolation_level,optimizer_relative_distance,raw_intrinsic_variance,stl_intrinsic_variance,stl_raw_variance_ratio,psi_hessian_fluctuation,fisher_rao_gradient_norm_squared,measured_tangent_variance,lemma_variance_bound,lemma_bound_slack
smoke,I,I_variance_ablation_smoke,raw-vs-STL-ablation,3309000958,0,0.0,1.957058289433823,1.018411901307275,0.44914014111972345,0.4410201221560636,0.0,4.037580413281073,0.44914014111972345,2.0187902066405363,1.569650065520813
smoke,I,I_variance_ablation_smoke,raw-vs-STL-ablation,3309000958,1,0.5,0.9785291447169114,0.902507053362458,0.1197812718055802,0.1327205935502806,0.0,0.8725141366945486,0.1197812718055802,0.4362570683472743,0.3164757965416941
smoke,I,I_variance_ablation_smoke,raw-vs-STL-ablation,3309000958,2,0.9,0.19570582894338226,0.7705084227328967,0.0045044849587073795,0.005846120335363158,0.0,0.03052037453575901,0.0045044849587073795,0.015260187267879505,0.010755702309172124
smoke,I,I_variance_ablation_smoke,raw-vs-STL-ablation,3309000958,3,1.0,1.0303683289748176e-15,0.6991364961744085,8.963525268749685e-32,1.2820851604510744e-31,0.0,6.582916291036777e-31,8.963525268749685e-32,3.2914581455183885e-31,2.39510561864342e-31
