dimension,method,seeds,oracle_ms_per_iteration,algebra_ms_per_iteration,total_ms_per_iteration,terminal_gap_median,resolution_floor
10,FB--GVI,5,1.7332912758380796,0.13475599912150435,1.876095508147652,1.262208115804242e-10,1.653877156880763e-14
10,FR--KL,5,1.526509797743832,0.235321622264261,1.770850721319827,0.0,1.65387715688002e-14
10,FR--R,5,1.7703279837345083,0.198459366414075,1.9752886033772181,0.0,1.6538771568800203e-14
10,Sq--NGVI,5,1.6971706197364256,0.164655525004491,1.8723101809155196,0.0,1.65387715688002e-14
25,FB--GVI,5,3.5752853308804333,0.28409996496823897,3.8788130157627165,7.390813721031009e-07,4.320041004887427e-14
25,FR--KL,5,4.531693834578618,0.584425090928562,5.155421079446872,0.0,4.3200409898549064e-14
25,FR--R,5,4.538566229166463,0.5207522128087777,5.074107177594367,0.0,4.3200409898549064e-14
25,Sq--NGVI,5,4.120460946578532,0.3232724665819357,4.478058603126556,0.0,4.3200409898549064e-14
50,FB--GVI,5,8.381076035245012,0.8585555738924691,9.25592469284311,1.193687666045662e-05,8.979167059632746e-14
50,FR--KL,5,9.485780503018761,1.5339640487218273,11.102514465649923,0.0,8.979167008779141e-14
50,FR--R,5,10.255648321278082,1.5822114034866293,11.892823917053951,0.0,8.979167008779141e-14
50,Sq--NGVI,5,7.596405407724281,0.660890314223555,8.271943520521745,5.866863830306102e-07,8.979167022872742e-14
100,FB--GVI,5,23.95208725996781,3.020470608607866,26.993763499776833,0.1529965448405619,1.8019634368460334e-13
100,FR--KL,5,23.75878224983656,4.539557590420979,28.071665094078828,0.0,1.8017477320933263e-13
100,FR--R,5,27.03547710416994,5.765464119031094,32.8319456546645,9.094947017729282e-13,1.8017477320933286e-13
100,Sq--NGVI,5,23.812502157719187,2.249693231230291,26.082218689261936,4.437600068740721e-06,1.80174774024701e-13
200,FB--GVI,5,112.28472073135588,11.767703014387129,124.04128922634602,3.8599236487925737,3.779814614556881e-13
200,FR--KL,5,112.80336561962031,16.36794006859418,129.20109421926705,-2.273736754432321e-13,3.7712438623405114e-13
200,FR--R,5,113.05147288405958,18.920087939477526,132.00239879079163,9.29218094825046e-06,3.7712438829732983e-13
200,Sq--NGVI,5,111.77428206525899,9.146248654772839,121.74194335976307,0.0214552859515606,3.7712915026454385e-13
