method,algorithm_seconds,median,lower,upper
FR--R--STL,0.0,545.7152083153993,545.7152083153993,545.7152083153993
FR--R--STL,0.0079452200443483,227.42883438317992,97.4771398904104,312.53956226566027
FR--R--STL,0.0161413100431673,182.12801172518,69.49313945104349,251.07854149033014
FR--R--STL,0.0247639990993775,159.35763024277136,56.240120730277596,219.8786290665802
FR--R--STL,0.0330200591124594,146.1380966837311,47.797203083631224,199.72109122413528
FR--R--STL,0.0491216490627266,136.86863203386753,41.42729765776248,184.42124762381843
FR--R--STL,0.0575375790358521,129.61286520804907,36.06337574541975,170.7764112513435
FR--R--STL,0.065770028042607,122.9751659039296,31.194896593252892,158.0010040015081
FR--R--STL,0.0740080179530195,116.85025007404413,26.633846932101946,144.99618750190604
FR--R--STL,0.0822005780646577,107.40317378425196,22.400797998726393,132.87147990562642
FR--R--STL,0.0903811370953917,90.79139065615264,18.542460717892467,123.21307649820497
FR--R--STL,0.0988230271614156,74.35297696050503,15.040170466361648,113.23271409130723
FR--R--STL,0.106993367196992,58.52912864725673,11.856016576835609,102.66726596414857
FR--R--STL,0.1150426971144042,44.32268251933056,9.14632714670951,91.61382186151206
FR--R--STL,0.1233844871167093,32.27868765724671,6.985396450311692,80.15501113359787
FR--R--STL,0.1315139061771333,22.737511658173872,5.278386653322135,68.42313911369376
FR--R--STL,0.1398334061959758,15.705426461242496,3.9645530544903864,56.974065185667676
FR--R--STL,0.1481424562516622,10.851183436249102,2.985933726287885,46.74927970250958
FR--R--STL,0.1570803252980113,7.599070046961856,2.286412956008445,37.07405817581485
FR--R--STL,0.165378195408266,5.500565902980924,1.7706199425159865,28.55892044227672
FR--R--STL,0.1734683153335936,4.0330743904995785,1.3746102806538487,21.29637616709396
FR--R--STL,0.1814306342857889,3.101893994772581,1.0816396995234725,15.481436319543372
FR--R--STL,0.1894534842576831,2.398144216037465,0.8580226583874151,11.043189132384903
FR--R--STL,0.1975062442361377,1.8876802317019925,0.676540494199196,7.872694440134775
FR--R--STL,0.2054516542120836,1.5126010762970878,0.540851247424905,5.6565315679973285
FR--R--STL,0.2135017241816967,1.2503814432531186,0.4390289256735087,4.121504526836247
FR--R--STL,0.2215951431426219,1.0218597654105537,0.35355687312373046,3.0559779257561273
FR--R--STL,0.2295468732481822,0.8340586805352928,0.28958440642473987,2.360232695665104
FR--R--STL,0.2374546232749708,0.6950872960364904,0.23994253738182747,1.8142594799674332
FR--R--STL,0.2527984223561361,0.58478055964693,0.19884021192639517,1.4261957717908418
FR--R--STL,0.2609793324372731,0.480713430710324,0.1648774817036667,1.120601467116609
FR--R--STL,0.2700568424188532,0.4052673654854857,0.13670123688179386,0.8912684407636221
FR--R--STL,0.2784981624572538,0.3411838456228651,0.11250083551224746,0.7111513404767607
FR--R--STL,0.2887952424935065,0.2868273534232486,0.09197834742976166,0.5805067703284834
FR--R--STL,0.2976699123973958,0.2401024711810464,0.07676000479252988,0.4738491176945899
FR--R--STL,0.308637312380597,0.2036218606872069,0.06442884910516107,0.3926575932959935
FR--R--STL,0.3166978923254646,0.1753179399591999,0.05640220357477966,0.31876219471044176
FR--R--STL,0.3249786723172292,0.1470243774487727,0.04628838052028636,0.25972517938511713
FR--R--STL,0.3331234612851403,0.1185469672892622,0.03911986700975938,0.21170717768691244
FR--R--STL,0.3414380712783895,0.1007486950325642,0.03361637552018798,0.17148532194712515
FR--R--STL,0.353704521257896,0.084772469471531,0.02744914274542786,0.14388941031008923
FR--R--STL,0.3626158112892881,0.0726786208595342,0.0243559366926405,0.12184584793025688
FR--R--STL,0.3709707102971151,0.0632522908504142,0.019730367879293418,0.1017380944986456
FR--R--STL,0.3792956101824529,0.0549594659746333,0.01609426215577508,0.08531446386556917
FR--R--STL,0.3874081302201375,0.0453052165121334,0.01430008300345654,0.06893984154388307
FR--R--STL,0.4012962501728907,0.0395172551088194,0.01365474497266626,0.05847704744836614
FR--R--STL,0.409565219131764,0.0306571144550105,0.012284813402197801,0.04710863964141934
FR--R--STL,0.4177386479568667,0.0255983959972638,0.0114636532252973,0.04067107048296346
FR--R--STL,0.4275254778913222,0.0205987405914669,0.0092116622283668,0.033657711028555984
FR--R--STL,0.4376557079376653,0.0190521577698206,0.00843541994448168,0.02917494655981724
FR--R--STL,0.4476678069331683,0.0153241897551765,0.0078934482421118,0.026430780721622624
FR--R--STL,0.4576195159461349,0.012761764849074,0.0065151115445246195,0.022977414273850562
FR--R--STL,0.466691586014349,0.0129345825417743,0.00571300927266516,0.0213583080129865
FR--R--STL,0.474806775979232,0.0118808212652652,0.0067179427446319,0.01963002401455748
FR--R--STL,0.4828537750872783,0.0101417242323691,0.00603840912127674,0.01767992464645538
FR--R--STL,0.4968833851162344,0.0102758022862445,0.00578414569547186,0.014415912476169902
FR--R--STL,0.5048765550600365,0.0114451874709118,0.00693362382320682,0.0137488141939854
FR--R--STL,0.5130300440941937,0.008681767287598,0.00737887746464304,0.01256866711777314
FR--R--STL,0.5211760932579637,0.0083606007527663,0.00620223159153564,0.010831242766243981
FR--R--STL,0.5292958933277987,0.0078778176597325,0.0054837633264127605,0.01015504414440896
FR--R--STL,0.5373301432700828,0.0074450147258602,0.00548036448057012,0.009000626608690221
FR--R--STL,0.5453548723016866,0.0069245362359851,0.00491621094753326,0.00834330429000258
FR--R--STL,0.5531530723674223,0.0062578534611219,0.00481041222047334,0.008204584008535621
FR--R--STL,0.5611178323742934,0.0054965780545472,0.00453196030118188,0.00698528660038842
FR--R--STL,0.5691012513125315,0.0056763115866971,0.00446829878279394,0.007402534277161941
FR--R--STL,0.5774922197451815,0.0065599239531621,0.00457900750737678,0.00813022183666584
FR--R--STL,0.5877003598143347,0.0067718668275347,0.0049643588811022,0.00811216395181872
FR--R--STL,0.6013448319281451,0.0060251878292376,0.00512900532078784,0.00730943214647934
