job_id,method,dimension,condition,rho,kappa_star,beta_star,step_size,iterations_to_tolerance,flow_time_to_tolerance,censored,terminal_normalized_gap
F2global_d10_k1_rho1,FR--KL,10,1.0,1.0,2.0320229749103698,1.196022815614871,1.672208902613454,19.0,31.771969149655625,False,0.0
F2global_d10_k1_rho1,FB--GVI,10,1.0,1.0,2.0320229749103698,1.196022815614871,0.836104451306727,5.0,4.180522256533635,False,-4.436047099785108e-16
F2global_d50_k100_rho0.1,FR--R,50,100.0,0.1,11.0,5.08696255475236,0.3931619268814068,14.0,5.504266976339695,False,0.0
F2global_d50_k100_rho0.1,FR--KL,50,100.0,0.1,11.0,5.08696255475236,0.3931619268814068,15.0,5.897428903221102,False,-1.7623792500416645e-15
F2global_d50_k100_rho0.1,FB--GVI,50,100.0,0.1,11.0,5.08696255475236,0.1965809634407034,32.0,6.290590830102508,False,0.0
F2global_d50_k100_rho1,FR--R,50,100.0,1.0,101.0,2.0849319865996927,0.9592639054196634,6.0,5.75558343251798,False,1.2317175381653283e-15
F2global_d50_k100_rho1,FR--KL,50,100.0,1.0,101.0,2.0849319865996927,0.9592639054196634,11.0,10.551902959616298,False,1.2317175381653283e-15
F2global_d50_k100_rho1,FB--GVI,50,100.0,1.0,101.0,2.0849319865996927,0.4796319527098317,11.0,5.275951479808149,False,-1.2317175381653283e-15
F2global_d50_k10_rho0.1,FR--R,50,10.0,0.1,2.0,1.5768815086517756,1.268326116468946,6.0,7.609956698813677,False,1.7174639304201363e-15
F2global_d50_k10_rho0.1,FR--KL,50,10.0,0.1,2.0,1.5768815086517756,1.268326116468946,6.0,7.609956698813677,False,1.7174639304201363e-15
F2global_d50_k10_rho0.1,FB--GVI,50,10.0,0.1,2.0,1.5768815086517756,0.6341630582344729,7.0,4.43914140764131,False,0.0
F2global_d50_k10_rho1,FR--R,50,10.0,1.0,11.0,1.7830589609147074,1.1216678998511638,4.0,4.486671599404655,False,-3.169278297470496e-15
F2global_d50_k10_rho1,FR--KL,50,10.0,1.0,11.0,1.7830589609147074,1.1216678998511638,8.0,8.97334319880931,False,-3.169278297470496e-15
F2global_d50_k10_rho1,FB--GVI,50,10.0,1.0,11.0,1.7830589609147074,0.5608339499255819,9.0,5.047505549330237,False,-4.753917446205744e-15
F2global_d50_k1_rho0.1,FR--R,50,1.0,0.1,1.1043470771396466,1.0402133741272546,1.922682451259586,91.0,174.96410306462232,False,0.0
F2global_d50_k1_rho0.1,FR--KL,50,1.0,0.1,1.1043470771396466,1.0402133741272546,1.922682451259586,87.0,167.27337325958396,False,0.0
F2global_d50_k1_rho0.1,FB--GVI,50,1.0,0.1,1.1043470771396466,1.0402133741272546,0.961341225629793,3.0,2.8840236768893788,False,0.0
F2global_d50_k1_rho1,FR--R,50,1.0,1.0,2.032416666911565,1.1960228156148702,1.6722089026134508,20.0,33.44417805226902,False,0.0
F2global_d50_k1_rho1,FR--KL,50,1.0,1.0,2.032416666911565,1.1960228156148702,1.6722089026134508,18.0,30.099760247042113,False,-1.357162835444149e-15
F2global_d50_k1_rho1,FB--GVI,50,1.0,1.0,2.032416666911565,1.1960228156148702,0.8361044513067254,5.0,4.180522256533627,False,-2.714325670888298e-15
