job_id,method,dimension,condition,rho,kappa_star,beta_star,step_size,iterations_to_tolerance,flow_time_to_tolerance,censored,terminal_normalized_gap
F2global_d10_k100_rho0.1,FR--R,10,100.0,0.1,11.0,5.08696255475236,0.3931619268814067,14.0,5.504266976339694,False,-4.4333065065764137e-16
F2global_d10_k100_rho0.1,FR--KL,10,100.0,0.1,11.0,5.08696255475236,0.3931619268814067,15.0,5.897428903221101,False,-8.866613013152827e-16
F2global_d10_k100_rho0.1,FB--GVI,10,100.0,0.1,11.0,5.08696255475236,0.1965809634407033,32.0,6.290590830102506,False,4.4333065065764137e-16
F2global_d10_k100_rho1,FR--R,10,100.0,1.0,101.0,2.0849319865996923,0.9592639054196648,6.0,5.755583432517989,False,0.0
F2global_d10_k100_rho1,FR--KL,10,100.0,1.0,101.0,2.0849319865996923,0.9592639054196648,13.0,12.470430770455643,False,0.0
F2global_d10_k100_rho1,FB--GVI,10,100.0,1.0,101.0,2.0849319865996923,0.4796319527098323,12.0,5.755583432517987,False,3.4904392502803127e-16
F2global_d10_k10_rho0.1,FR--R,10,10.0,0.1,2.0,1.5768815086517751,1.2683261164689472,6.0,7.609956698813683,False,-4.3871882846630967e-16
F2global_d10_k10_rho0.1,FR--KL,10,10.0,0.1,2.0,1.5768815086517751,1.2683261164689472,6.0,7.609956698813683,False,-4.3871882846630967e-16
F2global_d10_k10_rho0.1,FB--GVI,10,10.0,0.1,2.0,1.5768815086517751,0.6341630582344736,7.0,4.439141407641316,False,0.0
F2global_d10_k10_rho1,FR--R,10,10.0,1.0,11.000000000000002,1.7830589609147085,1.121667899851166,4.0,4.486671599404664,False,0.0
F2global_d10_k10_rho1,FR--KL,10,10.0,1.0,11.000000000000002,1.7830589609147085,1.121667899851166,8.0,8.973343198809328,False,-6.029524271418591e-16
F2global_d10_k10_rho1,FB--GVI,10,10.0,1.0,11.000000000000002,1.7830589609147085,0.560833949925583,9.0,5.047505549330247,False,-6.029524271418591e-16
F2global_d10_k1_rho0.1,FR--R,10,1.0,0.1,1.1042932735676103,1.0402133741272546,1.922682451259586,91.0,174.96410306462232,False,-4.362940875685933e-16
F2global_d10_k1_rho0.1,FR--KL,10,1.0,0.1,1.1042932735676103,1.0402133741272546,1.922682451259586,89.0,171.11873816210314,False,0.0
F2global_d10_k1_rho0.1,FB--GVI,10,1.0,0.1,1.1042932735676103,1.0402133741272546,0.9613412256297932,3.0,2.8840236768893797,False,0.0
F2global_d10_k1_rho1,FR--R,10,1.0,1.0,2.0320229749103698,1.196022815614871,1.672208902613454,19.0,31.771969149655625,False,0.0
