method,iteration,dispersion,median_distance,seeds
BBVI--STL,0,2.2584051416334807e-16,1.3300109052715507,30
BBVI--STL,1,0.004998160148289872,1.2794255167091177,30
BBVI--STL,2,0.013719311913433153,1.2349919327444643,30
BBVI--STL,3,0.020243058266322587,1.1890153655719087,30
BBVI--STL,4,0.02677353277467996,1.1524402814135106,30
BBVI--STL,5,0.03201626750491708,1.1155035686988026,30
BBVI--STL,6,0.033763679896906935,1.0860152278911404,30
BBVI--STL,7,0.03849497879396502,1.0575317233054218,30
BBVI--STL,8,0.0415335104941603,1.030638995602884,30
BBVI--STL,9,0.043409900608579716,1.0018071772376171,30
BBVI--STL,10,0.049663685519497944,0.9753002260771011,30
BBVI--STL,11,0.053241680785404664,0.950607167728226,30
BBVI--STL,12,0.05317715441512012,0.9240754958025736,30
BBVI--STL,13,0.05725574374520362,0.8909230453368029,30
BBVI--STL,14,0.05405387326182301,0.8797334204540228,30
BBVI--STL,15,0.053242413674191094,0.8507401643716551,30
BBVI--STL,16,0.04398958623443956,0.8407008910029918,30
BBVI--STL,17,0.040435684412306924,0.8239263176351732,30
BBVI--STL,18,0.0410374255564027,0.8065416161871476,30
BBVI--STL,19,0.042026046722963055,0.7922264565768571,30
BBVI--STL,20,0.0415316595329509,0.7716427689995825,30
BBVI--STL,21,0.04140941555194672,0.7483576933580718,30
BBVI--STL,22,0.03408175049057382,0.733654571955053,30
BBVI--STL,23,0.0309403418719419,0.7201522278528341,30
BBVI--STL,24,0.02957219989084745,0.7087960163732714,30
BBVI--STL,25,0.03220273521858557,0.6994931427564168,30
BBVI--STL,26,0.03327573406352603,0.6870676966239011,30
BBVI--STL,27,0.03252240050349166,0.6712868222311483,30
BBVI--STL,28,0.03060944504220065,0.6619298913615239,30
BBVI--STL,29,0.029993010713230572,0.6531182386707682,30
BBVI--STL,30,0.026833312559538695,0.6404091872395279,30
BBVI--STL,31,0.02765804384531805,0.6284216859635625,30
BBVI--STL,32,0.02702887310743963,0.6156748576871217,30
BBVI--STL,33,0.027502659991774633,0.6022828265363354,30
BBVI--STL,34,0.024004470106299712,0.5919573495325552,30
BBVI--STL,35,0.022605153621310266,0.5812539299875137,30
BBVI--STL,36,0.023118544114641985,0.571708909409911,30
BBVI--STL,37,0.022578906670086992,0.561119525446913,30
BBVI--STL,38,0.022657249450089234,0.5488088627214678,30
BBVI--STL,39,0.02322018046869135,0.5418919908024081,30
BBVI--STL,40,0.023250162686365573,0.5340329432203613,30
BBVI--STL,41,0.021214956186299556,0.5274588917802094,30
BBVI--STL,42,0.020773225472451945,0.5224872310761215,30
BBVI--STL,43,0.020391278606039388,0.5125165929923791,30
BBVI--STL,44,0.01858439001743176,0.5044472881818787,30
BBVI--STL,45,0.016070593131728608,0.497672019431169,30
BBVI--STL,46,0.01495906404093423,0.4919163629333464,30
BBVI--STL,47,0.014796100783559469,0.4816926463945381,30
BBVI--STL,48,0.015410714820381869,0.47692849469121057,30
BBVI--STL,49,0.014480882862052246,0.4707711493488708,30
BBVI--STL,50,0.013332936206546993,0.46360881008886534,30
BBVI--STL,51,0.012800886536273927,0.4564751404389017,30
BBVI--STL,52,0.01206772626267628,0.4517250465351583,30
BBVI--STL,53,0.011480205362081428,0.4452957515476481,30
BBVI--STL,54,0.011707812799682119,0.4389109314295786,30
BBVI--STL,55,0.011254100394754132,0.43485964973796015,30
BBVI--STL,56,0.011391612128769487,0.42949773674214897,30
BBVI--STL,57,0.010738813086694115,0.42546312695175514,30
BBVI--STL,58,0.010684222115168696,0.4197048366604388,30
BBVI--STL,59,0.010294935263943513,0.41499349490067394,30
BBVI--STL,60,0.009672820331356125,0.40875270329859226,30
BBVI--STL,61,0.009860949964251828,0.40398856877238004,30
BBVI--STL,62,0.009865152420455594,0.3998398818474689,30
BBVI--STL,63,0.009684953024684145,0.3956569505375155,30
BBVI--STL,64,0.009091557299674336,0.39138606728787817,30
BBVI--STL,65,0.008657705201681683,0.3847284866714611,30
BBVI--STL,66,0.008378704419890427,0.3831938938672518,30
BBVI--STL,67,0.007788006557393755,0.3781319940430363,30
BBVI--STL,68,0.007996655273240423,0.3738871817734391,30
BBVI--STL,69,0.007710680693077027,0.3704580982926515,30
BBVI--STL,70,0.008111944172277593,0.36724730329904687,30
BBVI--STL,71,0.008261494292969625,0.36361379904775876,30
BBVI--STL,72,0.008563311314749683,0.36033383107701633,30
BBVI--STL,73,0.008117404321321721,0.3543332845614245,30
BBVI--STL,74,0.007826368652628996,0.3524403900794886,30
BBVI--STL,75,0.007688798632366919,0.3478315956729171,30
BBVI--STL,76,0.007679217400499295,0.3442285140934135,30
BBVI--STL,77,0.007455703437363133,0.33895634171928685,30
BBVI--STL,78,0.007530288446409124,0.33524632223873274,30
BBVI--STL,79,0.007545760411735916,0.33107480852108406,30
BBVI--STL,80,0.0073912051396580565,0.329032692686696,30
BBVI--STL,81,0.0073833423793128235,0.32567696169313076,30
BBVI--STL,82,0.007393447079886076,0.3225333459723822,30
BBVI--STL,83,0.0070558808494719455,0.3193696777510303,30
BBVI--STL,84,0.007171843195157136,0.31596307224676373,30
BBVI--STL,85,0.006909069502141111,0.3136078634704621,30
BBVI--STL,86,0.006919381618701532,0.311080790139462,30
BBVI--STL,87,0.0066333068885997305,0.3077815338097255,30
BBVI--STL,88,0.006658248009039994,0.30497570758586046,30
BBVI--STL,89,0.006442504050699892,0.3025170346727268,30
BBVI--STL,90,0.0064181871082956065,0.29978674563478347,30
BBVI--STL,91,0.006172515340620008,0.29747956290551175,30
BBVI--STL,92,0.006309755018605794,0.2944362878377119,30
BBVI--STL,93,0.006011327740063612,0.29226083510037393,30
BBVI--STL,94,0.005977170056638491,0.29011908727467,30
BBVI--STL,95,0.006136824900014881,0.28746759811794476,30
BBVI--STL,96,0.006061035906508471,0.28386626542554316,30
BBVI--STL,97,0.005450869871482029,0.28110723249702396,30
BBVI--STL,98,0.005260082719516298,0.2786943955992196,30
BBVI--STL,99,0.005413107466834094,0.2762453073895612,30
BBVI--STL,100,0.005226692914364242,0.27362518141411146,30
BBVI--STL,101,0.005318697467559671,0.2706392527813834,30
BBVI--STL,102,0.005189189958682813,0.2686623770914265,30
BBVI--STL,103,0.005262234151076759,0.26613839423011715,30
BBVI--STL,104,0.0048045860363166385,0.26376934158533955,30
BBVI--STL,105,0.004603612368725945,0.26178832936542473,30
BBVI--STL,106,0.004584354017062509,0.2600398774671435,30
BBVI--STL,107,0.004602492826335056,0.25811495405118645,30
BBVI--STL,108,0.004567810737947162,0.2555215160632991,30
BBVI--STL,109,0.004617624222547702,0.2533370688657678,30
BBVI--STL,110,0.004752510420225737,0.2516167562646442,30
BBVI--STL,111,0.004867283157133482,0.24951208174259248,30
BBVI--STL,112,0.004880705413607233,0.24776383732383986,30
BBVI--STL,113,0.0050202981372071305,0.245081457987581,30
BBVI--STL,114,0.004941598100217712,0.2437045118675024,30
BBVI--STL,115,0.005097920268102145,0.2421132614730364,30
BBVI--STL,116,0.0051297646599227364,0.24054670583592197,30
BBVI--STL,117,0.005173640586632138,0.2387064445337958,30
BBVI--STL,118,0.005075246984693906,0.23758151047972897,30
BBVI--STL,119,0.004960188925905677,0.2356733804457406,30
BBVI--STL,120,0.00490595600561787,0.23363320123174097,30
BBVI--STL,121,0.004711140435269202,0.23241677343429268,30
BBVI--STL,122,0.004483129726912367,0.2303894146850139,30
BBVI--STL,123,0.004341583575434895,0.22905649217872304,30
BBVI--STL,124,0.004433451678345163,0.22732141411450435,30
BBVI--STL,125,0.004499460804785806,0.22580063430670774,30
BBVI--STL,126,0.004257776013064796,0.22464160141753664,30
BBVI--STL,127,0.004136780692688168,0.22264768494607073,30
BBVI--STL,128,0.00412821163412771,0.22123329663442357,30
BBVI--STL,129,0.004052695800009042,0.21940907212439562,30
BBVI--STL,130,0.004010392474933623,0.2179413913685596,30
BBVI--STL,131,0.0039272124555507675,0.21636003005562404,30
BBVI--STL,132,0.003830443585097494,0.21521650468601486,30
BBVI--STL,133,0.003965380643415543,0.21343070697894398,30
BBVI--STL,134,0.003730889009666986,0.21205156121841506,30
BBVI--STL,135,0.0037223863097866033,0.21071714014657167,30
BBVI--STL,136,0.003788671361662089,0.2091268308149009,30
BBVI--STL,137,0.0035309913798377258,0.2077599797411986,30
BBVI--STL,138,0.0035650392561412283,0.20648300915234874,30
BBVI--STL,139,0.0035762734828453926,0.20479208871877153,30
BBVI--STL,140,0.0033986979092746777,0.20350629517619317,30
BBVI--STL,141,0.003398511657792065,0.20259741943161266,30
BBVI--STL,142,0.0033779656239532603,0.20137017054843914,30
BBVI--STL,143,0.003355393133551925,0.20019995651845002,30
BBVI--STL,144,0.0031773636536098775,0.19921867516123487,30
BBVI--STL,145,0.003070966754372368,0.19819264781898574,30
BBVI--STL,146,0.0028777374686760346,0.19713755756728613,30
BBVI--STL,147,0.002887235335778515,0.19613280193512372,30
BBVI--STL,148,0.002916400723083509,0.1949705285421608,30
BBVI--STL,149,0.00286876995988317,0.19394036792227418,30
BBVI--STL,150,0.0028379511520006655,0.1926920474021509,30
BBVI--STL,151,0.002867032596464438,0.19162924519081198,30
BBVI--STL,152,0.002910720859407343,0.19063521254452404,30
BBVI--STL,153,0.002905198497171872,0.18982652680329964,30
BBVI--STL,154,0.0028260174825478464,0.18875483299513804,30
BBVI--STL,155,0.0028553133429870883,0.18779314727704924,30
BBVI--STL,156,0.0029228396431485687,0.18682294650225229,30
