rescue,batch_size,oracle_pairs,median_gap
False,8,0,0.6018223498132569
False,8,80,0.46387181209382033
False,8,160,0.35494289088506464
False,8,240,0.2697299473926411
False,8,320,0.20349065108089576
False,8,400,0.15301017621949592
False,8,480,0.1141104704897837
False,8,560,0.08465704929893064
False,8,640,0.062242627275152604
False,8,720,0.04661621142983205
False,8,800,0.034222845064733
False,8,880,0.025644920632486398
False,8,960,0.01896827132588845
False,8,1040,0.01412235912207155
False,8,1120,0.010683980342934999
False,8,1200,0.00769060664064275
False,8,1280,0.00621155626796185
False,8,1360,0.004419682659147351
False,8,1440,0.00356355507428535
False,8,1520,0.00257120042924435
False,8,1600,0.0020632049446578
False,8,1680,0.00154496404031285
False,8,1760,0.0013377247369965
False,8,1840,0.0010823680275495
False,8,1920,0.0009503444887286
False,8,2000,0.000862328516892
False,8,2080,0.00074911122049265
False,8,2160,0.0006489388661292
False,8,2240,0.0006175240174392501
False,8,2320,0.00061124891653595
False,8,2400,0.000520258918327
False,8,2480,0.00055612400250155
False,8,2560,0.0005203812531102
False,8,2640,0.0005503429378013
False,8,2720,0.0005916445223408001
False,8,2800,0.0005327803838434499
False,8,2880,0.00051939877295835
False,8,2960,0.0005795590927957
False,8,3040,0.0005332992109576
False,8,3120,0.00054212106398305
False,8,3200,0.00046664108346785
False,8,3280,0.0004625321710731
False,8,3360,0.00047150348561905003
False,8,3440,0.000497083612188
False,8,3520,0.0005349337686819499
False,8,3600,0.0005829282734008501
False,8,3680,0.0005190257154561
False,8,3760,0.0004899358376371
False,8,3840,0.000465257943222
False,8,3920,0.0004856831411599
False,8,4000,0.00053385832889715
False,8,4080,0.00053873894554395
False,8,4160,0.0005491182957833
False,8,4240,0.0004791897328688
False,8,4320,0.00052034349914895
False,8,4400,0.00064343892808865
False,8,4480,0.0006258358399513001
False,8,4560,0.0005712682375302
False,8,4640,0.0005815144697853499
False,8,4720,0.00059356884546385
False,8,4800,0.0004979160621707
False,8,4880,0.00049048873860075
False,8,4960,0.00046689944482245004
False,8,5040,0.0005061570940729
False,8,5120,0.000499826188812
False,8,5200,0.0005002291932827
False,8,5280,0.00050957784532585
False,8,5360,0.0005740516486105001
False,8,5440,0.000672149148289
False,8,5520,0.00064248507981895
False,8,5600,0.00050632330929275
False,8,5680,0.00052628901648875
False,8,5760,0.00057159049881855
False,8,5840,0.0005425113485122
False,8,5920,0.0005736981265389
False,8,6000,0.00049679344472145
False,8,6080,0.0005703972966597
False,8,6160,0.00051457911566015
False,8,6240,0.0005836001280519
False,8,6320,0.00051314265531395
False,8,6400,0.0005356653105206
False,8,6480,0.00056725339225225
False,8,6560,0.00051345690782905
False,8,6640,0.0005264529670361
False,8,6720,0.00053619824712565
False,8,6800,0.0005568493145964
False,8,6880,0.00050399245978825
False,8,6960,0.00058535440653925
False,8,7040,0.00060218085422865
False,8,7120,0.0005621128516959
False,8,7200,0.00048321787169839996
False,8,7280,0.0004849180665624
False,8,7360,0.0004871037717193
False,8,7440,0.00041989186996355
False,8,7520,0.00043105226374555
False,8,7600,0.0004698310620243
False,8,7680,0.00051755744698795
False,8,7760,0.0004603974419845
False,8,7840,0.00048020893723995
False,8,7920,0.0004949770110944001
False,8,8000,0.0004711732159976
False,8,8080,0.00041583644904445
False,8,8160,0.0004284364453357
False,8,8240,0.00042572367686584997
False,8,8320,0.00048651665172445
False,8,8400,0.0005069022615011
False,8,8480,0.0004742284406291
False,8,8560,0.0005399450253462
False,8,8640,0.00051510649068295
False,8,8720,0.00051797572393835
False,8,8800,0.00048586877173345
False,8,8880,0.00055024829753895
False,8,8960,0.0005709972937766
False,8,9040,0.00054115277400775
False,8,9120,0.00054563700446315
False,8,9200,0.0005096854201136
False,8,9280,0.00054412482572495
False,8,9360,0.00052232025593475
False,8,9440,0.0005228348034016
False,8,9520,0.0005274505717496
False,8,9600,0.0005071110481087
False,8,9680,0.00061560732606965
False,8,9760,0.00049236447166875
False,8,9840,0.00048618173047505005
False,8,9920,0.0005659792584582
False,8,10000,0.00053956873696445
False,8,10080,0.0005101584244493001
False,8,10160,0.000508644701227
False,8,10240,0.000468728660917
False,8,10320,0.00041160786102165
False,8,10400,0.00040836286518425
False,8,10480,0.00049987005433165
False,8,10560,0.0004990886064554999
False,8,10640,0.0005752049927453999
False,8,10720,0.0005281952901623
False,8,10800,0.0004772890736406
False,8,10880,0.0005770680448055499
False,8,10960,0.0005205792000686
False,8,11040,0.0005229008435061
False,8,11120,0.00044750377704654996
False,8,11200,0.00047981185767825
False,8,11280,0.00048033613254445
False,8,11360,0.00047646626128985004
False,8,11440,0.000512067117985
False,8,11520,0.0004358582950354
False,8,11600,0.0004971561152928
False,8,11680,0.00048397051467345003
False,8,11760,0.0005251898830572999
False,8,11840,0.0005053083866317001
False,8,11920,0.00047245171927019997
False,8,12000,0.00045044489454319997
False,8,12080,0.00044691301415994997
False,8,12160,0.00048827298689375
False,8,12240,0.0004565706437937
False,8,12320,0.00049991809958835
False,8,12400,0.0005494086868678
False,8,12480,0.0005749658386249
False,8,12560,0.00046084618198565
False,8,12640,0.00048362653056915005
False,8,12720,0.0005316955757135
False,8,12800,0.00047931915478735
False,8,12880,0.0004481342241073
False,8,12960,0.00045601429196289996
False,8,13040,0.0004526963924003
False,8,13120,0.0003935379582995
False,8,13200,0.0004214576665861
False,8,13280,0.00046696732162345
False,8,13360,0.00039231730836990003
False,8,13440,0.00050651143439935
False,8,13520,0.000479751196583
False,8,13600,0.00053878445801555
False,8,13680,0.00050611907662285
False,8,13760,0.00048619852872939997
False,8,13840,0.000497961027035
False,8,13920,0.00048706009480925
False,8,14000,0.00055633581355645
False,8,14080,0.0005295526326922
False,8,14160,0.0005774514526470499
False,8,14240,0.00049254829316855
False,8,14320,0.00048954036203635
False,8,14400,0.00049875919580295
False,8,14480,0.0004913383004838
False,8,14560,0.00050574089672165
False,8,14640,0.0005859941000182999
False,8,14720,0.00061251654080415
False,8,14800,0.00055325336488195
False,8,14880,0.00062088239500645
False,8,14960,0.0005398681307501999
False,8,15040,0.0005651694582570999
False,8,15120,0.00050826365745935
False,8,15200,0.00051259017001155
False,8,15280,0.0004918074801665
False,8,15360,0.00050900967325645
False,8,15440,0.0004420777095939
False,8,15520,0.00046938607426919997
False,8,15600,0.00054528043775145
False,8,15680,0.0005384436776813999
False,8,15760,0.0004264818724535
False,8,15840,0.00045631261185305
False,8,15920,0.00046705288948385
False,8,16000,0.0005045054530432001
False,8,16080,0.0005706080952454
False,8,16160,0.0005128655608057501
False,8,16240,0.0004699309220548
False,8,16320,0.0004525950404019
False,8,16400,0.00046790390997435
False,8,16480,0.0005411855111523
False,8,16560,0.0004408712858485
False,8,16640,0.0005077780864448001
False,8,16720,0.00048487928798075
False,8,16800,0.0005185313896185
False,8,16880,0.0004646080162817
False,8,16960,0.0005340104710111499
False,8,17040,0.00050251192865765
False,8,17120,0.00052189118576645
False,8,17200,0.00061665853212695
False,8,17280,0.0006065364887115001
False,8,17360,0.0006460783405976499
False,8,17440,0.000619475634918
False,8,17520,0.0006769765375857499
False,8,17600,0.00059219562584895
False,8,17680,0.00051826877500885
False,8,17760,0.00048442908517235
False,8,17840,0.00058176328851495
False,8,17920,0.0006134905988246
False,8,18000,0.00059605222737195
False,8,18080,0.00054926059270595
False,8,18160,0.0006367671730047
False,8,18240,0.00057823545748455
False,8,18320,0.0005033308993822
False,8,18400,0.0005059818204249001
False,8,18480,0.0004956213889054999
False,8,18560,0.00052648380941005
False,8,18640,0.0005666769836714001
False,8,18720,0.00046261506712445
False,8,18800,0.00055761528965755
False,8,18880,0.0005234765388961
False,8,18960,0.00047685480354425
False,8,19040,0.00048625161308945
False,8,19120,0.000511583184775
False,8,19200,0.0005137511445009999
False,8,19280,0.00057304140785725
False,8,19360,0.0005311096750264
False,8,19440,0.00055228036306725
False,8,19520,0.0005363765377145999
False,8,19600,0.0006173424174229
False,8,19680,0.00054147503674245
False,8,19760,0.00061116880299525
False,8,19840,0.0005712388641749
False,8,19920,0.0005095109063333
False,8,20000,0.00056950673463825
False,8,20080,0.0005292276337688999
False,8,20160,0.00048450465465325
False,8,20240,0.00046331077002955
False,8,20320,0.000512446851705
False,8,20400,0.00054505299634265
False,8,20480,0.00044472025658135004
False,8,20560,0.00049449961838815
False,8,20640,0.00050907464361265
False,8,20720,0.0005383579611128501
False,8,20800,0.00045575756370340003
False,8,20880,0.00045231255791695
False,8,20960,0.00041995909817325004
False,8,21040,0.00050590964175295
False,8,21120,0.00049545448090475
False,8,21200,0.0004619967762242
False,8,21280,0.0005176097438561
False,8,21360,0.0005329875961277
False,8,21440,0.0004819450909798
False,8,21520,0.00046959519937444995
False,8,21600,0.0004217136219706
False,8,21680,0.00046761900398845004
False,8,21760,0.00042609337046464995
False,8,21840,0.00038094646594135
False,8,21920,0.00044137919722325
False,8,22000,0.00044402846761210004
False,8,22080,0.000454813779501
False,8,22160,0.000455537459417
False,8,22240,0.00046012865106434997
False,8,22320,0.00049313913936005
False,8,22400,0.00056919680342465
False,8,22480,0.0005211671530918
False,8,22560,0.00050493021852155
False,8,22640,0.0005319432449302
False,8,22720,0.0005197441152411
False,8,22800,0.00047121805151915
False,8,22880,0.0004909118657714
False,8,22960,0.00053132778853365
False,8,23040,0.000538091195394
False,8,23120,0.000492613016036
False,8,23200,0.0004878492131221
False,8,23280,0.0004756933606633
False,8,23360,0.000446001207798
False,8,23440,0.0005186459756347499
False,8,23520,0.0005000806804455499
False,8,23600,0.0005124186973448
False,8,23680,0.0005137091951480999
False,8,23760,0.0005165449506820501
False,8,23840,0.0005109181669178
False,8,23920,0.0004925473574464
False,8,24000,0.0005179942564885001
False,8,24080,0.00048347532847789997
False,8,24160,0.0005514932068919
False,8,24240,0.0005444624275447499
False,8,24320,0.00055390260513105
False,8,24400,0.0005537819848755
False,8,24480,0.0005358227193758499
False,8,24560,0.0006222911522780999
False,8,24640,0.0005101969080274
False,8,24720,0.0004578172492677
False,8,24800,0.00057004267965415
False,8,24880,0.0005501751964196
False,8,24960,0.0005576689754414001
False,8,25040,0.0005227507506310499
False,8,25120,0.0005402908728164
False,8,25200,0.00059525025441415
False,8,25280,0.0005945373182663
False,8,25360,0.00054048811914725
False,8,25440,0.00047915772206545
False,8,25520,0.00043590445042955
False,8,25600,0.00047688482159855
False,8,25680,0.0005013760356859999
False,8,25760,0.00048865556265505
False,8,25840,0.0004808712034889
False,8,25920,0.0005412485674267499
False,8,26000,0.0004921560942583
False,8,26080,0.0005176128048067501
False,8,26160,0.0005434667848183
False,8,26240,0.0005279806895517
False,8,26320,0.00055694834625745
False,8,26400,0.0005332221745506
False,8,26480,0.00051863894372945
False,8,26560,0.00048364874684999996
False,8,26640,0.0005505607653111
False,8,26720,0.00049859020502515
False,8,26800,0.0005037786857835
False,8,26880,0.00048845305071585
False,8,26960,0.0005001175092815501
