dataset,method,seed,seconds,reached
spambase,Price--BBVI,1014754055,1.1613093955093063,True
spambase,Price--BBVI,1159813542,1.215223142877221,True
spambase,Price--BBVI,1772374029,1.218495202891063,True
spambase,Price--BBVI,2917919027,1.1659759152680635,True
spambase,Price--BBVI,4201430806,1.2185590025037527,True
spambase,S--FB--GVI,1014754055,6.288785127922893,True
spambase,S--FB--GVI,1159813542,11.170948821119964,True
spambase,S--FB--GVI,1772374029,8.256416829652153,True
spambase,S--FB--GVI,2917919027,2.745926090166904,True
spambase,S--FB--GVI,4201430806,3.420416433888022,True
spambase,Sq--NGVI,4201430806,136.18547497835243,True
wdbc,BBVI--STL,1171323926,0.3196200538077391,True
wdbc,BBVI--STL,1841328829,0.2975476929568685,True
wdbc,BBVI--STL,2875115584,0.2570790510508232,True
wdbc,BBVI--STL,3145900785,0.2748294476768933,True
wdbc,BBVI--STL,3780252250,0.4009749878314324,True
wdbc,FB--GVI,3780252250,0.861213315220084,True
wdbc,FR--KL,3780252250,0.4007686789846048,True
wdbc,FR--KL--STL,1171323926,0.0817956089740619,True
wdbc,FR--KL--STL,1841328829,0.0893493151525035,True
wdbc,FR--KL--STL,2875115584,0.0628603580989874,True
wdbc,FR--KL--STL,3145900785,0.056857107905671,True
wdbc,FR--KL--STL,3780252250,0.0863331189611926,True
wdbc,FR--R,3780252250,3.8762851686915374,True
wdbc,FR--R--STL,1171323926,0.8011939657153562,True
wdbc,FR--R--STL,1841328829,0.9600112932967022,True
wdbc,FR--R--STL,2875115584,0.6113186703296378,True
wdbc,FR--R--STL,3145900785,0.7109124088310637,True
wdbc,FR--R--STL,3780252250,0.879820175585337,True
wdbc,Price--BBVI,1171323926,0.1163170554791577,True
wdbc,Price--BBVI,1841328829,0.1230769844842143,True
wdbc,Price--BBVI,2875115584,0.0839635024312883,True
wdbc,Price--BBVI,3145900785,0.100421599810943,True
wdbc,Price--BBVI,3780252250,0.1042365755420178,True
wdbc,S--FB--GVI,1171323926,0.1489759963587857,True
wdbc,S--FB--GVI,1841328829,0.129296286846511,True
wdbc,S--FB--GVI,2875115584,0.1234110250370577,True
wdbc,S--FB--GVI,3145900785,0.1290327054448425,True
wdbc,S--FB--GVI,3780252250,0.1236244057072326,True
wdbc,Sq--NGVI,3780252250,5.563350705080666,True
