method,batch_size,iteration,expected_gap
FR--KL--STL,1,0,0.030854705310335104
FR--KL--STL,1,20,0.006033024355824787
FR--KL--STL,1,40,0.002994598697496703
FR--KL--STL,1,60,0.0023005023297313267
FR--KL--STL,1,80,0.0021418456169779465
FR--KL--STL,1,100,0.0021507241782130104
FR--KL--STL,1,120,0.002068154796507787
FR--KL--STL,1,140,0.0018253219828902399
FR--KL--STL,1,160,0.0016816889597508634
FR--KL--STL,1,180,0.0015381122707848966
FR--KL--STL,1,200,0.0013356027212569435
FR--KL--STL,1,220,0.00151346880623945
FR--KL--STL,1,240,0.0014827894941872167
FR--KL--STL,1,260,0.0016503996717109166
FR--KL--STL,1,280,0.0015653967293675533
FR--KL--STL,1,300,0.0014114890959759934
FR--KL--STL,1,320,0.00147730205562826
FR--KL--STL,1,340,0.0012989367232700431
FR--KL--STL,1,360,0.0011760818202612802
FR--KL--STL,1,380,0.0012683190710668433
FR--KL--STL,1,400,0.0011329814666723732
FR--KL--STL,1,420,0.00096071717581393
FR--KL--STL,1,440,0.00095491284153393
FR--KL--STL,1,460,0.00100971048032767
FR--KL--STL,1,480,0.00099243307348063
FR--KL--STL,1,500,0.0009481916484432533
FR--KL--STL,1,520,0.0009139381837182966
FR--KL--STL,1,540,0.00097321011929471
FR--KL--STL,1,560,0.00102082215738475
FR--KL--STL,1,580,0.0009967168143706366
FR--KL--STL,1,600,0.0009102925340325767
FR--KL--STL,1,620,0.0008078024133404033
FR--KL--STL,1,640,0.0007784358508036401
FR--KL--STL,1,660,0.00078376128265834
FR--KL--STL,1,680,0.0007502122766870601
FR--KL--STL,1,700,0.0006809747030849
FR--KL--STL,1,720,0.0007147410480092434
FR--KL--STL,1,740,0.00071041342194123
FR--KL--STL,1,760,0.00068538068885541
FR--KL--STL,1,780,0.0006881756424402866
FR--KL--STL,1,800,0.0007011640100950433
FR--KL--STL,1,820,0.0006625949882146366
FR--KL--STL,1,840,0.0006305811250862367
FR--KL--STL,1,860,0.0006245871982396167
FR--KL--STL,1,880,0.00062787769839931
FR--KL--STL,1,900,0.00064151878843854
FR--KL--STL,1,920,0.00062861384801764
FR--KL--STL,1,940,0.0006196085756057499
FR--KL--STL,1,960,0.0005847562018582234
FR--KL--STL,1,980,0.0005609264978952467
FR--KL--STL,1,1000,0.0005754685319142734
FR--KL--STL,1,1020,0.0006136273913922467
FR--KL--STL,1,1040,0.0006344612872994233
FR--KL--STL,1,1060,0.0006227103575621067
FR--KL--STL,1,1080,0.0005368270694723201
FR--KL--STL,1,1100,0.00049506625273116
FR--KL--STL,1,1120,0.00051759835661248
FR--KL--STL,1,1140,0.0005385170888260466
FR--KL--STL,1,1160,0.00052460672909166
FR--KL--STL,1,1180,0.00052449191917541
FR--KL--STL,1,1200,0.0005098275626319266
FR--KL--STL,1,1220,0.0004999857768208234
FR--KL--STL,1,1240,0.0005027401815063767
FR--KL--STL,1,1260,0.0005094094091455567
FR--KL--STL,1,1280,0.0005009771251139533
FR--KL--STL,1,1300,0.0004744628220004333
FR--KL--STL,1,1320,0.00045785791128713597
FR--KL--STL,1,1340,0.00044461623847630663
FR--KL--STL,1,1360,0.00042457804829164336
FR--KL--STL,1,1380,0.00043634930157568
FR--KL--STL,1,1400,0.00045219611258832
FR--KL--STL,1,1420,0.00045785225765836
FR--KL--STL,1,1440,0.00042094016431778666
FR--KL--STL,1,1460,0.00042810655823369997
FR--KL--STL,1,1480,0.00041434376020728
FR--KL--STL,1,1500,0.0004154153484431433
FR--KL--STL,1,1520,0.00041800002705584
FR--KL--STL,1,1540,0.0004460176242840167
FR--KL--STL,1,1560,0.00040999184091077337
FR--KL--STL,1,1580,0.00042444559589085003
FR--KL--STL,1,1600,0.00040491481768772334
FR--KL--STL,1,1620,0.00038479779924795
FR--KL--STL,1,1640,0.00033570404796304666
FR--KL--STL,1,1660,0.00035326508223255666
FR--KL--STL,1,1680,0.0003801151737560594
FR--KL--STL,1,1700,0.00037943709583700494
FR--KL--STL,1,1720,0.00036867075399263664
FR--KL--STL,1,1740,0.00035512002586002
FR--KL--STL,1,1760,0.0003643502085235967
FR--KL--STL,1,1780,0.0003630113163761067
FR--KL--STL,1,1800,0.00038053237461791
FR--KL--STL,1,1820,0.0003452966372584433
FR--KL--STL,1,1840,0.00032415072380480997
FR--KL--STL,1,1860,0.0003376973257992767
FR--KL--STL,1,1880,0.00034759505793251666
FR--KL--STL,1,1900,0.00034944755902332
FR--KL--STL,1,1920,0.0003810100372464467
FR--KL--STL,1,1940,0.00036879539603406665
FR--KL--STL,1,1960,0.00035762331992154
FR--KL--STL,1,1980,0.00033343762150458663
FR--KL--STL,1,2000,0.00030681538549933
FR--KL--STL,1,2020,0.00031642649073213003
FR--KL--STL,1,2040,0.00029989015552654003
FR--KL--STL,1,2060,0.00029413013361888666
FR--KL--STL,1,2080,0.00029465665144377004
FR--KL--STL,1,2100,0.00030964868444296334
FR--KL--STL,1,2120,0.00032160879999675333
FR--KL--STL,1,2140,0.0003116762494929804
FR--KL--STL,1,2160,0.0003077466706598033
FR--KL--STL,1,2180,0.0003020100158509367
FR--KL--STL,1,2200,0.0003045993689748834
FR--KL--STL,1,2220,0.0002931113650714433
FR--KL--STL,1,2240,0.0002901527760148499
FR--KL--STL,1,2260,0.0002902792504119456
FR--KL--STL,1,2280,0.00029473662663909335
FR--KL--STL,1,2300,0.00029202501937368
FR--KL--STL,1,2320,0.00028081807398841
FR--KL--STL,1,2340,0.00029781533171724004
FR--KL--STL,1,2360,0.00027530944745500664
FR--KL--STL,1,2380,0.00026582087434679337
FR--KL--STL,1,2400,0.0002884933921844133
FR--KL--STL,1,2420,0.0002772490358643167
FR--KL--STL,1,2440,0.00026896851658002335
FR--KL--STL,1,2460,0.00024676643809102964
FR--KL--STL,1,2480,0.00024513898127153695
FR--KL--STL,1,2500,0.00025932673987281004
FR--KL--STL,1,2520,0.00025245315457403665
FR--KL--STL,1,2540,0.00025610266629096334
FR--KL--STL,1,2560,0.0002446405052826276
FR--KL--STL,1,2580,0.0002514347258905017
FR--KL--STL,1,2600,0.00025265319746950823
FR--KL--STL,1,2620,0.00024926369643118665
FR--KL--STL,1,2640,0.00024358391971302667
FR--KL--STL,1,2660,0.00026173239130584
FR--KL--STL,1,2680,0.00026286769368651336
FR--KL--STL,1,2700,0.00025696368449232
FR--KL--STL,1,2720,0.00024413289190731999
FR--KL--STL,1,2740,0.00023823899720557998
FR--KL--STL,1,2760,0.00023466842418457668
FR--KL--STL,1,2780,0.00022911513716540667
FR--KL--STL,1,2800,0.00023611991510547666
FR--KL--STL,1,2820,0.00023847992285609356
FR--KL--STL,1,2840,0.00023311841542097742
FR--KL--STL,1,2860,0.00022863028566671
FR--KL--STL,1,2880,0.00022133872773207096
FR--KL--STL,1,2900,0.0002074448656249549
FR--KL--STL,1,2920,0.00021063745767635635
FR--KL--STL,1,2940,0.00021695902675167666
FR--KL--STL,1,2960,0.00021065046179116
FR--KL--STL,1,2980,0.00022923916998844927
FR--KL--STL,1,3000,0.00024026260950531667
FR--KL--STL,1,3020,0.00022799159337422333
FR--KL--STL,1,3040,0.00023089820624062142
FR--KL--STL,1,3060,0.00023044450068655497
FR--KL--STL,1,3080,0.00024250217713066668
FR--KL--STL,1,3100,0.0002403402901174
FR--KL--STL,1,3120,0.00024367544462422668
FR--KL--STL,1,3140,0.00024187952440371999
FR--KL--STL,1,3160,0.00023232193654620893
FR--KL--STL,1,3180,0.00023150628171527996
FR--KL--STL,1,3200,0.00022569959848055333
FR--KL--STL,1,3220,0.00023438297737393257
FR--KL--STL,1,3240,0.00023284116446718335
FR--KL--STL,1,3260,0.00023966061914601331
FR--KL--STL,1,3280,0.00024746063063362336
FR--KL--STL,1,3300,0.00023626826042458666
FR--KL--STL,1,3320,0.00022538957875552
FR--KL--STL,1,3340,0.00020788043718673982
FR--KL--STL,1,3360,0.000201300363184113
FR--KL--STL,1,3380,0.0002060461823566892
FR--KL--STL,1,3400,0.00020298496712934055
FR--KL--STL,1,3420,0.0001908908346943453
FR--KL--STL,1,3440,0.00020825359533164668
FR--KL--STL,1,3460,0.00020212686374398
FR--KL--STL,1,3480,0.00018924365881516864
FR--KL--STL,1,3500,0.00018207920742856668
FR--KL--STL,1,3520,0.00017932436645551626
