job_id,experiment,method,step_size,certified_step_size,step_over_certified,step_scale,protocol
F2global_d50_k1_rho1,D,FB--GVI,0.8361044513067254,0.8361044513067284,0.9999999999999964,0.8361044513067254,"frozen practical, eta=1"
F2global_d50_k1_rho1,D,FR--KL,1.6722089026134508,0.49202509322046895,3.3986252442294838,0.8361044513067254,"frozen practical, eta=2"
F2global_d50_k1_rho1,D,FR--R,1.6722089026134508,0.24601254661023447,6.7972504884589675,0.8361044513067254,"frozen practical, eta=2"
F2local_d10_k10_rho0p1_r0p01,G,FR--KL,0.5000000000000001,0.5000000000000001,1.0,,theorem compatible
F2local_d10_k10_rho0p1_r0p01,G,FR--R,0.25000000000000006,0.25000000000000006,1.0,,theorem compatible
F2local_d10_k10_rho0p1_r0p05,G,FR--KL,0.5000000000000001,0.5000000000000001,1.0,,theorem compatible
F2local_d10_k10_rho0p1_r0p05,G,FR--R,0.25000000000000006,0.25000000000000006,1.0,,theorem compatible
F2local_d10_k10_rho0p1_r0p1,G,FR--KL,0.5000000000000001,0.5000000000000001,1.0,,theorem compatible
F2local_d10_k10_rho0p1_r0p1,G,FR--R,0.25000000000000006,0.25000000000000006,1.0,,theorem compatible
F2local_d10_k10_rho1_r0p01,G,FR--KL,0.09090909090909093,0.09090909090909093,1.0,,theorem compatible
F2local_d10_k10_rho1_r0p01,G,FR--R,0.04545454545454546,0.04545454545454546,1.0,,theorem compatible
F2local_d10_k10_rho1_r0p05,G,FR--KL,0.09090909090909093,0.09090909090909093,1.0,,theorem compatible
F2local_d10_k10_rho1_r0p05,G,FR--R,0.04545454545454546,0.04545454545454546,1.0,,theorem compatible
F2local_d10_k10_rho1_r0p1,G,FR--KL,0.09090909090909093,0.09090909090909093,1.0,,theorem compatible
F2local_d10_k10_rho1_r0p1,G,FR--R,0.04545454545454546,0.04545454545454546,1.0,,theorem compatible
F3logistic_d50_kX1e0_s0_fb-gvi,L,FB--GVI,0.003367545438265894,0.004774537092757439,0.7053134938199915,0.003367545438265894,"frozen practical, eta=1"
F3logistic_d50_kX1e0_s0_fr-kl,L,FR--KL,0.006735090876531788,0.003367545438265894,2.0,0.003367545438265894,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s0_fr-r,L,FR--R,0.006735090876531788,0.001683772719132947,4.0,0.003367545438265894,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s1_fb-gvi,L,FB--GVI,0.0025323975373714963,0.004866829081938863,0.5203382931135587,0.0025323975373714963,"frozen practical, eta=1"
F3logistic_d50_kX1e0_s1_fr-kl,L,FR--KL,0.005064795074742993,0.0025323975373714963,2.0,0.0025323975373714963,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s1_fr-r,L,FR--R,0.005064795074742993,0.0012661987686857481,4.0,0.0025323975373714963,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s2_fb-gvi,L,FB--GVI,0.0027207324356031625,0.004835924154198528,0.5626085829408707,0.0027207324356031625,"frozen practical, eta=1"
F3logistic_d50_kX1e0_s2_fr-kl,L,FR--KL,0.005441464871206325,0.0027207324356031625,2.0,0.0027207324356031625,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s2_fr-r,L,FR--R,0.005441464871206325,0.0013603662178015812,4.0,0.0027207324356031625,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s3_fb-gvi,L,FB--GVI,0.0026948322135285003,0.004729545043644876,0.5697867741315977,0.0026948322135285003,"frozen practical, eta=1"
F3logistic_d50_kX1e0_s3_fr-kl,L,FR--KL,0.005389664427057001,0.0026948322135285003,2.0,0.0026948322135285003,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s3_fr-r,L,FR--R,0.005389664427057001,0.0013474161067642502,4.0,0.0026948322135285003,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s4_fb-gvi,L,FB--GVI,0.0025397065511290526,0.004753404052590023,0.5342921668409871,0.0025397065511290526,"frozen practical, eta=1"
F3logistic_d50_kX1e0_s4_fr-kl,L,FR--KL,0.005079413102258105,0.0025397065511290526,2.0,0.0025397065511290526,"frozen practical, eta=2"
F3logistic_d50_kX1e0_s4_fr-r,L,FR--R,0.005079413102258105,0.0012698532755645263,4.0,0.0025397065511290526,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s0_fb-gvi,L,FB--GVI,0.005643973867125488,0.007023926925030237,0.8035353908670101,0.005643973867125488,"frozen practical, eta=1"
F3logistic_d50_kX1e2_s0_fr-kl,L,FR--KL,0.011287947734250976,0.005643973867125488,2.0,0.005643973867125488,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s0_fr-r,L,FR--R,0.011287947734250976,0.002821986933562744,4.0,0.005643973867125488,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s1_fb-gvi,L,FB--GVI,0.005601160104578458,0.007269765058203689,0.7704733316323248,0.005601160104578458,"frozen practical, eta=1"
F3logistic_d50_kX1e2_s1_fr-kl,L,FR--KL,0.011202320209156916,0.005601160104578444,2.000000000000005,0.005601160104578458,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s1_fr-r,L,FR--R,0.011202320209156916,0.002800580052289222,4.00000000000001,0.005601160104578458,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s2_fb-gvi,L,FB--GVI,0.006543323744266776,0.008095296202776344,0.8082871312383471,0.006543323744266776,"frozen practical, eta=1"
F3logistic_d50_kX1e2_s2_fr-kl,L,FR--KL,0.013086647488533552,0.006543323744266751,2.0000000000000075,0.006543323744266776,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s2_fr-r,L,FR--R,0.013086647488533552,0.0032716618721333754,4.000000000000015,0.006543323744266776,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s3_fb-gvi,L,FB--GVI,0.005911275787737735,0.007051741346169054,0.8382717824653494,0.005911275787737735,"frozen practical, eta=1"
