job_id,backend,fisher_rao_residual_squared,bures_wasserstein_residual_squared,quadrature_resolution_floor,independent_design_residual_squared
D_logcosh_d50_k1_rho0.1,gauss_hermite_foc,1.690666397977099e-26,7.0019428970582e-27,,
D_logcosh_d50_k1_rho0.1,gauss_hermite_foc,1.6072247629343727e-26,6.638121563793136e-27,,
D_logcosh_d50_k1_rho0.1,gauss_hermite_foc,1.4143323784469675e-26,6.962502494840878e-27,,
D_logcosh_d50_k1_rho0.1,gauss_hermite_foc,1.678713028191659e-26,6.865002254979107e-27,,
D_logcosh_d50_k1_rho1,gauss_hermite_foc,1.1309675558807973e-27,3.0374052335824075e-28,,
D_logcosh_d50_k1_rho1,gauss_hermite_foc,1.2131884812491101e-27,2.902688707562982e-28,,
D_logcosh_d50_k1_rho1,gauss_hermite_foc,1.362123816343584e-27,2.5013126252899764e-28,,
D_logcosh_d50_k1_rho1,gauss_hermite_foc,1.4321730452418886e-27,3.636458286865636e-28,,
D_logcosh_d50_k1_rho1,gauss_hermite_foc,1.478047944283439e-27,3.036469759503167e-28,,
D_logcosh_d50_k1_rho5,gauss_hermite_foc,8.665139702838231e-27,1.954662983098079e-26,,
D_logcosh_d50_k1_rho5,gauss_hermite_foc,8.358953867113928e-27,1.5795057486752068e-26,,
D_logcosh_d50_k1_rho5,gauss_hermite_foc,8.184581980186977e-27,1.8067243349668785e-26,,
D_logcosh_d50_k1_rho5,gauss_hermite_foc,9.246289375643239e-27,1.8787656190375856e-26,,
D_logcosh_d50_k1_rho5,gauss_hermite_foc,8.185116853110127e-27,1.7959164020909696e-26,,
D_logcosh_global_smoke,gauss_hermite_foc,5.802495528167319e-22,5.284256359645966e-22,,
E_bump_train_core_blocked,exact,0.0,0.0,,
E_bump_train_smoke_blocked,exact,0.0,0.0,,
F_gaussian_local_d100_rate0.25,exact,0.0,0.0,,
F_gaussian_local_d100_rate0.5,exact,0.0,0.0,,
F_gaussian_local_d100_rate1.5,exact,0.0,0.0,,
F_gaussian_local_d100_rate1,exact,0.0,0.0,,
F_gaussian_local_d10_core,exact,0.0,0.0,,
F_gaussian_local_d10_rate0.25,exact,0.0,0.0,,
F_gaussian_local_d10_rate0.5,exact,0.0,0.0,,
F_gaussian_local_d10_rate1.5,exact,0.0,0.0,,
F_gaussian_local_d10_rate1,exact,0.0,0.0,,
F_gaussian_local_d2_rate0.25,exact,0.0,0.0,,
F_gaussian_local_d2_rate0.5,exact,0.0,0.0,,
F_gaussian_local_d2_rate1.5,exact,0.0,0.0,,
F_gaussian_local_d2_rate1,exact,0.0,0.0,,
F_gaussian_local_smoke,exact,0.0,0.0,,
G_local_spectral_d2_rho0.001,gauss_hermite_foc,2.664042838557334e-29,5.323660202039711e-29,,
G_local_spectral_d2_rho0.01,gauss_hermite_foc,7.5491692515772855e-31,1.682271111733004e-30,,
G_local_spectral_d2_rho0.05,gauss_hermite_foc,4.402415733905541e-30,8.181783069553272e-30,,
G_local_spectral_d2_rho0.1,gauss_hermite_foc,1.2339564040718687e-27,2.572851179718062e-27,,
G_local_spectral_d2_rho0.5,gauss_hermite_foc,1.6398014881427728e-31,1.0071841634484823e-30,,
G_local_spectral_d2_rho1,gauss_hermite_foc,6.403667290187521e-32,6.058851306737777e-31,,
G_local_spectral_d2_rho2,gauss_hermite_foc,9.509691305143587e-32,4.298159002485816e-31,,
G_local_spectral_d3_core,gauss_hermite_foc,1.4286387234635497e-26,2.8633498624957086e-26,,
G_local_spectral_d3_rho0.001,gauss_hermite_foc,3.5893195543146575e-29,5.946296635828918e-29,,
G_local_spectral_d3_rho0.01,gauss_hermite_foc,7.466801791670146e-31,1.6799829046471742e-30,,
G_local_spectral_d3_rho0.05,gauss_hermite_foc,1.4478980372933892e-29,2.2024794774543312e-29,,
G_local_spectral_d3_rho0.1,gauss_hermite_foc,1.441272606901165e-27,3.117099986223363e-27,,
G_local_spectral_d3_rho0.5,gauss_hermite_foc,6.0279122217981415e-31,1.0222988057340933e-30,,
G_local_spectral_d3_rho1,gauss_hermite_foc,1.028596001230901e-30,4.3341553937640315e-31,,
G_local_spectral_d3_rho2,gauss_hermite_foc,3.8969063031842964e-31,3.5937591458534657e-31,,
G_local_spectral_d5_rho0.001,gauss_hermite_foc,3.4994598326105006e-29,7.663029515492853e-29,,
G_local_spectral_d5_rho0.01,gauss_hermite_foc,4.263990881407683e-30,3.992896466200095e-30,,
G_local_spectral_d5_rho0.05,gauss_hermite_foc,2.77834787172421e-29,2.8256360930557255e-29,,
G_local_spectral_d5_rho0.1,gauss_hermite_foc,2.075952095999107e-27,4.095420082595598e-27,,
G_local_spectral_d5_rho0.5,gauss_hermite_foc,2.167516409664736e-30,8.75963442361982e-31,,
G_local_spectral_d5_rho1,gauss_hermite_foc,1.3899185824298092e-30,1.2974093824278868e-30,,
G_local_spectral_d5_rho2,gauss_hermite_foc,3.46188853529086e-30,9.09275347881988e-31,,
G_local_spectral_smoke,gauss_hermite_foc,3.255679402328403e-30,6.2800548813966456e-30,,
H_stl_cancellation_d10,exact,0.0,0.0,,
H_stl_cancellation_d10_core,exact,0.0,0.0,,
H_stl_cancellation_d2,exact,0.0,0.0,,
H_stl_cancellation_d50,exact,0.0,0.0,,
H_stl_cancellation_smoke,exact,0.0,0.0,,
I_variance_ablation_smoke,exact,0.0,0.0,,
I_variance_gaussian_d8_B1,exact,0.0,0.0,,
I_variance_gaussian_d8_B16,exact,0.0,0.0,,
I_variance_gaussian_d8_B4,exact,0.0,0.0,,
I_variance_logcosh_d8_B1,gauss_hermite_foc,1.4558473878614567e-25,1.3620280337631013e-25,,
I_variance_logcosh_d8_B16,gauss_hermite_foc,1.4596710963108025e-25,1.3616524228959906e-25,,
I_variance_logcosh_d8_B4,gauss_hermite_foc,1.4598096460722855e-25,1.3619712546998326e-25,,
I_variance_logcosh_d8_core,gauss_hermite_foc,2.99434316612329e-18,3.7087148103314144e-18,,
J_floor_d32_k100_rho0.5_B1,gauss_hermite_foc,2.8541396315913694e-09,9.586313243865929e-10,,
J_floor_d32_k100_rho0.5_B16,gauss_hermite_foc,2.8541396315913694e-09,9.586313243865929e-10,,
J_floor_d32_k100_rho0.5_B2,gauss_hermite_foc,2.8541396315913694e-09,9.586313243865929e-10,,
J_floor_d32_k100_rho0.5_B32,gauss_hermite_foc,2.8541396315913694e-09,9.586313243865929e-10,,
J_floor_d32_k100_rho0.5_B4,gauss_hermite_foc,2.8541396315913694e-09,9.586313243865929e-10,,
J_floor_d32_k100_rho0.5_B64,gauss_hermite_foc,2.8541396315913694e-09,9.586313243865929e-10,,
J_floor_d32_k100_rho0.5_B8,gauss_hermite_foc,2.8541396315913694e-09,9.586313243865929e-10,,
J_floor_d32_k100_rho1_B1,gauss_hermite_foc,2.898972368860585e-17,2.878936758314307e-17,,
J_floor_d32_k100_rho1_B16,gauss_hermite_foc,2.898972368860585e-17,2.878936758314307e-17,,
J_floor_d32_k100_rho1_B2,gauss_hermite_foc,2.898972368860585e-17,2.878936758314307e-17,,
J_floor_d32_k100_rho1_B32,gauss_hermite_foc,2.898972368860585e-17,2.878936758314307e-17,,
J_floor_d32_k100_rho1_B4,gauss_hermite_foc,2.898972368860585e-17,2.878936758314307e-17,,
J_floor_d32_k100_rho1_B64,gauss_hermite_foc,2.898972368860585e-17,2.878936758314307e-17,,
J_floor_d32_k100_rho1_B8,gauss_hermite_foc,2.898972368860585e-17,2.878936758314307e-17,,
J_floor_d32_k10_rho0.5_B1,gauss_hermite_foc,1.5953364300601548e-14,9.543648427610098e-15,,
J_floor_d32_k10_rho0.5_B16,gauss_hermite_foc,1.5953364300601548e-14,9.543648427610098e-15,,
J_floor_d32_k10_rho0.5_B2,gauss_hermite_foc,1.5953364300601548e-14,9.543648427610098e-15,,
J_floor_d32_k10_rho0.5_B32,gauss_hermite_foc,1.5953364300601548e-14,9.543648427610098e-15,,
J_floor_d32_k10_rho0.5_B4,gauss_hermite_foc,1.5953364300601548e-14,9.543648427610098e-15,,
J_floor_d32_k10_rho0.5_B64,gauss_hermite_foc,1.5953364300601548e-14,9.543648427610098e-15,,
J_floor_d32_k10_rho0.5_B8,gauss_hermite_foc,1.5953364300601548e-14,9.543648427610098e-15,,
J_floor_d32_k10_rho1_B1,gauss_hermite_foc,1.7330103629164786e-21,2.141427531293599e-21,,
J_floor_d32_k10_rho1_B16,gauss_hermite_foc,1.7330103629164786e-21,2.141427531293599e-21,,
J_floor_d32_k10_rho1_B2,gauss_hermite_foc,1.7330103629164786e-21,2.141427531293599e-21,,
J_floor_d32_k10_rho1_B32,gauss_hermite_foc,1.7330103629164786e-21,2.141427531293599e-21,,
J_floor_d32_k10_rho1_B4,gauss_hermite_foc,1.7330103629164786e-21,2.141427531293599e-21,,
J_floor_d32_k10_rho1_B64,gauss_hermite_foc,1.7330103629164786e-21,2.141427531293599e-21,,
J_floor_d32_k10_rho1_B8,gauss_hermite_foc,1.7330103629164786e-21,2.141427531293599e-21,,
J_floor_d8_B16_core,gauss_hermite_foc,1.3603521069453133e-13,7.119573327182528e-14,,
J_floor_d8_B1_core,gauss_hermite_foc,1.3603521069453133e-13,7.119573327182528e-14,,
