dimension,method,seeds,oracle_ms_per_iteration,algebra_ms_per_iteration,total_ms_per_iteration,terminal_gap_median
10,FB--GVI,5,1.7221572805040826,0.13621259946376066,1.8594485057595496,1.262208115804242e-10
10,FR--KL,5,1.7165821456971269,0.23244199866894633,1.9571573112625629,0.0
10,FR--R,5,1.7012552470744897,0.19535206122479065,1.907534509470376,0.0
10,Sq--NGVI,5,1.509433956622767,0.1381198990081123,1.6723655812287082,0.0
25,FB--GVI,5,3.874942021793686,0.29510978298882634,4.180571941542438,7.390813721031009e-07
25,FR--KL,5,4.28016093656576,0.5167595122475177,4.807358215330169,0.0
25,FR--R,5,4.313909076154232,0.483790014210778,4.807309923344292,0.0
25,Sq--NGVI,5,3.53439473391821,0.2705066717074563,3.7934329201622563,0.0
50,FB--GVI,5,8.505485946661793,0.8522038388764483,9.37286934039245,1.193687666045662e-05
50,FR--KL,5,9.074609241991615,1.4471524742354327,10.538191485296315,0.0
50,FR--R,5,10.842002414477369,1.7048121061331283,12.578728192602282,0.0
50,Sq--NGVI,5,7.435389744932763,0.6142386809612312,8.058681429247374,5.866863830306102e-07
100,FB--GVI,5,23.420234221460607,3.3734040100049856,26.799381237166624,0.1529965448405619
100,FR--KL,5,23.536836430430412,4.634783363047366,28.188211326681387,0.0
100,FR--R,5,26.279820574369904,6.579046649858356,32.881854422933735,9.094947017729282e-13
100,Sq--NGVI,5,23.651783389699023,2.5348451308673248,26.205257554538548,4.437600068740721e-06
200,FB--GVI,5,111.28748740030763,11.678724571247585,124.1148210297494,3.8599236487925737
200,FR--KL,5,112.8594662088047,15.992437487196488,128.8828378620868,-2.273736754432321e-13
200,FR--R,5,113.19447567511816,18.91154816665221,132.27085799677297,9.29218094825046e-06
200,Sq--NGVI,5,110.77440053243966,8.971187164618945,119.70531486828501,0.0214552859515606
