job_id,experiment,backend,alpha_star,residual_on_design,certified_gap_bound,residual_transfer,transfer_objective_difference
F3logistic_d50_kX1e0_s1_fr-kl,L,fixed_qmc_foc_newton,0.007199250691867016,4.681770397587181e-13,1.5273489639018286e-21,0.0031802461077184447,0.0008022851040436763
F3logistic_d50_kX1e0_s1_fr-r,L,fixed_qmc_foc_newton,0.007199250691867016,4.681770397587181e-13,1.5273489639018286e-21,0.0031802461077184447,0.0008022851040436763
F3logistic_d50_kX1e0_s1_laplace,L,fixed_qmc_foc_newton,0.007199250691867016,4.681770397587181e-13,1.5273489639018286e-21,0.0031802461077184447,0.0008022851040436763
F3logistic_d50_kX1e0_s2_fb-gvi,L,fixed_qmc_foc_newton,0.007232121142733626,4.768379313608077e-13,2.082555998265946e-21,0.0032344841933032407,0.009159786478221577
F3logistic_d50_kX1e0_s2_fr-kl,L,fixed_qmc_foc_newton,0.007232121142733626,4.768379313608077e-13,2.082555998265946e-21,0.0032344841933032407,0.009159786478221577
F3logistic_d50_kX1e0_s2_fr-r,L,fixed_qmc_foc_newton,0.007232121142733626,4.768379313608077e-13,2.082555998265946e-21,0.0032344841933032407,0.009159786478221577
F3logistic_d50_kX1e0_s2_laplace,L,fixed_qmc_foc_newton,0.007232121142733626,4.768379313608077e-13,2.082555998265946e-21,0.0032344841933032407,0.009159786478221577
F3logistic_d50_kX1e0_s3_fb-gvi,L,fixed_qmc_foc_newton,0.006865904039028735,3.699299783393392e-13,5.926782576582716e-22,0.0034405923399072843,0.004280172698940987
F3logistic_d50_kX1e0_s3_fr-kl,L,fixed_qmc_foc_newton,0.006865904039028735,3.699299783393392e-13,5.926782576582716e-22,0.0034405923399072843,0.004280172698940987
F3logistic_d50_kX1e0_s3_fr-r,L,fixed_qmc_foc_newton,0.006865904039028735,3.699299783393392e-13,5.926782576582716e-22,0.0034405923399072843,0.004280172698940987
F3logistic_d50_kX1e0_s3_laplace,L,fixed_qmc_foc_newton,0.006865904039028735,3.699299783393392e-13,5.926782576582716e-22,0.0034405923399072843,0.004280172698940987
F3logistic_d50_kX1e0_s4_fb-gvi,L,fixed_qmc_foc_newton,0.0074251566451002515,5.071261726838373e-13,2.3230769731509134e-21,0.0033599228672630327,3.9249970029686665e-05
F3logistic_d50_kX1e0_s4_fr-kl,L,fixed_qmc_foc_newton,0.0074251566451002515,5.071261726838373e-13,2.3230769731509134e-21,0.0033599228672630327,3.9249970029686665e-05
F3logistic_d50_kX1e0_s4_fr-r,L,fixed_qmc_foc_newton,0.0074251566451002515,5.071261726838373e-13,2.3230769731509134e-21,0.0033599228672630327,3.9249970029686665e-05
F3logistic_d50_kX1e0_s4_laplace,L,fixed_qmc_foc_newton,0.0074251566451002515,5.071261726838373e-13,2.3230769731509134e-21,0.0033599228672630327,3.9249970029686665e-05
F3logistic_d50_kX1e2_s0_fb-gvi,L,fixed_qmc_foc_newton,0.008920637617070163,1.730455178896388e-13,8.71435618017174e-23,0.0019532022936864114,0.000566052138140094
F3logistic_d50_kX1e2_s0_fr-kl,L,fixed_qmc_foc_newton,0.008920637617070163,1.730455178896388e-13,8.71435618017174e-23,0.0019532022936864114,0.000566052138140094
F3logistic_d50_kX1e2_s0_fr-r,L,fixed_qmc_foc_newton,0.008920637617070163,1.730455178896388e-13,8.71435618017174e-23,0.0019532022936864114,0.000566052138140094
