feature_condition,method,datasets,objective_gap_median,gradient_norm_median,predictive_nll_median,predictive_nll_min,predictive_nll_max,classification_error_median
1.0,FR--R,5,1.3930539921602758e-06,0.0013057906145028295,0.6453686695965998,0.6289607357182752,0.650579733447674,0.3526
1.0,FR--KL,5,1.4874167959533224e-06,0.0013556438301872567,0.6453688968102038,0.6289607469191933,0.6505801980300207,0.3526
1.0,FB--GVI,5,0.0,2.2172919638264203e-14,0.6453608348608249,0.6289604902156074,0.65056169525459,0.3526
1.0,Laplace,5,0.6359452619505532,1.055867547793533,0.6370908112881977,0.6232575593462633,0.6397213944385216,0.3526
100.0,FR--R,5,-3.979039320256561e-13,4.245047731337647e-09,0.7096440041470858,0.6971569868756192,0.7209390445961635,0.4448
100.0,FR--KL,5,-4.547473508864641e-13,5.139257501729449e-09,0.7096440041477139,0.6971569868784847,0.7209390446120846,0.4448
100.0,FB--GVI,5,0.0,1.2318515536332695e-10,0.7096440041438021,0.6971569868583715,0.7209390444867119,0.4448
100.0,Laplace,5,0.2105817681905364,0.6060078475815589,0.7049097853047185,0.6940265369708943,0.7145487039727474,0.4452
10000.0,FR--R,5,0.0,1.889067032731938e-12,0.69921742082105,0.6889578112222597,0.7039528774258137,0.4652
10000.0,FR--KL,5,0.0,2.7937517421630712e-12,0.6992174208210521,0.6889578112222603,0.7039528774258189,0.4652
10000.0,FB--GVI,5,1.1368683772161605e-13,9.80131320218609e-08,0.6992174207994455,0.6889578112331356,0.7039528774502523,0.4652
10000.0,Laplace,5,0.033903408057256,0.24868609055725954,0.6979497212458496,0.6884309231795765,0.7026919339626787,0.4654
