tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_family,grid_feature_condition,grid_role
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,0,0.0,767.7933702295541,369.07772370135365,nan,30.898135161619525,8.029745762023783,245.3061502952845,1.0,1.0,1.847131287012389,102.95285089620805,147.43189234935107,10463.072107262384,18389.775361643668,0.0020561599521897733,0.0,,nan,nan,nan,nan,nan,0.693147180557945,0.4922,0.2499999999999998,0,0,0,0,0,0,0,0,0,0,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,946639.9004110257,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,1,0.10020584697839664,710.2644910272204,311.54884449902,nan,26.81578615754332,31.327281846989685,63.627769336206015,0.17825253443263803,0.9592144909595037,1.7711470277384962,18.495680459861124,29.190644702760512,2474.1867005799377,12437.141748086025,0.11369189596734941,0.011837738973554224,,nan,nan,nan,nan,nan,1.1340651514725357,0.465,0.3370850032002519,1,1,1,1,1,0,0,0,2,2,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,640219.5999828492,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,2,0.10020584697839664,515.4894504617137,116.77380393351325,nan,12.357409596249223,14.087148474316557,43.05508973309067,0.10869299302599894,0.9362402683640989,1.72745770036876,13.977328785352984,19.77927056335438,883.8624113267964,5584.27819133163,0.2275904529960826,0.024180738953873515,,nan,nan,nan,nan,nan,0.8579565871564777,0.4594,0.2976683959145488,2,2,2,2,2,0,0,0,4,4,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,287458.6799975544,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,3,0.10020584697839664,452.4663617199018,53.750715191701374,nan,6.449710984050431,6.130408242523038,29.09348730652223,0.0713200474679443,0.9040942012338056,1.6675893037649079,9.455669451639162,12.921784627256578,290.34032381557904,3017.8592030873892,0.35281492897775024,0.039691947924438864,,nan,nan,nan,nan,nan,0.7682675179626424,0.4648,0.27662536151147527,3,3,3,3,3,0,0,0,6,6,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,155348.60428060184,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,4,0.10020584697839664,431.5110034476525,32.795356919452104,nan,4.0142851420206,3.6919769834997895,20.500078793963002,0.05129244505183113,0.8674302245229281,1.6002284981367316,6.350280420101901,9.219015021555071,144.04712644650817,2113.6197165871736,0.4726558459806256,0.053578297956846654,,nan,nan,nan,nan,nan,0.7508412291096889,0.4684,0.27169221374915126,4,4,4,4,4,0,0,0,8,8,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,108801.58776654185,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,5,0.10020584697839664,420.7849358522674,22.069289324066972,nan,2.729016664638761,2.6748065957685214,15.344786788420668,0.03990277536826473,0.8325962567411854,1.5362077234348726,4.687875894128572,7.198279574838444,84.10113906746393,1539.995271726805,0.5976383819943294,0.06686302792513743,,nan,nan,nan,nan,nan,0.745974393825365,0.4662,0.2702542863804507,5,5,5,5,5,0,0,0,10,10,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,79273.45179547717,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,6,0.10020584697839664,414.32921433178757,15.61356780358716,nan,1.9447319544074608,2.1024753997752077,12.010049204757115,0.032798207102625765,0.8012523796275237,1.4785463453289307,3.723468535896333,5.965757529559364,53.38106671912672,1150.385791813562,0.7205089379567653,0.08065862691728398,,nan,nan,nan,nan,nan,0.7438947341875413,0.4668,0.26963239033727815,6,6,6,6,6,0,0,0,12,12,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,59217.748448848644,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,7,0.10020584697839664,410.13207156284267,11.416425034642259,nan,1.4292090114977112,1.726927192814366,9.699826372198508,0.02793348856465016,0.7734908456092632,1.4274454826934466,3.108863775030019,5.145571262524169,35.80184312038795,876.5470435410276,0.8445157149690203,0.09396580694010481,,nan,nan,nan,nan,nan,0.7427356976505596,0.4662,0.2692830278060644,7,7,7,7,7,0,0,0,14,14,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,45121.50853859547,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,8,0.10020584697839664,407.2646708799301,8.549024351729713,nan,1.0740603144085024,1.4578090119536584,8.014707503052474,0.024452763497850864,0.7490214321116605,1.3823892901603965,2.6883605110734665,4.564690935774964,24.982914088671723,678.404497774331,0.9654159710044041,0.10713090695207939,,nan,nan,nan,nan,nan,0.7419630285227053,0.4672,0.26904768286282166,8,8,8,8,8,0,0,0,16,16,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,34921.83855333863,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-kl,FR--KL,3602226593,9,0.10020584697839664,405.2347915453325,6.519145017132075,nan,0.8211051120571077,1.2537887964360108,6.736945824517782,0.021889852361976693,0.7274680942470348,1.3426947549148667,2.3851151377955957,4.134050969684363,17.963175657819654,531.6044177257247,1.0809621670050547,0.11921990592963994,,nan,nan,nan,nan,nan,0.7413815476571562,0.4664,0.2688682709702907,9,9,9,9,9,0,0,0,18,18,0,1,False,False,16.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,27365.09517694088,50,logistic,100.0,stepsize_pilot
