tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,13,0.04,1.0662424270925612,0.04343451730776149,nan,0.15319024011370153,0.04817129608200868,0.4130257599419241,0.7156596624213871,2.2160859741400554,0.6527620380892522,0.9382455022331694,0.05601055981207246,0.0631608911911696,0.019846128998324275,,nan,nan,nan,nan,nan,nan,nan,13,105,105,105,0,0,13,13,41,41,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,14,0.04,1.0637333848492498,0.0409254750644501,nan,0.14528305700490385,0.047664035423807476,0.40227736389003976,0.7174061218504478,2.2436953549580534,0.6608945545635428,0.9405351488210539,0.05300395798738593,0.05892088517609273,0.021295298996847123,,nan,nan,nan,nan,nan,nan,nan,14,113,113,113,0,0,14,14,44,44,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,15,0.04,1.0622730767345745,0.039465166949774755,nan,0.14106693233471881,0.04662642722685718,0.3958972271020321,0.7197036593936098,2.2556658317543934,0.6644205336643816,0.9435472708942612,0.0511469626525593,0.056167314402691494,0.022742849017959088,,nan,nan,nan,nan,nan,nan,nan,15,121,121,121,0,0,15,15,47,47,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,16,0.04,1.0601562390958523,0.037348329311052586,nan,0.133863200619539,0.046006593898421655,0.38647385410528207,0.7219798011213097,2.285565926767412,0.673227794387799,0.9465313425844744,0.04863774251626279,0.0529104796198043,0.02422277902951464,,nan,nan,nan,nan,nan,nan,nan,16,129,129,129,0,0,16,16,50,50,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,17,0.04,1.0581686949028462,0.03536078511804641,nan,0.12541601430770935,0.04327440448424037,0.37769586531164073,0.7213450806448826,2.3205426483233893,0.6835304073346727,0.9456992101289886,0.046452902142400235,0.05071334910910922,0.025663228996563703,,nan,nan,nan,nan,nan,nan,nan,17,137,137,137,0,0,17,17,53,53,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,18,0.04,1.0571877064813595,0.03437979669655977,nan,0.12148018796910097,0.04086034300359815,0.37333861803810026,0.7224016419341522,2.3355393138008513,0.6879477693124315,0.9470843851354108,0.04531014498783677,0.049379179167122665,0.027128259011078626,,nan,nan,nan,nan,nan,nan,nan,18,145,145,145,0,0,18,18,56,56,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,19,0.04,1.0553689425398338,0.03256103275503408,nan,0.11480431272785739,0.03424447007473519,0.3653299427762815,0.7233396361221032,2.35827465052173,0.694644605494667,0.9483141160734213,0.04308014115539653,0.04671556391877904,0.028595188981853426,,nan,nan,nan,nan,nan,nan,nan,19,153,153,153,0,0,19,19,59,59,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,20,0.04,1.0550173110559298,0.032209401271130034,nan,0.11391767447646763,0.031036274292842024,0.36398134140832283,0.7244916434408997,2.359476993488601,0.6949987631648549,0.949824422916403,0.04257059646132851,0.04593003970782603,0.03005802899133414,,nan,nan,nan,nan,nan,nan,nan,20,161,161,161,0,0,20,20,62,62,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,21,0.04,1.05335323818546,0.030545328400660265,nan,0.10928292445482675,0.031119987329444657,0.35521838158261293,0.727856532086906,2.3745348489271816,0.6994341490298616,0.9542358656781038,0.040408284650470846,0.042687833706574155,0.03150726901367307,,nan,nan,nan,nan,nan,nan,nan,21,169,169,169,0,0,21,21,65,65,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,22,0.04,1.0518777941873299,0.02906988440253011,nan,0.10432219411985551,0.029595045650563045,0.347667216218597,0.7293727328858018,2.3959842984983055,0.7057522190782825,0.9562236381553649,0.03856282863676466,0.04041874423882173,0.03296662901993841,,nan,nan,nan,nan,nan,nan,nan,22,177,177,177,0,0,22,22,68,68,0,8,True,False,0.04
