tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_dimension,grid_rho
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,0,0.0,1.3338081736346785,0.7775065944680704,nan,2.1646988443647768,0.4659072347900819,1.0015342830419298,0.5,0.5,0.12634851785645307,0.5103021259422332,0.530941597445141,0.6115317243193183,2.1566389868182894,0.0004609500174410641,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,6.652339988474437,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,1,0.12,1.2618937770174685,0.7055921978508604,nan,2.0257311911029685,0.43816380166956537,0.9760135966662824,0.5275329914604392,0.5541411544108149,0.1400197226298577,0.5384412676464393,0.5482397320160917,0.5713171337474834,1.8494759708799544,0.0014166500186547637,0.000231740006711334,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,1,1,2,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,5.704869027225807,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,2,0.12,1.1947584724369444,0.6384568932703363,nan,1.8896396386097738,0.41127641696686085,0.9500818269015571,0.5544335066015259,0.6129426632767699,0.15486352613344173,0.5659495209667424,0.5653818200496045,0.5316270272670556,1.5823734227303554,0.00212071998976171,0.00045001000398769975,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,2,2,4,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,4.880968053099205,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,3,0.12,1.1323297210174672,0.576028141850859,nan,1.7568481894779584,0.38541733587987786,0.9237498512010704,0.5805271496719983,0.6765517685578591,0.17091563632031026,0.5926513710642396,0.5829088382491814,0.4928671969176197,1.3508310416014921,0.0027617299929261208,0.0006543700001202524,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,3,3,6,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,4.1667554980889925,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,4,0.12,1.0744891347351695,0.5181875555685613,nan,1.6277420779799643,0.36071778385228903,0.8970159615753093,0.605668585504205,0.745068905279196,0.18819970081755022,0.6184008522439265,0.60140807916019,0.45535888498666777,1.1507196000570739,0.003369159996509552,0.0008560800342820585,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,4,4,8,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,3.5494944020623715,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,5,0.12,1.021082452109123,0.4647808729425149,nan,1.5026746542582348,0.3372651911950239,0.8698703383478373,0.6297438200109019,0.8185385484680172,0.2067250129375276,0.6430837627139734,0.6214648502028833,0.4193373403436491,0.9782685662337938,0.004018559993710369,0.0010601600515656173,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,5,5,10,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,3.01755423248914,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,6,0.12,0.9719294859807592,0.41562790681415107,nan,1.3819738034331894,0.3151035411007855,0.8423004586686273,0.6526705522663024,0.8969405431407836,0.22648435772188202,0.6666179161615748,0.6436152233990098,0.3849584092124966,0.8300556626533631,0.0046406700275838375,0.0012773200869560242,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,6,6,12,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,2.5603786776919017,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,7,0.12,0.9268331590587359,0.3705315798921277,nan,1.2659465228542868,0.2942366495733562,0.8142968349065127,0.6743968510772715,0.9801824580921271,0.24745213648598022,0.6889516943314935,0.6683057307163681,0.3523107416401887,0.7029954507842374,0.005249820009339601,0.0014797000912949443,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,7,7,14,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,2.1684504349367146,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,8,0.12,0.8855870348695007,0.3292854557028926,nan,1.154880728546638,0.2746338906094196,0.7858584962636782,0.6948985212602757,1.0680935475748408,0.2695829180506729,0.7100612779457708,0.695864174020962,0.32143089483624754,0.5943252837364495,0.005867990024853498,0.001680410117842257,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,8,8,16,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,1.8332478803020544,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--R,4139269695,9,0.12,0.8479810665802016,0.2916794874135934,nan,1.0490439115983992,0.25623764533715865,0.7569977108905273,0.714175571239928,1.1604209029454833,0.29281056270801087,0.7299469791390254,0.7264834336703669,0.2923188207683458,0.5015880588240798,0.006496649992186576,0.0019112700829282403,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,9,9,18,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,1.5471918674619765,10.0,2,1.0
