tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_dimension,grid_rho
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,0,0.0,1.3338081736346785,0.7775065944680704,nan,2.1646988443647768,0.4659072347900819,1.0015342830419298,0.5,0.5,0.12634851785645307,0.5103021259422332,0.530941597445141,0.6115317243193183,2.1566389868182894,0.0003931300016120076,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,6.652339988474437,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,1,0.02,1.2929898191426985,0.7366882399760903,nan,2.087068637299579,0.4566140229184151,0.9855475842377613,0.5173395004996312,0.5335371494593513,0.13481725525044772,0.5280223956748387,0.5463170159603015,0.5923901035850311,1.972257809985464,0.0013472600257955492,0.00022657995577901602,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,1,1,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,6.083600258151493,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,2,0.02,1.2555513009973487,0.6992497218307405,nan,2.0140324474060476,0.4476187036294209,0.9701211050835177,0.5339473686370472,0.566733656187449,0.1431991592779533,0.5449974968569299,0.56085212978325,0.573944547400546,1.8109327003683702,0.002027450012974441,0.00042547995690256357,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,2,2,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,5.585978966683466,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,3,0.02,1.22108556594495,0.6647839867783418,nan,1.9451604742537265,0.43891011137468816,0.9552251851537817,0.5498554513958183,0.599589053406985,0.15149412334162105,0.5612598358615063,0.5746220136598313,0.5561791439916938,1.6687919838925982,0.002668410015758127,0.0006189299747347832,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,3,3,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,5.147533599618488,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,4,0.02,1.1892512474436354,0.6329496682770273,nan,1.880080765282101,0.43047760492197357,0.940831637735325,0.5650943741445854,0.6321037888114122,0.15970227365422845,0.5768405718149949,0.5876966431540236,0.5390756269540431,1.542779590922163,0.003272239991929382,0.0008029199671000242,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,4,4,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,4.758837445127978,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,5,0.02,1.1597593667040003,0.6034577875373921,nan,1.8184689644503507,0.42231103468432246,0.9269137407038188,0.5796935376290772,0.6642790140631629,0.16782391585740505,0.5917696144495816,0.6001410525203077,0.5226140919342062,1.430450181341425,0.0039451500051654875,0.000994819973129779,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,5,5,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,4.412347639554121,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,6,0.02,1.132363248758478,0.5760616695918699,nan,1.7600402978474046,0.41440071211678436,0.9134462088261314,0.5936811294531443,0.6961164263487132,0.17585949479434754,0.6060756365770145,0.6120155232477059,0.5067735600158886,1.3298234064228633,0.00455514999339357,0.0011887799482792616,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,6,6,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,4.101955625501949,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,7,0.02,1.1068507587614342,0.5505491795948261,nan,1.7045432231103297,0.4067373811744447,0.9004051534005262,0.6070841458697003,0.7276181474643144,0.1838095637732084,0.6197860969373361,0.6233757927513953,0.4915324195345595,1.2392782137162417,0.005144610011484474,0.0013659699470736086,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,7,7,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,3.8226611261035974,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,8,0.02,1.0830382428325103,0.5267366636659021,nan,1.6517543362509228,0.39931219177361643,0.8877680334550541,0.6199284207988216,0.7587866304286027,0.1916747607974543,0.6329272702953795,0.63427327543702,0.4768687712321903,1.1574748616601358,0.005735959974117577,0.001546319981571287,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,8,8,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,3.570331592324314,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,9,0.02,1.0607657412169103,0.5044641620503021,nan,1.60147424245667,0.3921166751671247,0.8755136015504459,0.6322386597865921,0.7896245865948118,0.19945578998957147,0.645524282469713,0.644755290328036,0.46276069641095074,1.0832964850160296,0.006324459973257035,0.001724640023894608,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,9,9,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,3.341521956476215,10.0,2,1.0
