tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_dimension,grid_rho
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,0,0.0,1.3338081736346785,0.7775065944680704,nan,2.1646988443647768,0.4659072347900819,1.0015342830419298,0.5,0.5,0.12634851785645307,0.5103021259422332,0.530941597445141,0.6115317243193183,2.1566389868182894,0.0003941499744541943,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,6.652339988474437,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,1,0.12,1.2655851647333543,0.7092835855667461,nan,2.0326466484276553,0.43816380166956537,0.9779764134064101,0.525132911808831,0.5505370104877914,0.13910944892893595,0.5359899524193196,0.5459726311303291,0.5727613427259579,1.8666206577012585,0.0014014099724590778,0.0002959800185635686,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,0,0,2,2,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,5.757753300592066,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,2,0.12,1.2017880531947074,0.6454864740280992,nan,1.9035206462434866,0.4113800904221611,0.9540677754995504,0.5496878366496598,0.6050854930963827,0.1528794680605761,0.5611012364869004,0.5609368806572651,0.5346524398981926,1.612483682745915,0.0021146400249563158,0.0005715800216421485,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,0,0,4,4,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,4.9738457614171745,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,3,0.12,1.1423323964087329,0.5860308172421247,nan,1.7776397895200091,0.385700319827607,0.9298140116886807,0.5735366976130407,0.663751025432615,0.1676839768653371,0.5855073776701238,0.5763134124375658,0.49754646248862516,1.3904142713051593,0.002786559984087944,0.0008175999973900616,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,0,0,6,6,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,4.288853402949348,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,4,0.12,1.0870957982777876,0.5307942191111794,nan,1.6552880167152573,0.3612309932476191,0.9052125053904312,0.5965735734168374,0.7266025615054106,0.18353894355738953,0.6091022854660852,0.5926068451217124,0.46170834757534607,1.1968870603124306,0.0034550499985925853,0.0010642000124789774,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,0,0,8,8,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,3.691901937074114,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,5,0.12,1.0359266570135395,0.4796250778469313,nan,1.5367214097916464,0.33803945631391463,0.8802556781015136,0.6187155823798195,0.7936663919367708,0.20044939339748521,0.6318031962231253,0.6103102976993979,0.4273273963898748,1.0286594780798628,0.004125380015466362,0.0013332300004549325,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,0,0,10,10,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,3.1729893702095446,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,6,0.12,0.9886527108921145,0.4323511317255063,nan,1.4221747653941565,0.3161548685686346,0.8549347385554803,0.6399025994649075,0.864920553560568,0.21840802494466144,0.6535503042027276,0.6298704975179918,0.3945240810272419,0.8827669344792337,0.004774640023242682,0.0015769099700264633,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,0,0,12,12,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,2.722971167002274,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,7,0.12,0.945088743418647,0.38878716425203885,nan,1.3118665929049964,0.29557139943168464,0.8292435240370094,0.660096005455559,0.9402900107868828,0.23739403437818749,0.6743054139913571,0.6516588607012603,0.3633608844845285,0.7565167297896734,0.005437040003016591,0.0018132999539375305,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,0,0,14,14,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,2.3335414616399976,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,8,0.12,0.905043027305618,0.34874144813900987,nan,1.2060018908709562,0.2762532596515753,0.803182101037652,0.6792767090874515,1.0196429433757532,0.2573722324874083,0.6940498629735214,0.6759510767349696,0.3338551595604964,0.6474794820869343,0.006079040002077818,0.0020606399048119783,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,0,0,16,16,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,1.9972066148902206,10.0,2,1.0
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,9,0.12,0.8683223113287245,0.31202073216211634,nan,1.104772439353898,0.2581410266538348,0.776759848618016,0.6974426907979312,1.1027884625013085,0.2782925347578907,0.7127819695094113,0.7029161871967207,0.3059921925369156,0.5534776575254282,0.006714759976603091,0.002293939935043454,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,0,0,18,18,0,1,False,False,0.12,0,nan,nan,nan,nan,0.04964066960157733,1.4144034729149575,0.1620962691740644,1.7830589609147083,11.0,0.12634851785645304,0.510302125942233,6.169173449181403,1.7072498347604947,10.0,2,1.0
