tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,0,0.0,1.5117469815699338,0.48893907208927034,nan,1.3187915445723175,0.1503030586310856,1.0000924513119742,0.7,0.7,0.20618927041479337,0.9177153415927898,0.5644551475705926,0.4180980566221655,1.173244656640102,0.000523790018633008,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.0,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,1,0.02,1.4889047880723032,0.46609687859163973,nan,1.2697758857697357,0.13966423655502663,0.9871644382371082,0.6985940120789764,0.7277345675061911,0.21435865647103824,0.9158720606139074,0.5776919978981472,0.40340766886102664,1.0959289107252528,0.0037797000259160995,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,0,0,2,2,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,2,0.02,1.4637814039265589,0.4409734944458954,nan,1.2164748951738564,0.1353356090058706,0.9708375635253486,0.6981229658597494,0.7591296340588103,0.22360626485262175,0.9152545086967885,0.5960988669036509,0.3872692995866704,1.0113605299666892,0.00668298004893586,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,0,0,4,4,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,3,0.02,1.4427595524574846,0.4199516429768211,nan,1.1680776902457324,0.1370936636391379,0.9565853844071155,0.7061042370413736,0.792512717842415,0.233439455837675,0.9257181301379136,0.6173548956277769,0.3746246502859068,0.9429252659151288,0.009588780056219548,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,0,0,6,6,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,4,0.02,1.4276107064340504,0.40480279695338695,nan,1.1348966506445108,0.13318592309807165,0.9461307666181554,0.7040876830046754,0.8149284072538627,0.24004213390280504,0.923074383599874,0.6290224743172259,0.36447890077162237,0.8951368432032614,0.012481210054829717,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,0,0,8,8,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,5,0.02,1.4054121835913231,0.38260427411065967,nan,1.0838184939523194,0.13481125303829464,0.9294214885544939,0.7066746852816362,0.8508414540327717,0.25062054092239894,0.9264660002831633,0.6529567707680924,0.35008856571457964,0.8263575684628777,0.015385560051072389,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,0,0,10,10,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,6,0.02,1.391093842996636,0.3682859335159725,nan,1.050548494368097,0.1269182416176323,0.9191829695610574,0.7067501280050231,0.8744397236633514,0.2575715552055142,0.926564907346968,0.6634683054748546,0.3398321346735527,0.7845672449551023,0.018289810046553612,,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,0,0,12,12,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,7,0.02,1.3799015060509183,0.35709359657025486,nan,1.0270070873073465,0.13252472685244543,0.9088136353423786,0.7066142353824786,0.89392002509003,0.26330959683212435,0.9263867491405128,0.6765683470625246,0.33246499708854266,0.749633504417252,0.02116956003010273,,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,0,0,14,14,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,8,0.02,1.3684064904329376,0.34559858095227414,nan,1.0014687037013479,0.13252063207637663,0.89838078385621,0.7095927610074677,0.9137216669491076,0.26914229124346467,0.9302916615139116,0.6884350464555189,0.3246236591566038,0.7158890978117675,0.02405524003552273,,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,0,0,16,16,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,9,0.02,1.3567648537262513,0.33395694424558786,nan,0.9740884068871706,0.12725152490231642,0.8887710000607733,0.7132547222787544,0.9342657223867246,0.2751936681035265,0.9350925729981675,0.6981045064148481,0.31571504412163615,0.6828972525594237,0.026895149028860033,,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,0,0,18,18,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
smoke,J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,10,0.02,1.3418900253533705,0.3190821158727071,nan,0.9430549179354177,0.14035786255431448,0.8726075550683399,0.7187258436102054,0.9678655941347681,0.2850907153060404,0.9422653329718651,0.7175577207828457,0.3059630915141258,0.6375594804415707,0.029772439040243626,,nan,nan,nan,nan,nan,nan,nan,10,10,10,10,0,0,20,20,0,0,0,1,False,False,0.02,0,nan,nan,0.09999999999999994,1.5,0.33949390217628794,2.036963413057727,5.999999999999999,0.20618927041479335,0.9177153415927892,2.945561005925618
