tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_batch_size,grid_condition,grid_dimension,grid_rho
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,0,0.0,2.74952872481243,0.17574285254313748,nan,0.532025656955391,0.21395249766138727,0.7584054437653315,0.7082333706220653,2.4471718457843687,0.6059195724212946,0.9285094709254736,1.3867323741885154,0.23920851790769132,0.31566043984374026,0.0006052200333215296,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,1,1,1,0,0,0,0,2,2,0,1,True,False,0.0,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.4648984559846671,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,1,0.04,2.7401230891350976,0.16633721686580527,nan,0.5010849751853329,0.20506923005522942,0.743307442733199,0.7078059712926141,2.4154995163184787,0.6126696294024284,0.9279491410374394,1.3997953292000305,0.2271874706710652,0.2997552213487892,0.0020836699986830354,0.00041434000013396144,,nan,nan,nan,nan,nan,nan,nan,nan,1,2,2,2,0,0,1,1,5,5,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.441473564591682,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,2,0.04,2.727705982528697,0.15392011025940455,nan,0.4650762592624891,0.19487920658272145,0.7202227886004537,0.7061518585887,2.43497651397337,0.6261464895269123,0.9257805630301457,1.4155276503910437,0.2111482056240653,0.2756219462901291,0.003317520022392273,0.0007689399644732475,,nan,nan,nan,nan,nan,nan,nan,nan,2,3,3,3,0,0,2,2,8,8,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.40593055413976004,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,3,0.04,2.719294837961912,0.14550896569261962,nan,0.4361118062537344,0.186183537188541,0.7037720729736167,0.7066399245885895,2.4646822471406287,0.6262529341873241,0.9264204282527291,1.4263480119075875,0.20036527561292988,0.26229784296998965,0.004529969999566674,0.0011128499754704535,,nan,nan,nan,nan,nan,nan,nan,nan,3,4,4,4,0,0,3,3,11,11,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.38630707815404774,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,4,0.04,2.7136273186522364,0.13984144638294405,nan,0.42521679688781316,0.18568984183417062,0.6895253752003444,0.710756727977143,2.52296005300585,0.633983213684017,0.931817647721296,1.4330816947878784,0.19305733963134522,0.24810883096091332,0.005746370006818324,0.0014695400022901595,,nan,nan,nan,nan,nan,nan,nan,nan,4,5,5,5,0,0,4,4,14,14,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.36540978174835026,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,5,0.04,2.710143301665872,0.13635742939657947,nan,0.4143329316560357,0.17426825731187565,0.6854812139441981,0.7118048428999404,2.5365023515172953,0.6326765632079291,0.9331917493561585,1.4255662924508579,0.18690242030291948,0.2405221850942069,0.006948160007596016,0.0018424299778416753,,nan,nan,nan,nan,nan,nan,nan,nan,5,6,6,6,0,0,5,5,17,17,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.35423631968487396,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,6,0.04,2.70758032415091,0.13379445188161787,nan,0.4097758950390867,0.17133411682756217,0.6810793795135032,0.719179621914141,2.4778442662626237,0.6368453567705955,0.9428602462735702,1.4255651781107213,0.18295272217605105,0.2327070969578825,0.008158460026606917,0.002191320003475994,,nan,nan,nan,nan,nan,nan,nan,nan,6,7,7,7,0,0,6,6,20,20,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.3427264123624365,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,7,0.04,2.7039142927781805,0.13012842050888818,nan,0.4062866552196158,0.1738021886181375,0.6710161891934142,0.7184454511473377,2.484542346748437,0.6356010731232872,0.9418977323077924,1.4306713803195408,0.17821138422334562,0.22204513724344047,0.00936670001829043,0.0025307200266979635,,nan,nan,nan,nan,nan,nan,nan,nan,7,8,8,8,0,0,7,7,23,23,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.32702368885527633,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,8,0.04,2.6976809871859904,0.12389511491669802,nan,0.3934766998368834,0.18053969683694612,0.6520122041877385,0.7167258614847251,2.462021787894088,0.6542785228536203,0.9396433125726152,1.442883526235686,0.17055116596406764,0.2081892629834776,0.01060302002588287,0.0028885899810120463,,nan,nan,nan,nan,nan,nan,nan,nan,8,9,9,9,0,0,8,8,26,26,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.3066170311411732,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,9,0.04,2.699018173566244,0.12523230129695184,nan,0.40092363777001694,0.19058040225600217,0.649718474916425,0.7206024403300354,2.4757185613041552,0.6500529480388845,0.9447255924000939,1.441419239737046,0.17265384392867977,0.20774090374404375,0.011822930013295263,0.003253829956520349,,nan,nan,nan,nan,nan,nan,nan,nan,9,10,10,10,0,0,9,9,29,29,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.30595669651627555,1,10.0,8,0.5
