tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_dimension,grid_family,grid_rho,grid_role
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,0,0.0,8.112338983637708,2.1598090063619697,nan,4.562957184844511,2.1361079525259266,2.9495198569914895e-15,1.0,1.0,0.9999999999999981,1.0000000000000013,2.0000000000000018,3.8248759027547212,3.8906654092881583,0.0006593699799850583,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,12.001094871314502,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,1,1.121667899851164,6.057261360652738,0.1047313833770005,nan,0.14513584024113999,0.13282046735655048,0.7604364241114488,1.1225624176871671,1.4185637834582685,1.1225624176871662,1.4185637834582692,2.554565144926774,0.19555844088594396,0.2915695151216817,0.0023350799456238747,0.0005712200072593987,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,1,1,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.8993714556396872,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,2,1.121667899851164,6.033636412537872,0.08110643526213401,nan,0.1050225291468347,0.019204798997139408,0.680627237372411,1.1815753618602463,1.256838646947395,1.181575361860246,1.2568386469473944,2.4379834407370344,0.1474412929061039,0.2412279563380685,0.0038352699484676123,0.001113790029194206,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,2,2,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.7440885517205515,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,3,1.121667899851164,6.036090289693221,0.0835603124174833,nan,0.10860279567863904,0.013246922669406245,0.6930549570981671,1.201331462980106,1.24298923334754,1.2013314629801062,1.2429892333475396,2.44113346110018,0.15123627821609728,0.24734883077325162,0.005324569996446371,0.0016543300589546561,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,3,3,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.762968919746204,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,4,1.121667899851164,6.035322473055167,0.08279249577942949,nan,0.107482151400331,0.013437276530310153,0.6893048791467535,1.1958006798640741,1.2440548169213028,1.195800679864075,1.2440548169213024,2.439241660030183,0.14995256404118876,0.24540393873404295,0.006798379996325821,0.0021943800966255367,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,4,4,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.7569697315812988,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,5,1.121667899851164,6.035523396222138,0.08299341894640033,nan,0.10777542695891315,0.013410114649804579,0.690285154799654,1.1976155957656058,1.2440150777113963,1.1976155957656058,1.2440150777113965,2.439724915517747,0.1502900683215615,0.24591571971279721,0.008262759947683662,0.00271476007765159,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,5,5,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.7585483643942622,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,6,1.121667899851164,6.035470934036438,0.08294095676069979,nan,0.10769827442341899,0.013421835892847348,0.6900271162138133,1.1970778689515131,1.2440114767556962,1.197077868951512,1.2440114767556951,2.439599524277166,0.15020269723115373,0.24578313907348218,0.009739349945448339,0.003256250114645809,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,6,6,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.7581394079142934,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,7,1.121667899851164,6.0354849014820005,0.0829549242062626,nan,0.10771899236920217,0.01341762647039177,0.6900964421342165,1.1972370671096038,1.244012416171181,1.1972370671096044,1.2440124161711812,2.4396322512826925,0.15022567137303522,0.24581808312569375,0.011269209964666516,0.003782120067626238,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,7,7,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.7582471958738485,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,8,1.121667899851164,6.035481069080758,0.08295109180502003,nan,0.10771326898912786,0.013418908128600996,0.690077293413435,1.1971899380750053,1.2440123008243196,1.1971899380750055,1.2440123008243191,2.439623388554793,0.15021942951183073,0.2458085734892583,0.012762149970512837,0.004318570077884942,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,8,8,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.758217862575544,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fb-gvi,FB--GVI,2500492809,9,1.121667899851164,6.035482144534953,0.08295216725921506,nan,0.10771488221897965,0.013418538304246998,0.6900826892965125,1.1972038895125356,1.24401231036943,1.1972038895125356,1.2440123103694298,2.4396258538036424,0.15022116996464796,0.24581122795284144,0.014223609992768615,0.004838800057768822,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,9,9,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.7582260504986735,10.0,10,logcosh,1.0,stepsize_pilot
