tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_family,grid_feature_condition,grid_role
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,10,0.05010292348919832,412.9055845324824,14.189938004281998,nan,1.8733174575748495,2.7318885721651704,10.221148126108787,0.026018778860334275,0.7939477165511015,1.464601251206934,3.0588227918562483,5.289715161529195,46.81676117715351,1067.3590689261787,1.0410936390399002,0.08763672807253897,,nan,nan,nan,nan,nan,0.7437527422276142,0.4634,0.2694301442440346,10,10,10,10,10,10,10,20,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,54943.82953793588,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,11,0.05010292348919832,410.67232393620816,11.95667740800775,nan,1.5850461240337244,2.4543028295136464,9.159541845978564,0.02436154544248696,0.7788369300153809,1.436708931241263,2.834455107766384,4.93060034601332,37.71501796828876,915.2451934799702,1.1442384160473011,0.09647753805620596,,nan,nan,nan,nan,nan,0.7429686997634087,0.4642,0.2691958132683875,11,11,11,11,11,11,11,22,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,47113.550968906995,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,12,0.05010292348919832,408.86881400215606,10.153167473955648,nan,1.3498697193547866,2.2203023773325667,8.260273524470131,0.022948074605320445,0.7647519042844687,1.4107189837456686,2.645402475332067,4.629332166689049,30.761627711870005,789.6742681078961,1.2468388230190612,0.10511849803151563,,nan,nan,nan,nan,nan,0.7423500379833465,0.4654,0.26901257080386076,12,12,12,12,12,12,12,24,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,40649.60859054202,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,13,0.05010292348919832,407.3946757175371,8.679029189336688,nan,1.1560937375442133,2.0205220351770925,7.489693152852951,0.02172959718471598,0.7516240340641387,1.3865024674462898,2.484383149089418,4.373436140873931,25.357520836018537,684.9417592024417,1.3601428100373596,0.11542248807381839,,nan,nan,nan,nan,nan,0.7418501209591634,0.4646,0.26886578749076673,13,13,13,13,13,13,13,26,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,35258.35340387753,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,14,0.05010292348919832,406.1772457786924,7.461599250491986,nan,0.9950539336627175,1.8480727413736826,6.822796399439217,0.02066935509780611,0.7393853413676302,1.3639322159770466,2.345923726506417,4.153728300636413,21.094891338689415,596.8158577398589,1.4822461860021576,0.12415807810612023,,nan,nan,nan,nan,nan,0.7414371214551183,0.4652,0.2687454689408144,14,14,14,14,14,14,14,28,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,30721.947007191946,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,15,0.05010292348919832,405.1628065144093,6.447159986208874,nan,0.8602135877767624,1.6977856173558044,6.240628817365621,0.019739325816706673,0.7279704049362277,1.3428862147448348,2.225845421225192,3.963311402971945,17.689148320159447,522.0974238063895,1.5843018630403094,0.1327059781178832,,nan,nan,nan,nan,nan,0.7410888995947503,0.4652,0.26864467296255695,15,15,15,15,15,15,15,30,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,26875.709113216646,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,16,0.05010292348919832,404.3109112785888,5.595264750388367,nan,0.7465629808584113,1.565712414405341,5.728568138195743,0.018917895219831678,0.7173173970172677,1.3232493908560001,2.12091225717262,3.796913422281231,14.937283704413874,458.32703888146074,1.6869273000047542,0.14135084813460708,,nan,nan,nan,nan,nan,0.7407897814204691,0.4658,0.26855850212008076,16,16,16,16,16,16,16,32,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,23593.03764783167,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,17,0.05010292348919832,403.59061220010074,4.874965671900327,nan,0.6502096161265307,1.448788171548499,5.2751579490035,0.018188135474687388,0.7073685667820752,1.3049144208384296,2.028585589288664,3.6504407203966966,12.691645519639879,403.5855760855905,1.7904640470515005,0.15016530809225515,,nan,nan,nan,nan,nan,0.740528490687066,0.4654,0.2684834516970065,17,17,17,17,17,17,17,34,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,20775.14281929991,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,18,0.05010292348919832,402.97789129834985,4.262244770149437,nan,0.5680922862711986,1.3445987016537913,4.871297515811517,0.01753654013204375,0.6980703849560677,1.2877819387454532,1.946849942784515,3.5206695090340627,10.842973566109286,356.35555492884885,1.8942108940100297,0.15889972809236497,,nan,nan,nan,nan,nan,0.7402967946748676,0.4642,0.2684169804894688,18,18,18,18,18,18,18,36,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,18343.910156312533,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,19,0.05010292348919832,402.4538729315302,3.7382264033298043,nan,0.4977775884043807,1.251217236258509,4.509667464181589,0.016952133687427394,0.689373485511272,1.2717603868567176,1.8740875557057843,3.40502854602172,9.309161373248283,315.42286494712044,1.997076771047432,0.16761811805190518,,nan,nan,nan,nan,nan,0.7400886009348779,0.4646,0.2683572235992598,19,19,19,19,19,19,19,38,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,16236.841592077748,50,logistic,100.0,stepsize_pilot
