tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,0,0.0,0.729517036412616,1.0321021294066615,1.0321021294066615,3.462524344072011,1.4367338858721619,1.036724633772957e-15,1.0000000000000004,9.999999999999995,0.9999999999999993,1.0000000000000009,1.9999999999999996,2.064204258813322,1.7553368418660742,0.00046162999933585525,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.0,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.8776684209330371,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,1,0.2,0.35796026982621854,0.6605453628202631,0.6605453628202631,2.216015580206106,1.1493871086977294,1.6458028175717553e-15,1.0,9.999999999999993,0.9999999999999991,1.0000000000000013,1.9999999999999993,1.321090725640526,1.1234155787942874,0.0013577499776147306,0.00031379004940390587,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,0,0,1,1,3,3,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.5617077893971437,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,2,0.2,0.12016393921092305,0.4227490322049683,0.4227490322049683,1.4182499713318846,0.9195096869581834,1.931074757145091e-15,1.0,9.999999999999998,0.9999999999999992,1.000000000000002,2.0000000000000004,0.8454980644099365,0.7189859704283439,0.0019525499665178359,0.0005604600883089006,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,0,0,2,2,6,6,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.35949298521417195,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,3,0.2,-0.03202571238286556,0.2705593806111796,0.2705593806111796,0.9076799816524026,0.7356077495665466,2.2319365041897503e-15,0.9999999999999998,10.000000000000002,0.9999999999999989,1.0000000000000018,2.0,0.5411187612223592,0.46015102107413997,0.0025750899803824723,0.0008008001022972167,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,0,0,3,3,9,9,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.23007551053706998,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,4,0.2,-0.12942708940289016,0.17315800359115516,0.17315800359115516,0.5809151882575471,0.5884861996532377,2.237394284236873e-15,1.0000000000000002,9.999999999999998,0.999999999999999,1.0000000000000022,1.9999999999999998,0.3463160071823103,0.2944966534874501,0.0031467199441976845,0.0010492600849829614,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,0,0,4,4,12,12,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.14724832674372504,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,5,0.2,-0.19176397069570594,0.11082112229833928,0.11082112229833928,0.371785720484821,0.4707889597225901,2.2331516731161884e-15,0.9999999999999998,9.999999999999998,0.9999999999999987,1.000000000000001,1.9999999999999998,0.22164224459667856,0.1884778582319679,0.0037096799933351576,0.0012848000624217093,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,0,0,5,5,15,15,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.09423892911598394,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,6,0.2,-0.23165957472310783,0.07092551827093714,0.07092551827093714,0.23794286111028196,0.3766311677780721,2.2331516731161884e-15,0.9999999999999998,9.999999999999998,0.9999999999999987,1.000000000000001,1.9999999999999996,0.1418510365418743,0.12062582926845948,0.004272629972547293,0.0015285901026800275,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,0,0,6,6,18,18,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.06031291463422974,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,7,0.2,-0.25719276130064506,0.045392331693399866,0.045392331693399866,0.15228343111057754,0.30130493422245797,2.2331516731161884e-15,0.9999999999999998,9.999999999999998,0.9999999999999987,1.000000000000001,1.9999999999999998,0.09078466338679973,0.0772005307318142,0.004825229989364743,0.001755890087224543,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,0,0,7,7,21,21,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.0386002653659071,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,8,0.2,-0.2735340007102689,0.029051092283775944,0.029051092283775944,0.09746139591076633,0.2410439473779665,2.2331516731161884e-15,0.9999999999999998,9.999999999999998,0.9999999999999987,1.000000000000001,1.9999999999999998,0.05810218456755188,0.04940833966836115,0.005376669985707849,0.001982170098926872,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,0,0,8,8,24,24,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.024704169834180573,4
smoke,H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,9,0.2,-0.2839923939324285,0.01859269906161659,0.01859269906161659,0.062375293382887054,0.19283515790237313,2.2331516731161884e-15,0.9999999999999998,9.999999999999998,0.9999999999999987,1.000000000000001,1.9999999999999996,0.03718539812323318,0.031621337387751094,0.005920079944189638,0.002205330121796578,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,0,0,9,9,27,27,0,1,False,False,0.2,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.015810668693875547,4
