tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,10,0.1095890410958904,1.2494823346673158,0.000446093046799767,nan,0.000675117900979723,0.025953606507956885,0.02204782635609703,0.8289573949557144,0.8469954723396595,0.9779650851471929,0.9992455634830242,1.9650152850616533,0.0008530453713965333,0.001274658520243774,0.007389489968772978,0.0024702000664547086,,nan,nan,nan,nan,nan,nan,nan,nan,10,41,41,41,0,10,20,30,12,12,0,4,True,False,0.1095890410958904,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.000751891192399818
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,11,0.10810810810810811,1.249519888620342,0.0004836469998259485,nan,0.0007452553774944335,0.027595199066548864,0.021593302184697037,0.8300723309893488,0.8424810665840095,0.9792804344277495,0.9939196791419487,1.966542885784617,0.0009251117680437837,0.0013456546685105776,0.008030479948502034,0.0027010300545953214,,nan,nan,nan,nan,nan,nan,nan,nan,11,45,45,45,0,11,22,33,13,13,0,4,True,False,0.10810810810810811,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0007937701566308907
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,12,0.10666666666666667,1.2493425468065658,0.0003063051860496824,nan,0.0004874224878926361,0.022819283731650538,0.014700195025090103,0.8374632149904142,0.8404379340193711,0.9879998529954565,0.9915092870944173,1.9781685477496946,0.0005909020404392301,0.0008098864536252946,0.008714459952898324,0.0029339500470086932,,nan,nan,nan,nan,nan,nan,nan,nan,12,49,49,49,0,12,24,36,14,14,0,4,True,False,0.10666666666666667,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.000477733041166448
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,13,0.10526315789473684,1.2492792539742477,0.00024301235373158647,nan,0.0003833764458657374,0.020115785701409653,0.013769671435936957,0.8380050096039496,0.8410401429345711,0.9886390368890834,0.9922197449498072,1.9787317573220164,0.0004683340202088357,0.0006514648387323805,0.009368469996843487,0.0031724200234748423,,nan,nan,nan,nan,nan,nan,nan,nan,13,53,53,53,0,13,26,39,15,15,0,4,True,False,0.10526315789473684,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.000384283842787452
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,14,0.1038961038961039,1.2493289772253002,0.0002927356047841556,nan,0.0004654778020251605,0.02229560556415493,0.014393003573187676,0.8389984771647679,0.8390180282854928,0.989811083358081,0.98983414885404,1.9796535652910465,0.0005653883498458002,0.0007749044227630461,0.010013849998358637,0.0034022100153379142,,nan,nan,nan,nan,nan,nan,nan,nan,14,57,57,57,0,14,28,42,16,16,0,4,True,False,0.1038961038961039,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0004570979608842773
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,15,0.10256410256410256,1.2492338617993073,0.00019762017879121352,nan,0.0003132945637459496,0.018250908573062795,0.012049388225128351,0.8374659898029041,0.8466824402946969,0.9880031265891894,0.9988762629467497,1.9774412978990519,0.0003810430461804408,0.0005257323835626368,0.010671479976736009,0.0036318100173957646,,nan,nan,nan,nan,nan,nan,nan,nan,15,61,61,61,0,15,30,45,17,17,0,4,True,False,0.10256410256410256,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0003101172137338485
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,16,0.10126582278481013,1.2491954817047148,0.000159240084198764,nan,0.0002453159581081002,0.01586649781728493,0.012244617338327128,0.8378668027693797,0.8511429572725114,0.9884759869427765,1.004138571833254,1.9801251284028358,0.0003076291689777154,0.00044272389798563947,0.011318189965095371,0.0038701200392097235,,nan,nan,nan,nan,nan,nan,nan,nan,16,65,65,65,0,16,32,48,18,18,0,4,True,False,0.10126582278481013,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0002611524532050009
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,17,0.1,1.24917859870238,0.00014235708186394191,nan,0.00021419856488661017,0.014707562530278802,0.012094593777249274,0.8444047589343487,0.8573645644617036,0.996189161222263,1.0114785324169413,1.9995292529439288,0.00028056754931837037,0.0004086397999830653,0.011957679991610348,0.004099780053365976,,nan,nan,nan,nan,nan,nan,nan,nan,17,69,69,69,0,17,34,51,19,19,0,4,True,False,0.1,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00024104704247575976
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,18,0.09876543209876543,1.2491594828431132,0.00012324122259710357,nan,0.00017159536935453592,0.012362545132312702,0.014136020587054522,0.8471476816671458,0.8596072322249242,0.9994251329142404,1.0141243267404625,2.011149498504425,0.00024237629149120637,0.0003903747443652785,0.012608019984327257,0.004331130068749189,,nan,nan,nan,nan,nan,nan,nan,nan,18,73,73,73,0,18,36,54,20,20,0,4,True,False,0.09876543209876543,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0002302729141664144
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,19,0.0975609756097561,1.2491469375351076,0.00011069591459156314,nan,0.00013639198022958918,0.00983769458530079,0.016080060094608144,0.848159048832728,0.8612549005381599,1.0006182964980652,1.0160681685977802,2.0194589674916097,0.00021978160004708358,0.00039760803065057163,0.013248289993498474,0.00456376007059589,,nan,nan,nan,nan,nan,nan,nan,nan,19,77,77,77,0,19,38,57,21,21,0,4,True,False,0.0975609756097561,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00023453966025067404
