tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,0,0.0,1.2509287525332629,0.001892510912746781,nan,0.003053850066544693,0.05773505082235046,0.032635482425984026,0.8258863283630489,0.8305400098060789,0.9743419847079368,0.9798321799777725,1.954167193310377,0.003624951010468592,0.004894859560642548,0.0004316199920140207,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,1,1,1,0,0,0,0,2,2,0,4,True,False,0.0,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0028873629550425083
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,1,0.125,1.2505856127648047,0.0015493711442886582,nan,0.002486542663727044,0.05192633870436318,0.030608807949167115,0.8244060366463496,0.8360779200855857,0.9725956059150409,0.9863655469891434,1.9578100491981292,0.0029727895814657037,0.004044316477221076,0.0014661699533462524,0.00035983999259769917,,nan,nan,nan,nan,nan,nan,nan,nan,1,5,5,5,0,0,1,1,5,5,0,4,True,False,0.125,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.002385647520653945
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,2,0.12307692307692308,1.2504298421155104,0.0013936004949943737,nan,0.002219985026063776,0.04879217486793757,0.03069151333792408,0.8249440117598466,0.8349105132817989,0.9732302837415248,0.9849882951530248,1.9569055708252627,0.0026674816749981418,0.003682554215237251,0.002236229949630797,0.0006558800232596695,,nan,nan,nan,nan,nan,nan,nan,nan,2,9,9,9,0,0,2,2,8,8,0,4,True,False,0.12307692307692308,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.002172252439376606
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,3,0.12121212121212122,1.2501746487122751,0.0011384070917590527,nan,0.00181128155722476,0.044041811564607944,0.027913715491358185,0.8254668111573973,0.8393645810445415,0.9738470579695514,0.9902429955578321,1.9587154180984951,0.0021811028691765652,0.003014104973317802,0.002988689986523241,0.0009423000155948102,,nan,nan,nan,nan,nan,nan,nan,nan,3,13,13,13,0,0,3,3,11,11,0,4,True,False,0.12121212121212122,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0017779498951395435
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,4,0.11940298507462686,1.2501080678415875,0.0010718262210713814,nan,0.0016936972992648838,0.04247925758305306,0.027642705153095186,0.8243921703921477,0.8446716944786324,0.9725792471581812,0.9965040792673682,1.9643698993587424,0.002065283085202762,0.0028696456873169504,0.003748259972780943,0.0012477500131353736,,nan,nan,nan,nan,nan,nan,nan,nan,4,17,17,17,0,0,4,4,14,14,0,4,True,False,0.11940298507462686,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.001692736747398897
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,5,0.11764705882352941,1.249875200848508,0.0008389592279918201,nan,0.0013509639038300776,0.03848562914705889,0.021115655550844527,0.8297370847176357,0.8477678625932111,0.9788849265878338,1.0001567933057847,1.9771343194849855,0.0016350009264182823,0.002176406388967951,0.004467269987799227,0.001528920023702085,,nan,nan,nan,nan,nan,nan,nan,nan,5,21,21,21,0,0,5,5,17,17,0,4,True,False,0.11764705882352941,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.001283811129772023
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,6,0.11594202898550725,1.2496628717873683,0.0006266301668522711,nan,0.0010087930068955631,0.033185506737997694,0.01876756162066909,0.832043188992702,0.8444786188842209,0.981605560335053,0.9962762977296468,1.976182506377578,0.0012161950116425743,0.0016261275444935548,0.005166149989236146,0.0017961200210265815,,nan,nan,nan,nan,nan,nan,nan,nan,6,25,25,25,0,0,6,6,20,20,0,4,True,False,0.11594202898550725,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.000959214533936207
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,7,0.11428571428571428,1.249707863379372,0.0006716217588558226,nan,0.0010659769304121592,0.0337757882109121,0.02150375031671829,0.8298509609598363,0.843639338022837,0.9790192724415261,0.9952861535026208,1.9720710520937224,0.0012976864312205059,0.0017844890964106388,0.005890249973163009,0.0020727800438180566,,nan,nan,nan,nan,nan,nan,nan,nan,7,29,29,29,0,0,7,7,23,23,0,4,True,False,0.11428571428571428,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0010526283025731986
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,8,0.11267605633802817,1.2496408547243991,0.0006046131038830449,nan,0.0009642737087817997,0.0321899770108342,0.020050770866754573,0.831518130345522,0.8422402564643474,0.9809861207501944,0.9936355826484347,1.971245352985341,0.001165867852143169,0.0015936608710920533,0.006613259960431606,0.002361440099775791,,nan,nan,nan,nan,nan,nan,nan,nan,8,33,33,33,0,0,8,8,26,26,0,4,True,False,0.11267605633802817,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0009400632040785117
smoke,K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,9,0.1111111111111111,1.2494234669748672,0.00038722535435109506,nan,0.0005949733302585015,0.02464382803720598,0.019359392060899632,0.8312883637742258,0.8490726631903152,0.9807150529174818,1.0016961359002434,1.9677882210317876,0.0007427664013823417,0.0010818793198259517,0.0073243199731223285,0.0026319001335650682,,nan,nan,nan,nan,nan,nan,nan,nan,9,37,37,37,0,0,9,9,29,29,0,4,True,False,0.1111111111111111,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0006381752594107074
