job_id,method,dimension,rho,step_size,gamma_star,gamma_kl,lambda_star,kappa_star,fitted_rate,continuous_rate,discrete_rate
G_local_spectral_d2_rho0.001,FR--KL,2,0.001,0.05,0.9993950233954038,0.9518120550574152,1.0001131817097426,1.0010000000000008,2.0397658931817553,1.9987900467908075,1.9504119002383808
G_local_spectral_d2_rho0.001,FR--R,2,0.001,0.05,0.9993950233954038,0.9518120550574152,1.0001131817097426,1.0010000000000008,2.0516480038401403,1.9987900467908075,2.050458160821372
G_local_spectral_d2_rho0.01,FR--KL,2,0.01,0.05,0.9978737266765776,0.9509516792617164,1.0006922255342257,1.0100000000000002,2.0359141720591674,1.9957474533531552,1.9486052058317933
G_local_spectral_d2_rho0.01,FR--R,2,0.01,0.05,0.9978737266765776,0.9509516792617164,1.0006922255342257,1.0100000000000002,2.0519774223903635,1.9957474533531552,2.047255661064952
G_local_spectral_d2_rho0.05,FR--KL,2,0.05,0.05,0.9897301331915012,0.945063157891504,1.0033032666977304,1.0500000000000005,2.0373755553095836,1.9794602663830023,1.9362421495437487
G_local_spectral_d2_rho0.05,FR--R,2,0.05,0.05,0.9897301331915012,0.945063157891504,1.0033032666977304,1.0500000000000005,2.0472121642628447,1.9794602663830023,2.030116844391272
G_local_spectral_d2_rho0.1,FR--KL,2,0.1,0.05,0.9802724437903588,0.9375414448635891,1.00608384357217,1.100000000000014,2.0081571624114294,1.9605448875807177,1.920455733820103
G_local_spectral_d2_rho0.1,FR--R,2,0.1,0.05,0.9802724437903588,0.9375414448635891,1.00608384357217,1.100000000000014,2.034481367911164,1.9605448875807177,2.0102216243292346
G_local_spectral_d2_rho0.5,FR--KL,2,0.5,0.05,0.9228285476395012,0.8851104554566762,1.0199219173944292,1.5,1.8252458046513511,1.8456570952790023,1.810587395697909
G_local_spectral_d2_rho0.5,FR--R,2,0.5,0.05,0.9228285476395012,0.8851104554566762,1.0199219173944292,1.5,1.9145134370861379,1.8456570952790023,1.889594610204535
G_local_spectral_d2_rho1,FR--KL,2,1.0,0.05,0.885401527135613,0.8488526819828967,1.024390418522609,2.0000000000000004,1.7464761541377274,1.770803054271226,1.7347859021601322
G_local_spectral_d2_rho1,FR--R,2,1.0,0.05,0.885401527135613,0.8488526819828967,1.024390418522609,2.0000000000000004,1.8207313084594827,1.770803054271226,1.8111964997043457
G_local_spectral_d2_rho2,FR--KL,2,2.0,0.05,0.8651257725456144,0.828188107930532,1.0208064698481951,3.0000000000000004,1.696644080193684,1.7302515450912288,1.691648156054685
G_local_spectral_d2_rho2,FR--R,2,2.0,0.05,0.8651257725456144,0.828188107930532,1.0208064698481951,3.0000000000000004,1.7729761567916593,1.7302515450912288,1.768789104134723
G_local_spectral_d3_rho0.001,FR--KL,3,0.001,0.05,0.9994915696688093,0.9519177755905144,1.000426135876229,1.0010437124650664,2.030526528242223,1.9989831393376185,1.9506339073432848
G_local_spectral_d3_rho0.001,FR--R,3,0.001,0.05,0.9994915696688093,0.9519177755905144,1.000426135876229,1.0010437124650664,2.0514643915499873,1.9989831393376185,2.0506614101785603
G_local_spectral_d3_rho0.01,FR--KL,3,0.01,0.05,0.997806648078452,0.9505541705985164,1.0006655822002628,1.0104370952315518,2.03921504508895,1.995613296156904,1.947770508981788
G_local_spectral_d3_rho0.01,FR--R,3,0.01,0.05,0.997806648078452,0.9505541705985164,1.0006655822002628,1.0104370952315518,2.0510990435589846,1.995613296156904,2.0471144590146872
G_local_spectral_d3_rho0.05,FR--KL,3,0.05,0.05,0.9897484574568736,0.9441459564296268,1.0033207799710064,1.0521826496451991,1.9871649136860605,1.9794969149137471,1.934316812512975
G_local_spectral_d3_rho0.05,FR--R,3,0.05,0.05,0.9897484574568736,0.9441459564296268,1.0033207799710064,1.0521826496451991,2.039208254958238,1.9794969149137471,2.0301554009700715
G_local_spectral_d3_rho0.1,FR--KL,3,0.1,0.05,0.9801778266341842,0.9361676769685864,1.0061508492960418,1.104348956489361,2.028302905772596,1.9603556532683684,1.9175731709188493
G_local_spectral_d3_rho0.1,FR--R,3,0.1,0.05,0.9801778266341842,0.9361676769685864,1.0061508492960418,1.104348956489361,2.055922960566706,1.9603556532683684,2.0100226374183063
G_local_spectral_d3_rho0.5,FR--KL,3,0.5,0.05,0.9228490632612402,0.8851440385456353,1.0199741752480624,1.51982560015528,1.9455605805758682,1.8456981265224803,1.8106576720516
G_local_spectral_d3_rho0.5,FR--R,3,0.5,0.05,0.9228490632612402,0.8851440385456353,1.0199741752480624,1.51982560015528,2.036190716120904,1.8456981265224803,1.8896376262938368
G_local_spectral_d3_rho1,FR--KL,3,1.0,0.05,0.8853564520105917,0.848802744951052,1.0243839659831857,2.032430415197461,1.7507866007401978,1.7707129040211833,1.7346816014288806
G_local_spectral_d3_rho1,FR--R,3,1.0,0.05,0.8853564520105917,0.848802744951052,1.0243839659831857,2.032430415197461,1.832784838939126,1.7707129040211833,1.8111021737430848
G_local_spectral_d3_rho2,FR--KL,3,2.0,0.05,0.8651558384856053,0.8282081363474801,1.0208532400079653,3.0405834860048846,1.7002511608354003,1.7303116769712106,1.691689943294246
G_local_spectral_d3_rho2,FR--R,3,2.0,0.05,0.8651558384856053,0.8282081363474801,1.0208532400079653,3.0405834860048846,1.7804202829323073,1.7303116769712106,1.768851954746134
G_local_spectral_d5_rho0.001,FR--KL,5,0.001,0.05,0.9990280350145144,0.9514638793031864,1.0004117030246005,1.0010437124650668,2.0201635910321927,1.9980560700290289,1.94968075967388
G_local_spectral_d5_rho0.001,FR--R,5,0.001,0.05,0.9990280350145144,0.9514638793031864,1.0004117030246005,1.0010437124650668,2.051563127498002,1.9980560700290289,2.0496855857643648
G_local_spectral_d5_rho0.01,FR--KL,5,0.01,0.05,0.9974266667465452,0.9501738984522314,1.0006838871628765,1.0104370952315511,2.0315665125849063,1.9948533334930905,1.9469720220248985
G_local_spectral_d5_rho0.01,FR--R,5,0.01,0.05,0.9974266667465452,0.9501738984522314,1.0006838871628765,1.0104370952315511,2.0515873295608062,1.9948533334930905,2.046314598649662
G_local_spectral_d5_rho0.05,FR--KL,5,0.05,0.05,0.9897008756260744,0.9440580399774338,1.00321144071906,1.0521826496451991,1.982067851221904,1.979401751252149,1.9341322681746589
G_local_spectral_d5_rho0.05,FR--R,5,0.05,0.05,0.9897008756260744,0.9440580399774338,1.00321144071906,1.0521826496451991,2.0484609548967416,1.979401751252149,2.0300552828392915
G_local_spectral_d5_rho0.1,FR--KL,5,0.1,0.05,0.9801518882488628,0.9357250323025276,1.0060965451224246,1.1043489564893605,2.0361361592859826,1.9603037764977256,1.9166444184629172
G_local_spectral_d5_rho0.1,FR--R,5,0.1,0.05,0.9801518882488628,0.9357250323025276,1.0060965451224246,1.1043489564893605,2.047529839110503,1.9603037764977256,2.0099680872392383
G_local_spectral_d5_rho0.5,FR--KL,5,0.5,0.05,0.9227145326593478,0.884957573413144,1.0200855374530895,1.51982560015528,1.8760228335730065,1.8454290653186955,1.8102674745562235
G_local_spectral_d5_rho0.5,FR--R,5,0.5,0.05,0.9227145326593478,0.884957573413144,1.0200855374530895,1.51982560015528,1.9513418180468138,1.8454290653186955,1.8893555503633368
G_local_spectral_d5_rho1,FR--KL,5,1.0,0.05,0.885541028854366,0.8489686657062613,1.0244773288664788,2.032430415197461,1.749192013402713,1.771082057708732,1.7350281520319604
G_local_spectral_d5_rho1,FR--R,5,1.0,0.05,0.885541028854366,0.8489686657062613,1.0244773288664788,2.032430415197461,1.8299914391308594,1.771082057708732,1.8114884278408572
G_local_spectral_d5_rho2,FR--KL,5,2.0,0.05,0.865181768303683,0.8282174955754213,1.0207208318837997,3.040583486004884,1.7032743179686618,1.730363536607366,1.6917094703792317
