job_id,method,variant,seed,tier,experiment,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,grid_condition,grid_dimension,grid_rho,source_file,plotted_gap
D_logcosh_d10_k100_rho0.1,FB--GVI,fb-gvi-x1,2429407476,full,D,400,2.3393250373047323,-15.657351030629346,0.0074995523790999,,7.064981897211069,0.0072094559470317,0.1668234366298386,3.34203586111759,834.5854988484729,0.8395193097355318,1.038215156619541,1.7064849123205612,0.0131001035951907,0.0001035479359273,1.5346039140131325,,,,,,,,,400,400,400,400,400,0,400,400,0,0,0,1,False,False,1.0,1,,,0.0006585781435878,0.3436468256903399,0.4945313642513373,5.43984500676471,10.999999999999998,0.0005031676620504,0.1496085942897138,2.02211643646482,100.0,10,0.1,results/raw/full/D/D_logcosh_d10_k100_rho0.1/fb-gvi-x1_seed1.csv,0.0074995523790999
D_logcosh_d10_k100_rho0.1,FR--KL,fr-kl-x0p5,674474161,full,D,400,0.0454545454545454,-15.656676718744327,0.0081738642641013,,8.364921578740008,0.0061582664778697,0.1544222639242317,2.4835924427609406,2595.231533955462,0.9999972324361296,1.1422098328512442,2.257082059578157,0.0091699538078342,6.856692562411282e-05,1.7733464479679242,,,,,,,,,400,400,400,400,400,0,0,0,800,800,0,1,False,False,0.5,2,,,0.0002277377658218,0.4450782729327923,0.4945313642513371,5.439845006764708,11.0,0.0002114192984742,0.2014671200996683,2.0221164364648208,100.0,10,0.1,results/raw/full/D/D_logcosh_d10_k100_rho0.1/fr-kl-x0p5_seed2.csv,0.0081738642641013
D_logcosh_d10_k100_rho0.1,FR--R,fr-r-x1,674474161,full,D,400,0.0454545454545454,-15.65652335956279,0.0083272234456401,,8.588610267307233,0.0062235330118028,0.1564191496517709,2.4836115678195134,2598.5003221562138,0.9999984989877514,1.1442209843585829,2.2609547549370506,0.0093588568851025,6.978223891506914e-05,1.699847168987617,,,,,,,,,400,400,400,400,400,400,400,800,0,0,0,1,False,False,1.0,2,,,0.0002277377658218,0.4450782729327923,0.4945313642513371,5.439845006764708,11.0,0.0002114192984742,0.2014671200996683,2.0221164364648208,100.0,10,0.1,results/raw/full/D/D_logcosh_d10_k100_rho0.1/fr-r-x1_seed2.csv,0.0083272234456401
D_logcosh_d10_k100_rho1,FB--GVI,fb-gvi-x1,1544631006,full,D,400,0.851955272943059,-6.8736330451177885,0.0001057468712026,,0.0243634972153618,0.0103552866682707,0.0152368586292305,0.8909330110955437,147.60467372414683,0.9849885120773252,1.0000389875390252,1.970855123652817,0.0002002512982303,2.0142982508661942e-06,1.5262367239920422,,,,,,,,,400,400,400,400,400,0,400,400,0,0,0,1,False,False,1.0,2,,,0.0005742557380484,1.514470232406098,0.0206428910638833,2.08493199745222,101.0,0.0033368367875885,0.5611628176801217,48.44282697153752,100.0,10,1.0,results/raw/full/D/D_logcosh_d10_k100_rho1/fb-gvi-x1_seed2.csv,0.0001057468712026
D_logcosh_d10_k100_rho1,FR--KL,fr-kl-x8,3316110899,full,D,400,0.0792079207920792,-6.873738791988866,1.234568003383174e-13,,1.0099403056923864e-11,7.80719165283749e-09,8.743484399205684e-07,0.9871780350079916,149.11039244041962,0.9999999993381316,1.000000597568396,2.0000009885077152,1.6082820636615057e-13,2.0701888277934567e-14,1.5714273530174978,,,,,,,,,400,400,400,400,400,0,0,0,800,800,0,1,False,False,8.0,1,,,0.0002563174566851,1.3376522766508787,0.0206428910638833,2.0849319974522214,101.0,0.0033532212603574,0.5064942621885886,48.44282697153749,100.0,10,1.0,results/raw/full/D/D_logcosh_d10_k100_rho1/fr-kl-x8_seed1.csv,1.234568003383174e-13
D_logcosh_d10_k100_rho1,FR--R,fr-r-x16,2450940751,full,D,400,0.0792079207920792,-6.873738791988824,1.5987211554602254e-13,,1.1667956879595648e-11,8.695708591594687e-09,1.0004914737659076e-06,1.3634564749015334,181.46446063481145,0.9999999999122277,1.0000006952663183,2.000001143585398,2.100077623134436e-13,6.053800916402999e-14,1.6800745599903166,,,,,,,,,400,400,400,400,400,400,400,800,0,0,0,1,False,False,16.0,4,,,0.0002036282093901,1.1736674485115115,0.0206428910638833,2.084931997452218,101.0,0.0027553617078347,0.3667150981560589,48.44282697153756,100.0,10,1.0,results/raw/full/D/D_logcosh_d10_k100_rho1/fr-r-x16_seed4.csv,1.5987211554602254e-13
D_logcosh_d10_k100_rho5,FB--GVI,fb-gvi-x1,3541565110,full,D,400,0.1914809902398001,1.4980542298875985,2.713370705009765e-06,,8.934182317643778e-05,0.0018823855202492,0.0019985632206019,0.2188094957422005,23.502417043355244,0.9980064519936136,1.0000431168705488,1.9971778214514584,5.322375679107037e-06,3.612192362264007e-07,1.5180674250004813,,,,,,,,,400,400,400,400,400,0,400,400,0,0,0,1,False,False,1.0,4,,,0.00020780719135,5.3670588067571225,0.0023993464543686,1.2020725736386813,501.0,0.0212320664123741,2.2850894765117227,416.780160355435,100.0,10,5.0,results/raw/full/D/D_logcosh_d10_k100_rho5/fb-gvi-x1_seed4.csv,2.713370705009765e-06
D_logcosh_d10_k100_rho5,FR--KL,fr-kl-x256,3722357600,full,D,400,0.5109780439121756,1.4980515165168935,-2.664535259100376e-15,,1.592059817312475e-13,2.858828532563328e-15,9.538563117062479e-14,0.2337896724838371,22.78697151815664,0.9999999999999052,1.0000000000000049,1.9999999999998133,1.9050643298325162e-28,8.74962842384395e-29,1.569300053990446,,,,,,,,,400,400,400,400,400,0,0,0,800,800,0,1,False,False,256.0,3,,,0.0007536225883335,5.104276275799879,0.0023993464543686,1.2020725736386806,501.0,0.0219423629683126,2.13867445335749,416.7801603554352,100.0,10,5.0,results/raw/full/D/D_logcosh_d10_k100_rho5/fr-kl-x256_seed3.csv,1e-14
D_logcosh_d10_k100_rho5,FR--R,fr-r-x512,3908755484,full,D,400,0.5109780439121756,1.4980515165168908,-2.664535259100376e-15,,1.865174681370267e-14,3.866186184108333e-15,9.95398552778539e-14,0.228985171615918,23.026898819717054,0.9999999999999076,1.0000000000000335,1.9999999999998488,8.551859639454087e-29,5.225795294189914e-28,1.67121528001735,,,,,,,,,400,400,400,400,400,400,400,800,0,0,0,1,False,False,512.0,1,,,0.0002374028969185,5.184915338166353,0.0023993464543686,1.2020725736386797,501.0,0.0217137359187885,2.1835475042840837,416.7801603554355,100.0,10,5.0,results/raw/full/D/D_logcosh_d10_k100_rho5/fr-r-x512_seed1.csv,1e-14
D_logcosh_d10_k10_rho0.1,FB--GVI,fb-gvi-x1,4218009700,full,D,400,1.340560936267826,-11.302385027726832,0.00012430252902,,0.0340573592922942,0.0009767204933875,0.0223870430218805,2.446753129205884,267.106483670642,0.9783553563876488,0.9999927796377732,1.9589396187475685,0.000238923248626,1.828640336435435e-06,1.637609361030627,,,,,,,,,400,400,400,400,400,0,400,400,0,0,0,1,False,False,1.0,1,,,0.0030748924398889,0.463259480776319,0.7884061058051062,1.5768122116102123,2.0,0.0018314418689295,0.20434516471757,1.2683818563008438,10.0,10,0.1,results/raw/full/D/D_logcosh_d10_k10_rho0.1/fb-gvi-x1_seed1.csv,0.00012430252902
