job_id,omega,tau,dimension,step_size,predicted_traceless_rate,fitted_traceless_rate,predicted_trace_rate,fitted_trace_rate
M_affine_metric_d10_h0.04,0.25,0.0,10,0.04,2.0,2.084551059841804,2.0,2.084551433879
M_affine_metric_d10_h0.04,0.25,0.025,10,0.04,2.0,2.084562828477197,1.0,1.0205600104974455
M_affine_metric_d10_h0.04,0.25,0.1,10,0.04,2.0,2.08458201056486,0.4,0.403243147703387
M_affine_metric_d10_h0.04,0.5,-0.025,10,0.04,1.0,1.0205575254416992,2.0,2.084582212853699
M_affine_metric_d10_h0.04,0.5,0.0,10,0.04,1.0,1.0205641411524564,1.0,1.0205646511203632
M_affine_metric_d10_h0.04,0.5,0.05,10,0.04,1.0,1.0205710985625946,0.5,0.5050790535676543
M_affine_metric_d10_h0.04,0.5,0.2,10,0.04,1.0,1.0205772885245912,0.2,0.2008120254288567
M_affine_metric_d10_h0.04,1.0,-0.05,10,0.04,0.5,0.5050781306730485,1.0,1.0205738654306815
M_affine_metric_d10_h0.04,1.0,0.0,10,0.04,0.5,0.5050814409194228,0.5,0.5050819326049576
M_affine_metric_d10_h0.04,1.0,0.1,10,0.04,0.5,0.5050829569266599,0.25,0.2512685943764318
M_affine_metric_d10_h0.04,1.0,0.4,10,0.04,0.5,0.5050834199320148,0.1,0.1002073030701991
M_affine_metric_d10_h0.04,2.0,-0.1,10,0.04,0.25,0.2512686515547749,0.5,0.5050828705700232
M_affine_metric_d10_h0.04,2.0,0.0,10,0.04,0.25,0.2512684586883944,0.25,0.2512688182442102
M_affine_metric_d10_h0.04,2.0,0.2,10,0.04,0.25,0.2512676607407648,0.125,0.1253210008952513
M_affine_metric_d10_h0.04,2.0,0.8,10,0.04,0.25,0.2512668036962338,0.05,0.0500553127596465
M_affine_metric_d2_h0.005,0.25,-0.0625,2,0.005,2.0,2.010077795788924,4.0,4.04069907717251
M_affine_metric_d2_h0.005,0.25,0.0,2,0.005,2.0,2.010091011151541,2.0,2.010091005170619
M_affine_metric_d2_h0.005,0.25,0.125,2,0.005,2.0,2.010115407983004,1.0,1.0025303310527438
M_affine_metric_d2_h0.005,0.25,0.5,2,0.005,2.0,2.010154984793151,0.4,0.4004193561606241
M_affine_metric_d2_h0.005,0.5,-0.125,2,0.005,1.0,1.0025261817597086,2.0,2.0101509805309363
M_affine_metric_d2_h0.005,0.5,0.0,2,0.005,1.0,1.0025403866455012,1.0,1.0025403890722129
M_affine_metric_d2_h0.005,0.5,0.25,2,0.005,1.0,1.0025553108029808,0.5,0.5006509393191564
M_affine_metric_d2_h0.005,0.5,1.0,2,0.005,1.0,1.0025686334442336,0.2,0.2001171022941058
M_affine_metric_d2_h0.005,1.0,-0.25,2,0.005,0.5,0.5006500205912123,1.0,1.0025599428572238
M_affine_metric_d2_h0.005,1.0,0.0,2,0.005,0.5,0.5006572753776586,0.5,0.5006572758375556
M_affine_metric_d2_h0.005,1.0,0.5,2,0.005,0.5,0.5006606390130036,0.25,0.2501788728528197
M_affine_metric_d2_h0.005,1.0,2.0,2,0.005,0.5,0.5006616852254009,0.1,0.1000399707414712
M_affine_metric_d2_h0.005,2.0,-0.5,2,0.005,0.25,0.2501797848995312,0.5,0.5006593797263407
M_affine_metric_d2_h0.005,2.0,0.0,2,0.005,0.25,0.2501794199513194,0.25,0.2501794199478973
M_affine_metric_d2_h0.005,2.0,1.0,2,0.005,0.25,0.2501776904779598,0.125,0.1250556093281047
M_affine_metric_d2_h0.005,2.0,4.0,2,0.005,0.25,0.2501758078507616,0.05,0.050017889768078
M_affine_metric_d2_h0.01,0.25,-0.0625,2,0.01,2.0,2.0202814019565825,4.0,4.082359881871124
M_affine_metric_d2_h0.01,0.25,0.0,2,0.01,2.0,2.020294739852369,2.0,2.020294736575228
M_affine_metric_d2_h0.01,0.25,0.125,2,0.01,2.0,2.0203193887446305,1.0,1.0050556519347718
M_affine_metric_d2_h0.01,0.25,0.5,2,0.01,2.0,2.020359419711444,0.4,0.4008210186383211
M_affine_metric_d2_h0.01,0.5,-0.125,2,0.01,1.0,1.005051466580359,2.0,2.0203558611569954
M_affine_metric_d2_h0.01,0.5,0.0,2,0.01,1.0,1.0050657533574563,1.0,1.0050657530928302
M_affine_metric_d2_h0.01,0.5,0.25,2,0.01,1.0,1.005080763560011,0.5,0.5012791523606965
M_affine_metric_d2_h0.01,0.5,1.0,2,0.01,1.0,1.0050941583991284,0.2,0.200217338653484
M_affine_metric_d2_h0.01,1.0,-0.25,2,0.01,0.5,0.5012782272701379,1.0,1.0050854519320094
M_affine_metric_d2_h0.01,1.0,0.0,2,0.01,0.5,0.5012855028656183,0.5,0.501285503188921
M_affine_metric_d2_h0.01,1.0,0.5,2,0.01,0.5,0.5012888699800924,0.25,0.2503355580817674
M_affine_metric_d2_h0.01,1.0,2.0,2,0.01,0.5,0.5012899149487215,0.1,0.1000650201182784
