tier,experiment,job_id,method,seed,iteration,interpolation_level,optimizer_relative_distance,raw_intrinsic_variance,stl_intrinsic_variance,stl_raw_variance_ratio,source_file
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,4180469083,0,0.0,2.343586393376446,2.0457150086238145,0.38184938102862404,0.18665815102246341,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed0.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,4180469083,1,0.25,1.757689795032334,1.7447250382437076,0.2319385980361189,0.13293704907771325,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed0.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,4180469083,2,0.5,1.1717931966882225,1.568443574285745,0.13765882818039854,0.08776779122773806,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed0.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,4180469083,3,0.75,0.5858965983441107,1.262872587881086,0.0673742276695873,0.05334998028790166,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed0.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,4180469083,4,0.9,0.234358639337644,1.1130522412527948,0.04426852463421624,0.03977218947458373,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed0.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,4180469083,5,1.0,5.160678311098147e-15,1.0040854576119307,0.04126228124682998,0.04109439185083532,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed0.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,1198063984,0,0.0,2.343586393376446,2.183117029398942,0.38908303847297465,0.17822362852443938,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed1.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,1198063984,1,0.25,1.757689795032334,1.833231718636057,0.2530594836663102,0.1380400966739704,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed1.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,1198063984,2,0.5,1.1717931966882225,1.5952501368684304,0.13991703216579207,0.08770852227629794,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed1.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,1198063984,3,0.75,0.5858965983441107,1.334322050600537,0.06951601521082472,0.052098378483318705,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed1.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,1198063984,4,0.9,0.234358639337644,1.0820130341102494,0.04348784279050822,0.040191607142947894,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed1.csv
core,I,I_variance_logcosh_d8_core,raw-vs-STL-ablation,1198063984,5,1.0,5.160678311098147e-15,1.0930813970107813,0.03915177854806817,0.03581780703169538,results/raw/core/I/I_variance_logcosh_d8_core/raw-vs-stl_seed1.csv
