method,rescued,grid_dimension,grid_condition,grid_rho,grid_batch_size,floor
FR--KL--STL,True,32,10.0,0.5,2,0.0073522452534895
FR--KL--STL,True,32,10.0,0.5,4,0.0035393026905019
FR--KL--STL,True,32,10.0,0.5,8,0.0018002526283424501
FR--KL--STL,True,32,10.0,0.5,16,0.0008941624932177
FR--KL--STL,True,32,10.0,0.5,32,0.0004509290350016
FR--KL--STL,True,32,10.0,0.5,64,0.0002258477773473
FR--KL--STL,True,32,10.0,1.0,1,0.017152481051111203
FR--KL--STL,True,32,10.0,1.0,2,0.00849028298796375
FR--KL--STL,True,32,10.0,1.0,4,0.004265296785199249
FR--KL--STL,True,32,10.0,1.0,8,0.0021083771213010498
FR--KL--STL,True,32,10.0,1.0,16,0.0010567523764226
FR--KL--STL,True,32,10.0,1.0,32,0.00052364476559315
FR--KL--STL,True,32,10.0,1.0,64,0.00026091629175075
FR--KL--STL,True,32,100.0,0.5,1,0.051125169377376795
FR--KL--STL,True,32,100.0,0.5,2,0.024818119825285402
FR--KL--STL,True,32,100.0,0.5,4,0.01213148692201565
FR--KL--STL,True,32,100.0,0.5,8,0.0059401703751333496
FR--KL--STL,True,32,100.0,0.5,16,0.00300222470261065
FR--KL--STL,True,32,100.0,0.5,32,0.00151516151213995
FR--KL--STL,True,32,100.0,0.5,64,0.00073559893749925
FR--KL--STL,True,32,100.0,1.0,1,0.0171207243091027
FR--KL--STL,True,32,100.0,1.0,2,0.0084825366689971
FR--KL--STL,True,32,100.0,1.0,4,0.00405359290238215
FR--KL--STL,True,32,100.0,1.0,8,0.0020866482592873502
FR--KL--STL,True,32,100.0,1.0,16,0.0010426230053699
FR--KL--STL,True,32,100.0,1.0,32,0.000520407690816
FR--KL--STL,True,32,100.0,1.0,64,0.0002630661872853
FR--R--STL,False,8,10.0,0.5,1,0.00361127357246755
FR--R--STL,False,8,10.0,0.5,2,0.0017585241679891
FR--R--STL,False,8,10.0,0.5,4,0.0009112003547688
FR--R--STL,False,8,10.0,0.5,8,0.00045369977614255
FR--R--STL,False,8,10.0,0.5,16,0.00022005269407225002
FR--R--STL,False,8,10.0,0.5,32,0.00010920931786665
FR--R--STL,False,8,10.0,0.5,64,5.637949335146608e-05
FR--R--STL,False,8,10.0,1.0,1,0.004085222589751801
FR--R--STL,False,8,10.0,1.0,2,0.002082245434964
FR--R--STL,False,8,10.0,1.0,4,0.0010275172170239
FR--R--STL,False,8,10.0,1.0,8,0.0005119068989780499
FR--R--STL,False,8,10.0,1.0,16,0.0002592273555719
FR--R--STL,False,8,10.0,1.0,32,0.00012947849151285
FR--R--STL,False,8,10.0,1.0,64,6.467962560652296e-05
FR--R--STL,False,8,100.0,0.5,1,0.0117948356230357
FR--R--STL,False,8,100.0,0.5,2,0.0058243713227095
FR--R--STL,False,8,100.0,0.5,4,0.0028706206111639
FR--R--STL,False,8,100.0,0.5,8,0.00150679719132135
FR--R--STL,False,8,100.0,0.5,16,0.00072455084908445
FR--R--STL,False,8,100.0,0.5,32,0.00037247284518435
FR--R--STL,False,8,100.0,0.5,64,0.0001797288717675
FR--R--STL,False,8,100.0,1.0,1,0.0081822763794865
FR--R--STL,False,8,100.0,1.0,2,0.0040208698266579
FR--R--STL,False,8,100.0,1.0,4,0.0019688973439333
FR--R--STL,False,8,100.0,1.0,8,0.0009918588321466502
FR--R--STL,False,8,100.0,1.0,16,0.00048381955822569996
FR--R--STL,False,8,100.0,1.0,32,0.00025820121273985
FR--R--STL,False,8,100.0,1.0,64,0.0001288967200505
FR--R--STL,False,32,10.0,0.5,1,0.014686640657047601
FR--R--STL,False,32,10.0,0.5,2,0.00744087528506205
FR--R--STL,False,32,10.0,0.5,4,0.0035826078569112
FR--R--STL,False,32,10.0,0.5,8,0.0018246755898916
FR--R--STL,False,32,10.0,0.5,16,0.0009056947645511
FR--R--STL,False,32,10.0,0.5,32,0.0004569147134301
FR--R--STL,False,32,10.0,0.5,64,0.00022888791634030002
FR--R--STL,False,32,10.0,1.0,1,0.01721078064521995
FR--R--STL,False,32,10.0,1.0,2,0.00855590881917755
FR--R--STL,False,32,10.0,1.0,4,0.00430818069829185
FR--R--STL,False,32,10.0,1.0,8,0.0021353642537214
FR--R--STL,False,32,10.0,1.0,16,0.00106956411624805
FR--R--STL,False,32,10.0,1.0,32,0.0005306668675775
FR--R--STL,False,32,10.0,1.0,64,0.00026407190001615
FR--R--STL,False,32,100.0,0.5,1,0.0513927512935694
FR--R--STL,False,32,100.0,0.5,2,0.0254807826451912
FR--R--STL,False,32,100.0,0.5,4,0.012470729893923501
FR--R--STL,False,32,100.0,0.5,8,0.0061307782968231
FR--R--STL,False,32,100.0,0.5,16,0.003101243035342
FR--R--STL,False,32,100.0,0.5,32,0.0015667390068223501
FR--R--STL,False,32,100.0,0.5,64,0.00076065592614855
FR--R--STL,False,32,100.0,1.0,1,0.03467315880663155
FR--R--STL,False,32,100.0,1.0,2,0.017079690542340452
FR--R--STL,False,32,100.0,1.0,4,0.0083925386485912
FR--R--STL,False,32,100.0,1.0,8,0.0042379990528366995
FR--R--STL,False,32,100.0,1.0,16,0.0021259280788301
FR--R--STL,False,32,100.0,1.0,32,0.0010658556569857502
FR--R--STL,False,32,100.0,1.0,64,0.0005369283967463999
FR--R--STL,True,8,10.0,0.5,1,0.0030698089717804003
FR--R--STL,True,8,10.0,0.5,2,0.00148050297641465
FR--R--STL,True,8,10.0,0.5,4,0.0007639669975936
FR--R--STL,True,8,10.0,0.5,8,0.00038026530773155
FR--R--STL,True,8,10.0,0.5,16,0.00018484929792435002
FR--R--STL,True,8,10.0,0.5,32,9.264528143160256e-05
FR--R--STL,True,8,10.0,0.5,64,4.736161452534304e-05
FR--R--STL,True,8,10.0,1.0,1,0.0040852225897509
FR--R--STL,True,8,10.0,1.0,2,0.0020822454349631
FR--R--STL,True,8,10.0,1.0,4,0.0010275172170243498
FR--R--STL,True,8,10.0,1.0,8,0.0005119068989785001
FR--R--STL,True,8,10.0,1.0,16,0.0002592273555728
FR--R--STL,True,8,10.0,1.0,32,0.00012947849151325
