tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,source_file
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,12,0.02,1.0018688508367353,0.4455672715958152,nan,1.4639859170945124,0.3718287264576166,0.8408521485275426,0.6661960853547881,0.8801851575427195,0.22230161580637647,0.6802851912938473,0.4235544422199329,0.8978223494498722,0.019294110010378063,,nan,nan,nan,nan,nan,nan,nan,12,12,12,12,12,0,12,12,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,13,0.02,0.9845112715858668,0.42820969234494677,nan,1.422120443961461,0.36547407647815866,0.8299398319958899,0.6765960057343963,0.9097315076532252,0.22975388295141197,0.6909352108296081,0.41145535859454063,0.8460759478473743,0.020810319983866066,,nan,nan,nan,nan,nan,nan,nan,13,13,13,13,13,0,13,13,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,14,0.02,0.96813816818204,0.41183658894111996,nan,1.3820268444174109,0.35931173387476856,0.8193213292768655,0.6865698450032417,0.9389631153125981,0.23712607380492506,0.701150851867165,0.39980767687939944,0.7984669428143327,0.02233119902666658,,nan,nan,nan,nan,nan,nan,nan,14,14,14,14,14,0,14,14,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,15,0.02,0.9526723252445903,0.3963707460036703,nan,1.3435956853955369,0.35333509403471375,0.808981930008625,0.6961363601301246,0.9678833689521765,0.24441906606227823,0.7109511886371439,0.3885922940740014,0.754562980068267,0.023839838977437466,,nan,nan,nan,nan,nan,nan,nan,15,15,15,15,15,0,15,15,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,16,0.02,0.9380444264135293,0.3817428471726092,nan,1.306726849443328,0.3475378055717785,0.7989078148763207,0.7053134556732104,0.9964956878374267,0.2516337453094161,0.7203544287659014,0.3777907898404875,0.7139878944033768,0.025363878987263888,,nan,nan,nan,nan,nan,nan,nan,16,16,16,16,16,0,16,16,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,17,0.02,0.9241920505682174,0.36789047132729735,nan,1.2713285059575805,0.34191375705176086,0.7890860034692705,0.7141182215916532,1.024803509207474,0.25877100170959666,0.7293779518137686,0.367385440931776,0.6764129716263005,0.02687050902750343,,nan,nan,nan,nan,nan,nan,nan,17,17,17,17,17,0,17,17,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,18,0.02,0.9110588206096697,0.35475724136874964,nan,1.2373162226002867,0.33645706468981146,0.7795043043667018,0.722566969868998,1.052810277728209,0.26583172728242993,0.7380383465827195,0.3573592258540917,0.6415497886530083,0.028404509008396417,,nan,nan,nan,nan,nan,nan,nan,18,18,18,18,18,0,18,18,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,19,0.02,0.8985936778754062,0.3422920986344862,nan,1.2046121942229449,0.331162060940482,0.7701512675257464,0.7306752698613771,1.08051943682772,0.2728168136654058,0.7463514471088383,0.3476958219088575,0.6091443084371393,0.02992433897452429,,nan,nan,nan,nan,nan,nan,nan,19,19,19,19,19,0,19,19,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,20,0.02,0.8867502606506493,0.3304486814097293,nan,1.1731445708525574,0.32602328390746094,0.7610161390000687,0.7384579823192463,1.1079344215708007,0.27972715027039596,0.7543323672907497,0.33837959634426956,0.5789719801525499,0.0314508990268223,,nan,nan,nan,nan,nan,nan,nan,20,20,20,20,20,0,20,20,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,21,0.02,0.8754863694306441,0.319184790189724,nan,1.1428468696311676,0.32103546750573875,0.7520888179831182,0.7459292920585764,1.1350586527975444,0.28656362276495345,0.7619955341322853,0.3293955930119245,0.5508336503527387,0.032971889013424516,,nan,nan,nan,nan,nan,nan,nan,21,21,21,21,21,0,21,21,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
