job_id,method,iteration,mean_gap,standard_error,rescaled_gap
K_decreasing_steps_smoke,FR--R--STL,1.0,0.0016103778540169,6.274245714679998e-05,0.0016103778540169
K_decreasing_steps_smoke,FR--R--STL,2.0,0.00137441861046645,1.3923958148250027e-05,0.0027488372209329
K_decreasing_steps_smoke,FR--R--STL,3.0,0.00105880321941625,7.228117413585005e-05,0.00317640965824875
K_decreasing_steps_smoke,FR--R--STL,4.0,0.00098112750662,8.533284413659996e-05,0.00392451002648
K_decreasing_steps_smoke,FR--R--STL,5.0,0.0007879815009634,4.122309233300003e-05,0.003939907504817
K_decreasing_steps_smoke,FR--R--STL,6.0,0.0006405098735985,2.9187543161599967e-05,0.003843059241591
K_decreasing_steps_smoke,FR--R--STL,7.0,0.0006458845953162501,1.4647223142150032e-05,0.00452119216721375
K_decreasing_steps_smoke,FR--R--STL,8.0,0.0005557506233492,3.631659480750001e-05,0.0044460049867936
K_decreasing_steps_smoke,FR--R--STL,9.0,0.00048180126819635,9.920490511474996e-05,0.00433621141376715
K_decreasing_steps_smoke,FR--R--STL,10.0,0.00039740162362660004,4.8691423173100015e-05,0.003974016236266
K_decreasing_steps_smoke,FR--R--STL,11.0,0.00037669226586085,0.00010695473396505,0.00414361492446935
K_decreasing_steps_smoke,FR--R--STL,12.0,0.00026325922753295,4.304595851665001e-05,0.0031591107303954
K_decreasing_steps_smoke,FR--R--STL,13.0,0.00025437927374165,1.1366920010149997e-05,0.00330693055864145
K_decreasing_steps_smoke,FR--R--STL,14.0,0.00025338203757215,3.935356721194999e-05,0.0035473485260101
K_decreasing_steps_smoke,FR--R--STL,15.0,0.0002003725277798,2.752348988599998e-06,0.003005587916697
K_decreasing_steps_smoke,FR--R--STL,16.0,0.00019446056841195,3.522048421325001e-05,0.0031113690945912
K_decreasing_steps_smoke,FR--R--STL,17.0,0.00015712379504014999,1.4766713176249997e-05,0.0026711045156825497
K_decreasing_steps_smoke,FR--R--STL,18.0,0.00018233154232014998,5.909031972305001e-05,0.0032819677617626996
K_decreasing_steps_smoke,FR--R--STL,19.0,0.0001564003161471,4.57044015556e-05,0.0029716060067948996
K_decreasing_steps_smoke,FR--R--STL,20.0,0.00012651896812653271,3.916261369306728e-05,0.002530379362530654
K_decreasing_steps_smoke,FR--R--STL,21.0,0.00013887286292410035,4.484424283109964e-05,0.0029163301214061074
K_decreasing_steps_smoke,FR--R--STL,22.0,0.00011653853839675,5.362718568550003e-06,0.0025638478447285
K_decreasing_steps_smoke,FR--R--STL,23.0,8.758155135202284e-05,4.6461888925097833e-07,0.002014375681096525
K_decreasing_steps_smoke,FR--R--STL,24.0,7.945357883198945e-05,4.839041522153309e-06,0.0019068858919677467
K_decreasing_steps_smoke,FR--R--STL,25.0,7.356099187971754e-05,6.336286794694778e-06,0.0018390247969929385
K_decreasing_steps_smoke,FR--R--STL,26.0,7.398483562215397e-05,1.4236398117262183e-05,0.0019236057261760031
K_decreasing_steps_smoke,FR--R--STL,27.0,5.2986542309119145e-05,1.2425651695346929e-05,0.001430636642346217
K_decreasing_steps_smoke,FR--R--STL,28.0,6.344618843490137e-05,3.514646859781312e-05,0.0017764932761772383
K_decreasing_steps_smoke,FR--R--STL,29.0,7.960652314008505e-05,4.850429972601495e-05,0.0023085891710624665
K_decreasing_steps_smoke,FR--R--STL,30.0,5.943721077750209e-05,3.2792810482740194e-05,0.0017831163233250626
K_decreasing_steps_smoke,FR--R--STL,31.0,6.031869763234443e-05,1.0749655455000173e-05,0.0018698796266026774
K_decreasing_steps_smoke,FR--R--STL,32.0,4.630936327010282e-05,1.5395827305919596e-05,0.0014818996246432903
K_decreasing_steps_smoke,FR--R--STL,33.0,4.727538619342386e-05,1.3734192335301819e-05,0.0015600877443829875
K_decreasing_steps_smoke,FR--R--STL,34.0,3.5484092177129334e-05,5.298099775674636e-06,0.0012064591340223974
K_decreasing_steps_smoke,FR--R--STL,35.0,4.366713369519104e-05,9.96229319283337e-06,0.0015283496793316864
K_decreasing_steps_smoke,FR--R--STL,36.0,5.148341856597849e-05,3.0383580111537075e-05,0.0018534030683752256
K_decreasing_steps_smoke,FR--R--STL,37.0,5.70790328364712e-05,4.129645340578136e-05,0.0021119242149494344
K_decreasing_steps_smoke,FR--R--STL,38.0,4.153987859090158e-05,2.16417918661449e-05,0.00157851538645426
K_decreasing_steps_smoke,FR--R--STL,39.0,3.371697211973501e-05,8.837100312741873e-06,0.0013149619126696654
K_decreasing_steps_smoke,FR--R--STL,40.0,3.380320169843465e-05,9.918024068467089e-06,0.001352128067937386
K_decreasing_steps_smoke,FR--R--STL,41.0,4.913602423262109e-05,1.3342399719173947e-05,0.0020145769935374647
K_decreasing_steps_smoke,FR--R--STL,42.0,3.85801950856246e-05,3.120733919170776e-06,0.0016203681935962333
K_decreasing_steps_smoke,FR--R--STL,43.0,4.140902587235207e-05,2.689130412270035e-05,0.001780588112511139
K_decreasing_steps_smoke,FR--R--STL,44.0,0.00010020848382781515,7.601742867098486e-05,0.004409173288423866
K_decreasing_steps_smoke,FR--R--STL,45.0,7.965664540020352e-05,4.999946860649647e-05,0.0035845490430091585
K_decreasing_steps_smoke,FR--R--STL,46.0,4.8306293409461354e-05,1.6150623903476987e-05,0.0022220894968352223
K_decreasing_steps_smoke,FR--R--STL,47.0,5.9644691553173423e-05,2.828417181810483e-05,0.002803300502999151
K_decreasing_steps_smoke,FR--R--STL,48.0,5.964047183104615e-05,1.4815942724788476e-05,0.002862742647890215
K_decreasing_steps_smoke,FR--R--STL,49.0,4.781992053404238e-05,3.6145049344682447e-06,0.0023431761061680767
K_decreasing_steps_smoke,FR--R--STL,50.0,4.6878593565669036e-05,9.794796989037735e-07,0.0023439296782834518
K_decreasing_steps_smoke,FR--R--STL,51.0,4.612474462462046e-05,1.8163896924994205e-05,0.0023523619758556435
K_decreasing_steps_smoke,FR--R--STL,52.0,6.320649987934246e-05,1.032356378805055e-05,0.003286737993725808
K_decreasing_steps_smoke,FR--R--STL,53.0,5.1050494509041755e-05,1.6228761500647337e-05,0.002705676208979213
K_decreasing_steps_smoke,FR--R--STL,54.0,5.264080382250125e-05,8.49245611511673e-06,0.0028426034064150674
K_decreasing_steps_smoke,FR--R--STL,55.0,4.0454668952527584e-05,5.996766369253945e-06,0.002225006792389017
K_decreasing_steps_smoke,FR--R--STL,56.0,2.6209045306369028e-05,1.3127688022973592e-05,0.0014677065371566655
K_decreasing_steps_smoke,FR--R--STL,57.0,2.775921200726117e-05,1.3564877245020313e-05,0.0015822750844138866
K_decreasing_steps_smoke,FR--R--STL,58.0,3.843964036143177e-05,2.4518474392776213e-05,0.0022294991409630427
K_decreasing_steps_smoke,FR--R--STL,59.0,4.89096879532358e-05,1.819701254834882e-05,0.0028856715892409124
K_decreasing_steps_smoke,FR--R--STL,60.0,2.4997357849443347e-05,1.3766618615962399e-05,0.0014998414709666008
K_decreasing_steps_smoke,FR--R--STL,61.0,3.475656888007883e-05,2.371703993775398e-05,0.0021201507016848087
K_decreasing_steps_smoke,FR--R--STL,62.0,4.632191228159943e-05,2.6684504144225407e-05,0.0028719585614591647
K_decreasing_steps_smoke,FR--R--STL,63.0,5.674366955210619e-05,2.9847470278565602e-05,0.00357485118178269
K_decreasing_steps_smoke,FR--R--STL,64.0,4.379225329453895e-05,7.236546032185486e-06,0.002802704210850493
K_decreasing_steps_smoke,FR--R--STL,65.0,3.582293251314095e-05,3.5346121586288244e-06,0.0023284906133541616
K_decreasing_steps_smoke,FR--R--STL,66.0,2.858484142354012e-05,3.0626247882192814e-07,0.0018865995339536479
K_decreasing_steps_smoke,FR--R--STL,67.0,3.571897690468617e-05,9.606307527221246e-08,0.0023931714526139736
K_decreasing_steps_smoke,FR--R--STL,68.0,4.931618966330653e-05,7.001284989982535e-06,0.003353500897104844
K_decreasing_steps_smoke,FR--R--STL,69.0,9.171315797207313e-05,5.90485666207563e-06,0.006328207900073046
K_decreasing_steps_smoke,FR--R--STL,70.0,7.918590050570717e-05,1.6096674503196507e-05,0.005543013035399502
K_decreasing_steps_smoke,FR--R--STL,71.0,6.897036539577073e-05,1.5353178430155268e-05,0.004896895943099722
K_decreasing_steps_smoke,FR--R--STL,72.0,6.397761834697757e-05,2.9605785076936005e-05,0.004606388520982385
K_decreasing_steps_smoke,FR--R--STL,73.0,6.424056508924636e-05,9.578638868079638e-06,0.004689561251514984
K_decreasing_steps_smoke,FR--R--STL,74.0,6.472476128227544e-05,8.848104777636754e-06,0.004789632334888383
K_decreasing_steps_smoke,FR--R--STL,75.0,5.550216083793913e-05,2.149852783572827e-06,0.004162662062845435
K_decreasing_steps_smoke,FR--R--STL,76.0,5.839549973318814e-05,6.908035450448047e-06,0.0044380579797222985
K_decreasing_steps_smoke,FR--R--STL,77.0,4.692355011282068e-05,8.311789443382621e-07,0.003613113358687192
K_decreasing_steps_smoke,FR--R--STL,78.0,4.2254673949027044e-05,7.989532177510306e-06,0.0032958645680241094
K_decreasing_steps_smoke,FR--R--STL,79.0,5.757459845789903e-05,9.77269597690622e-06,0.004548393278174023
K_decreasing_steps_smoke,FR--R--STL,80.0,7.614273385603276e-05,2.1822115667813335e-05,0.006091418708482621
K_decreasing_steps_smoke,FR--R--STL,81.0,6.403831607093569e-05,1.063682004576183e-05,0.0051871036017457905
K_decreasing_steps_smoke,FR--R--STL,82.0,5.987420229047746e-05,8.889345546214674e-06,0.004909684587819152
K_decreasing_steps_smoke,FR--R--STL,83.0,6.494632636810937e-05,1.765880622539573e-05,0.005390545088553078
K_decreasing_steps_smoke,FR--R--STL,84.0,8.126550314997965e-05,3.0689050105020356e-05,0.0068263022645982906
K_decreasing_steps_smoke,FR--R--STL,85.0,7.454295035756964e-05,3.446913439663036e-05,0.006336150780393419
K_decreasing_steps_smoke,FR--R--STL,86.0,7.87798543201168e-05,3.146810677798318e-05,0.006775067471530045
K_decreasing_steps_smoke,FR--R--STL,87.0,9.929741763690689e-05,3.309369067859311e-05,0.008638875334410899
K_decreasing_steps_smoke,FR--R--STL,88.0,0.00010812229082776936,4.0303493449830635e-05,0.009514761592843703
K_decreasing_steps_smoke,FR--R--STL,89.0,0.00010472615895938995,3.6080330834010056e-05,0.009320628147385705
K_decreasing_steps_smoke,FR--R--STL,90.0,9.448219742056477e-05,4.119356339713523e-05,0.00850339776785083
K_decreasing_steps_smoke,FR--R--STL,91.0,8.641903363710516e-05,2.154385712089484e-05,0.00786413206097657
K_decreasing_steps_smoke,FR--R--STL,92.0,6.486617761336522e-05,2.0519643714522747e-05,0.0059676883404296
K_decreasing_steps_smoke,FR--R--STL,93.0,6.60663834104458e-05,3.017351498613152e-05,0.006144173657171459
