tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_affine_condition
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,0,0.0,-1.1439840881768588,0.8570488910498295,0.8570488910498295,21.76387380896459,0.9019423484901912,1.297998459167038,1.0276059193513003,132.6172432758301,0.27999999999999986,2.0800000000000036,2.847529440183593,1.9143800000000017,0.28351289841474914,0.0006799299735575914,0.0,,0.0,9.465205767077291e-18,4.241464873963084e-16,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.14175644920737457,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,1,0.05,-1.157914850415743,0.8431181288109462,0.8431181288109462,21.589058642581577,0.8970376876896092,1.282393700834901,1.0228248007281164,132.52564246340856,0.28424054043233504,2.0640592035586947,2.8205857414999285,1.8754370240654192,0.26972436462824373,0.0013894099975004792,0.0001034899614751339,,0.2030923407020184,0.05196769183603976,0.04489374472981728,nan,nan,nan,nan,nan,1,1,1,1,1,0,1,1,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.13486218231412186,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,2,0.05,-1.1711770388222238,0.8298559404044661,0.8298559404044661,21.417165539908396,0.8922800442486695,1.2678773285726548,1.018454189031123,132.4349979083649,0.2884409100533731,2.04937912305089,2.7965030125794246,1.8394414069743898,0.2571727027880152,0.00190817000111565,0.00018082000315189362,,0.3964701233577375,0.10135143030231865,0.087782366312614,nan,nan,nan,nan,nan,2,2,2,2,2,0,2,2,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.1285863513940076,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,3,0.05,-1.1838302917834036,0.8172026874432865,0.8172026874432865,21.24805591231864,0.8876569296938345,1.2543389345988079,1.0144621546264905,132.3452547229012,0.2926031545376954,2.0358357951188855,2.774987305258942,1.8060636737623088,0.24572741720652708,0.0023858899949118495,0.00025458005256950855,,0.5619156058179327,0.14778463028486383,0.12839172288938985,nan,nan,nan,nan,nan,3,3,3,3,3,0,3,3,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.12286370860326354,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,4,0.05,-1.1959279754539693,0.8051050037727201,0.8051050037727201,21.08160322807114,0.8831569995533647,1.2416797770414043,1.0108186269011046,132.25636329270276,0.2967291458693007,2.023317481709032,2.7557748400005004,1.775014769664331,0.23527258335220952,0.0028713499777950346,0.00032576004741713405,,0.69201515891905,0.1909982979586243,0.16653785897577195,nan,nan,nan,nan,nan,4,4,4,4,4,0,4,4,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.11763629167610476,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,5,0.05,-1.207517882524232,0.793515096702457,0.793515096702457,20.917691763276007,0.878769952519741,1.229811521711284,1.007495420879885,132.16827874327873,0.3008205922889937,2.011723478324641,2.7386289354402993,1.7460406851674375,0.22570517046137928,0.0033319899812340736,0.0003969900426454842,,0.7889293408561306,0.23082258646005518,0.2021197981929748,nan,nan,nan,nan,nan,5,5,5,5,5,0,5,5,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.11285258523068964,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,6,0.05,-1.2186428505837363,0.782390128642954,0.782390128642954,20.75621549067059,0.8744864377266615,1.2186551207081606,1.0044662244199443,132.0809604607401,0.30487904883785777,2.000963036730794,2.723337234453372,1.7189178608699616,0.21693355874084846,0.0038011999567970634,0.00046630005817860365,,0.8591778761028371,0.2671818581607444,0.23510787876373512,nan,nan,nan,nan,nan,6,6,6,6,6,0,6,6,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.10846677937042423,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,7,0.05,-1.2293413094405725,0.7716916697861169,0.7716916697861169,20.59707709048245,0.8702979696253094,1.208139813416427,1.0017065567525594,131.99437166140788,0.3089059281683854,1.9909543911764493,2.709709203601847,1.6934492493427011,0.20887622933004057,0.004284689959604293,0.0005397500353865325,,0.9096709967046638,0.3000848340376482,0.2655297999700911,nan,nan,nan,nan,nan,7,7,7,7,7,0,7,7,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.10443811466502029,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,8,0.05,-1.2396477656945688,0.7613852135321202,0.7613852135321202,20.440187069533287,0.8661968499516238,1.1982022367781873,0.9991937067267137,131.90847900523926,0.3129025113615739,1.9816238782948445,2.697573882998513,1.6694609318515,0.201460607357004,0.0047632199712097645,0.0006117400480434299,,0.9460716869868997,0.32961157570455957,0.29345641957755,nan,nan,nan,nan,nan,8,8,8,8,8,0,8,8,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.100730303678502,100.0
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,9,0.05,-1.249593231909056,0.7514397473176331,0.7514397473176331,20.285462976120385,0.862176096289024,1.18878563299376,0.9969066572044298,131.82325224857362,0.3168699585468753,1.9729051418080692,2.6867778643274822,1.6467992048206206,0.1946220404475743,0.005213679978623986,0.0006810200284235179,,0.972547728083563,0.35589897427067096,0.31898878477981646,nan,nan,nan,nan,nan,9,9,9,9,9,0,9,9,0,0,0,1,False,False,0.05,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.09731102022378715,100.0
