tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_affine_condition
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,0,0.0,-1.1439840881768588,0.8570488910498295,0.8570488910498295,21.76387380896459,0.9019423484901912,1.297998459167038,1.0276059193513003,132.6172432758301,0.27999999999999986,2.0800000000000036,2.847529440183593,1.9143800000000017,0.28351289841474914,0.000631699978839606,0.0,,0.0,9.465205767077291e-18,4.241464873963084e-16,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.14175644920737457,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,1,0.2,-1.4616486710349532,0.5393843081917362,0.5393843081917362,10.90308759070959,0.683281681299887,0.9564058047535412,1.0157469039196847,110.91216106546736,0.3233675503869769,1.6759294278968389,1.784872586035402,0.8252985916066866,0.16891968994333592,0.001391939993482083,0.0001320600276812911,,5.285060202387815e-16,7.927288018421378e-16,1.0933573115469915e-15,nan,nan,nan,nan,nan,1,1,1,1,1,1,1,2,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.08445984497166796,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,2,0.2,-1.6081979664827029,0.3928350127439868,0.3928350127439868,8.436926654632341,0.5822129268543884,0.7822551854514614,1.0068997877171753,100.18665817476395,0.37022691190914114,1.4640140436260558,1.346898541400541,0.5092652308116188,0.11444941516062608,0.001964129973202944,0.00023750000400468707,,4.144564092480376e-16,1.5261280673073972e-16,2.0678321012328815e-15,nan,nan,nan,nan,nan,2,2,2,2,2,2,2,4,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.05722470758031304,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,3,0.2,-1.7016845345273637,0.29934844469932564,0.29934844469932564,7.324367083415015,0.514981197380711,0.6694934674360444,1.0000868528825784,94.20860890565747,0.4199227268710641,1.3342631600084516,1.1820387261163892,0.3681165331649412,0.08114591157004448,0.0025233399937860668,0.0003397800028324127,,5.804937893713802e-16,1.0151183157412669e-15,2.51197388547415e-15,nan,nan,nan,nan,nan,3,3,3,3,3,3,3,6,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.04057295578502224,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,4,0.2,-1.7703025663695355,0.23073041285715418,0.23073041285715418,6.406374062139975,0.4601729014001082,0.5837150584625689,0.9947688998440071,90.76972484163734,0.47157877690835365,1.247980403383591,1.1463270501230134,0.2851682405644475,0.05852737166656125,0.0030747000128030777,0.00044398003956303,,4.000503067263822e-16,9.62802840041144e-16,4.7345502461662704e-15,nan,nan,nan,nan,nan,4,4,4,4,4,4,4,8,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.029263685833280626,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,5,0.2,-1.8237621430101154,0.17727083621657558,0.17727083621657558,5.477757988455536,0.4107869774393938,0.5114967723053879,0.9905874874765944,88.84910830477193,0.5241460725878855,1.1875952767137157,1.174388114044853,0.2264746284029411,0.042389534477596566,0.0036568199866451323,0.0005497300298884511,,6.386015024668902e-16,1.0958912373471658e-15,3.0864962785110557e-15,nan,nan,nan,nan,nan,5,5,5,5,5,5,5,10,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.021194767238798283,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,6,0.2,-1.866245251069223,0.13478772815746654,0.13478772815746654,4.545130491097929,0.3644573279101619,0.4472869150564578,0.9872849002404978,87.89128497159669,0.5764803161629226,1.1438633441265174,1.2342689107846077,0.1802015132967515,0.030615238377506043,0.0042307000258006155,0.0006566900410689414,,6.703266433537689e-16,8.643184931432354e-16,4.32718115697914e-15,nan,nan,nan,nan,nan,6,6,6,6,6,6,6,12,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.015307619188753022,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,7,0.2,-1.8999808598904364,0.10105211933625365,0.10105211933625365,3.6571367495774223,0.3205844150210098,0.3888660493420005,0.9846685439399363,87.55765086789404,0.6274381699481509,1.111420317354027,1.3090562193568018,0.14192114641266454,0.021960321962558572,0.004769670020323247,0.000757550064008683,,8.174894197358864e-16,4.557162519511776e-16,6.651465235020695e-15,nan,nan,nan,nan,nan,7,7,7,7,7,7,7,14,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.010980160981279286,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,8,0.2,-1.9264625033459022,0.07457047588078666,0.07457047588078666,2.857492383744568,0.2792752190424777,0.33548164743702874,0.9825913717338868,87.62495272569407,0.6759759498156861,1.0869272722982617,1.389091136315007,0.10993714492779817,0.015607767321859508,0.005306900013238192,0.0008584800525568426,,7.070157876498664e-16,4.846613187979231e-16,6.2497032070325656e-15,nan,nan,nan,nan,nan,8,8,8,8,8,8,8,16,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.007803883660929754,100.0
smoke,B,B_affine_equivariance_smoke,FR--R,475586365,9,0.2,-1.9468970641416368,0.05413591508505239,0.05413591508505239,2.172646524451043,0.2408758937391375,0.2869867921768427,0.9809396395949634,87.9389232570781,0.7212330439211617,1.0681938639651205,1.4685533119087975,0.08351471071459636,0.01097762146478828,0.005838920013047755,0.0009603900252841413,,7.28829804039798e-16,9.286541245774108e-16,4.7414738338969715e-15,nan,nan,nan,nan,nan,9,9,9,9,9,9,9,18,0,0,0,1,False,False,0.2,0,nan,nan,nan,nan,0.010763627019718471,1.026249744752476,1.0,1.0,1.0,0.2799999999999999,2.08,2.08,0.00548881073239414,100.0
